HexCer-NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NS(d14:3/12:0)+H,584.4163,422.3634,404.3528,386.3423,222.1853,204.1747,200.2009,192.1747
HexCer-NS(d14:3/12:1)+H,582.4006,420.3477,402.3372,384.3266,222.1853,204.1747,198.1853,192.1747
HexCer-NS(d14:3/13:0)+H,598.4319,436.3791,418.3685,400.3579,222.1853,204.1747,214.2166,192.1747
HexCer-NS(d14:3/13:1)+H,596.4163,434.3634,416.3528,398.3423,222.1853,204.1747,212.2009,192.1747
HexCer-NS(d14:3/14:0)+H,612.4475,450.3947,432.3841,414.3736,222.1853,204.1747,228.2322,192.1747
HexCer-NS(d14:3/14:1)+H,610.4319,448.3791,430.3685,412.3579,222.1853,204.1747,226.2166,192.1747
HexCer-NS(d14:3/15:0)+H,626.4632,464.4103,446.3998,428.3892,222.1853,204.1747,242.2478,192.1747
HexCer-NS(d14:3/15:1)+H,624.4475,462.3947,444.3841,426.3736,222.1853,204.1747,240.2322,192.1747
HexCer-NS(d14:3/16:0)+H,640.4788,478.426,460.4154,442.4049,222.1853,204.1747,256.2635,192.1747
HexCer-NS(d14:3/16:1)+H,638.4632,476.4103,458.3998,440.3892,222.1853,204.1747,254.2478,192.1747
HexCer-NS(d14:3/16:2)+H,636.4475,474.3947,456.3841,438.3736,222.1853,204.1747,252.2322,192.1747
HexCer-NS(d14:3/17:0)+H,654.4945,492.4417,474.4311,456.4205,222.1853,204.1747,270.2791,192.1747
HexCer-NS(d14:3/18:0)+H,668.5101,506.4573,488.4467,470.4362,222.1853,204.1747,284.2948,192.1747
HexCer-NS(d14:3/18:1)+H,666.4945,504.4417,486.4311,468.4205,222.1853,204.1747,282.2791,192.1747
HexCer-NS(d14:3/18:2)+H,664.4788,502.426,484.4154,466.4049,222.1853,204.1747,280.2635,192.1747
HexCer-NS(d14:3/19:0)+H,682.5258,520.473,502.4624,484.4518,222.1853,204.1747,298.3105,192.1747
HexCer-NS(d14:3/19:1)+H,680.5101,518.4573,500.4467,482.4362,222.1853,204.1747,296.2948,192.1747
HexCer-NS(d14:3/20:0)+H,696.5414,534.4886,516.478,498.4675,222.1853,204.1747,312.3261,192.1747
HexCer-NS(d14:3/20:1)+H,694.5258,532.473,514.4624,496.4518,222.1853,204.1747,310.3105,192.1747
HexCer-NS(d14:3/20:2)+H,692.5101,530.4573,512.4467,494.4362,222.1853,204.1747,308.2948,192.1747
HexCer-NS(d14:3/21:0)+H,710.5571,548.5043,530.4937,512.4831,222.1853,204.1747,326.3417,192.1747
HexCer-NS(d14:3/21:1)+H,708.5414,546.4886,528.478,510.4675,222.1853,204.1747,324.3261,192.1747
HexCer-NS(d14:3/22:0)+H,724.5728,562.5199,544.5093,526.4988,222.1853,204.1747,340.3574,192.1747
HexCer-NS(d14:3/22:1)+H,722.5571,560.5043,542.4937,524.4831,222.1853,204.1747,338.3417,192.1747
HexCer-NS(d14:3/22:2)+H,720.5414,558.4886,540.478,522.4675,222.1853,204.1747,336.3261,192.1747
HexCer-NS(d14:3/23:0)+H,738.5884,576.5356,558.525,540.5144,222.1853,204.1747,354.373,192.1747
