PEG,[M+?]+,fragment 1,fragment 2
PEG(n=3_NH4+_CH2=2_DBE=4_(1-NH3)),188.116,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=4_(2-NH3)),188.140,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=6_(2=O)),188.943,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=6_(1=O)),188.980,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=5_(3-OH)),189.003,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=6_),189.016,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=2_(2=O)),189.040,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=6_(2-NH3)),189.064,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=0_(1-OH)),189.074,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=2_(1=O)),189.076,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=3_(1-NH3)),189.100,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=2_),189.112,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=3_(2-NH3)),189.124,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=2_(1-NH3)),189.136,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=2_(2-NH3)),189.160,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=3_(2=O)),190.035,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=3_(1=O)),190.071,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=3_),190.108,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=3_(1-NH3)),190.132,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=3_(2-NH3)),190.155,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=5_(2=O)),190.959,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=5_(1=O)),190.995,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=4_(3-OH)),191.019,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=5_),191.032,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=1_(2=O)),191.055,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=5_(1-NH3)),191.056,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=5_(2-NH3)),191.079,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=1_(1=O)),191.092,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=2_(1-NH3)),191.116,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=1_),191.128,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=2_(2-NH3)),191.139,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=1_(1-NH3)),191.152,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=1_(2-NH3)),191.176,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=2_(2=O)),192.051,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=2_(1=O)),192.087,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=2_),192.123,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=2_(1-NH3)),192.147,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=2_(2-NH3)),192.171,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=4_(2=O)),192.975,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=4_(1=O)),193.011,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=3_(3-OH)),193.035,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=4_),193.047,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=0_(2=O)),193.071,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=4_(2-NH3)),193.095,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=0_(1=O)),193.107,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=1_),193.108,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=1_(1-NH3)),193.131,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=0_),193.144,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=1_(2-NH3)),193.155,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=0_(1-NH3)),193.168,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=0_(2-NH3)),193.191,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=1_(2=O)),194.066,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=1_(1=O)),194.103,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=1_),194.139,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=1_(1-NH3)),194.163,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=1_(2-NH3)),194.187,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=3_(2=O)),194.990,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=6_(2=O)),194.992,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=3_(1=O)),195.027,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=6_(1=O)),195.029,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=2_(3-OH)),195.050,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=3_),195.063,89.0602,133.0859
PEG(n=3_H+_CH2=4_DBE=6_),195.065,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=1_(2-OH)),195.087,89.0602,133.0859
PEG(n=3_H+_CH2=4_DBE=6_(1-NH3)),195.089,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=3_(2-NH3)),195.111,89.0602,133.0859
PEG(n=3_H+_CH2=4_DBE=6_(2-NH3)),195.113,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=0_(1-OH)),195.123,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=0_(1-NH3)),195.147,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=0_(2-NH3)),195.171,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=0_(2=O)),196.082,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=0_(1=O)),196.118,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=0_),196.155,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=0_(1-NH3)),196.179,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=0_(2-NH3)),196.202,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=2_(2=O)),197.006,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=5_(2=O)),197.008,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=2_(1=O)),197.042,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=5_(1=O)),197.045,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=1_(3-OH)),197.066,89.0602,133.0859
PEG(n=4_H+_CH2=1_DBE=6_(1-NH3)),197.068,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=2_),197.079,89.0602,133.0859
PEG(n=3_H+_CH2=4_DBE=5_),197.081,89.0602,133.0859
PEG(n=4_H+_CH2=1_DBE=6_(2-NH3)),197.092,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=0_(2-OH)),197.102,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=2_(1-NH3)),197.103,89.0602,133.0859
PEG(n=3_H+_CH2=4_DBE=5_(1-NH3)),197.105,89.0602,133.0859
PEG(n=3_Na+_CH2=2_DBE=2_(2-NH3)),197.126,89.0602,133.0859
PEG(n=3_H+_CH2=4_DBE=5_(2-NH3)),197.129,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=6_(2=O)),198.003,89.0602,133.0859
PEG(n=3_NH4+_CH2=2_DBE=6_(1=O)),198.040,89.0602,133.0859
PEG(n=3_NH4+_CH2=3_DBE=6_),198.076,89.0602,133.0859
