HBMP,[M-H]-,[M-FA3-H]-,[FA3+C3H6O4P-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
HBMP(12:0_16:3_22:1)-H,979.7009,641.3824,473.3043,249.186,337.3112,199.1704
HBMP(12:0_16:3_22:2)-H,977.6852,641.3824,471.2887,249.186,335.2956,199.1704
HBMP(12:0_16:3_22:3)-H,975.6696,641.3824,469.273,249.186,333.2799,199.1704
HBMP(12:0_16:3_22:4)-H,973.6539,641.3824,467.2574,249.186,331.2643,199.1704
HBMP(12:0_16:3_22:5)-H,971.6382,641.3824,465.2417,249.186,329.2486,199.1704
HBMP(12:0_16:3_22:6)-H,969.6226,641.3824,463.2261,249.186,327.233,199.1704
HBMP(12:0_16:4_12:0)-H,839.5444,639.3668,335.1635,247.1704,199.1704,199.1704
HBMP(12:0_16:4_14:0)-H,867.5757,639.3668,363.1948,247.1704,227.2017,199.1704
HBMP(12:0_16:4_14:1)-H,865.56,639.3668,361.1791,247.1704,225.186,199.1704
HBMP(12:0_16:4_16:0)-H,895.607,639.3668,391.2261,247.1704,255.233,199.1704
HBMP(12:0_16:4_16:1)-H,893.5913,639.3668,389.2104,247.1704,253.2173,199.1704
HBMP(12:0_16:4_16:2)-H,891.5757,639.3668,387.1948,247.1704,251.2017,199.1704
HBMP(12:0_16:4_16:3)-H,889.56,639.3668,385.1791,247.1704,249.186,199.1704
HBMP(12:0_16:4_16:4)-H,887.5444,639.3668,383.1635,247.1704,247.1704,199.1704
HBMP(12:0_16:4_18:0)-H,923.6382,639.3668,419.2574,247.1704,283.2643,199.1704
HBMP(12:0_16:4_18:1)-H,921.6226,639.3668,417.2417,247.1704,281.2486,199.1704
HBMP(12:0_16:4_18:2)-H,919.607,639.3668,415.2261,247.1704,279.233,199.1704
HBMP(12:0_16:4_18:3)-H,917.5913,639.3668,413.2104,247.1704,277.2173,199.1704
HBMP(12:0_16:4_18:4)-H,915.5757,639.3668,411.1948,247.1704,275.2017,199.1704
HBMP(12:0_16:4_18:5)-H,913.56,639.3668,409.1791,247.1704,273.186,199.1704
HBMP(12:0_16:4_20:0)-H,951.6696,639.3668,447.2887,247.1704,311.2956,199.1704
HBMP(12:0_16:4_20:1)-H,949.6539,639.3668,445.273,247.1704,309.2799,199.1704
HBMP(12:0_16:4_20:2)-H,947.6382,639.3668,443.2574,247.1704,307.2643,199.1704
HBMP(12:0_16:4_20:3)-H,945.6226,639.3668,441.2417,247.1704,305.2486,199.1704
HBMP(12:0_16:4_20:4)-H,943.607,639.3668,439.2261,247.1704,303.233,199.1704
HBMP(12:0_16:4_20:5)-H,941.5913,639.3668,437.2104,247.1704,301.2173,199.1704
HBMP(12:0_16:4_22:0)-H,979.7009,639.3668,475.3199,247.1704,339.3269,199.1704
HBMP(12:0_16:4_22:1)-H,977.6852,639.3668,473.3043,247.1704,337.3112,199.1704
HBMP(12:0_16:4_22:2)-H,975.6696,639.3668,471.2887,247.1704,335.2956,199.1704
HBMP(12:0_16:4_22:3)-H,973.6539,639.3668,469.273,247.1704,333.2799,199.1704
HBMP(12:0_16:4_22:4)-H,971.6382,639.3668,467.2574,247.1704,331.2643,199.1704
HBMP(12:0_16:4_22:5)-H,969.6226,639.3668,465.2417,247.1704,329.2486,199.1704
HBMP(12:0_16:4_22:6)-H,967.607,639.3668,463.2261,247.1704,327.233,199.1704
HBMP(12:0_18:0_12:0)-H,875.6382,675.4606,335.1635,283.2643,199.1704,199.1704
HBMP(12:0_18:0_14:0)-H,903.6696,675.4606,363.1948,283.2643,227.2017,199.1704
HBMP(12:0_18:0_14:1)-H,901.6539,675.4606,361.1791,283.2643,225.186,199.1704
HBMP(12:0_18:0_16:0)-H,931.7009,675.4606,391.2261,283.2643,255.233,199.1704
HBMP(12:0_18:0_16:1)-H,929.6852,675.4606,389.2104,283.2643,253.2173,199.1704
HBMP(12:0_18:0_16:2)-H,927.6696,675.4606,387.1948,283.2643,251.2017,199.1704
