CL,[M-2H+3Na]+,SN1 acyl loss,SN2 acyl loss,SN3 acyl loss,SN4 acyl loss
CL(14:0_16:0_20:4_22:0)-2H+3Na,1523.988496,1295.779696,1267.748416,1219.748416,1183.654576
CL(14:0_16:0_20:4_22:5)-2H+3Na,1513.910246,1285.701446,1257.670166,1209.670166,1183.654526
CL(14:0_16:0_20:4_22:6)-2H+3Na,1511.894596,1283.685796,1255.654516,1207.654516,1183.654516
CL(14:0_16:0_22:0_22:0)-2H+3Na,1560.082397,1331.873597,1303.842317,1219.748477,1219.748477
CL(14:0_16:0_22:0_22:5)-2H+3Na,1550.004146,1321.795346,1293.764066,1209.670226,1219.748426
CL(14:0_16:0_22:0_22:6)-2H+3Na,1547.988496,1319.779696,1291.748416,1207.654576,1219.748416
CL(14:0_16:0_22:5_22:5)-2H+3Na,1539.925896,1311.717096,1283.685816,1209.670176,1209.670176
CL(14:0_16:0_22:5_22:6)-2H+3Na,1537.910246,1309.701446,1281.670166,1207.654526,1209.670166
CL(14:0_16:0_22:6_22:6)-2H+3Na,1535.894596,1307.685796,1279.654516,1207.654516,1207.654516
CL(14:0_16:1_16:1_16:1)-2H+3Na,1385.847646,1157.638846,1131.623206,1131.623206,1131.623206
CL(14:0_16:1_16:1_18:0)-2H+3Na,1415.894596,1187.685796,1161.670156,1161.670156,1131.623236
CL(14:0_16:1_16:1_18:1)-2H+3Na,1413.878946,1185.670146,1159.654506,1159.654506,1131.623226
CL(14:0_16:1_16:1_18:2)-2H+3Na,1411.863296,1183.654496,1157.638856,1157.638856,1131.623216
CL(14:0_16:1_16:1_18:3)-2H+3Na,1409.847646,1181.638846,1155.623206,1155.623206,1131.623206
CL(14:0_16:1_16:1_20:0)-2H+3Na,1443.925896,1215.717096,1189.701456,1189.701456,1131.623256
CL(14:0_16:1_16:1_20:1)-2H+3Na,1441.910246,1213.701446,1187.685806,1187.685806,1131.623246
CL(14:0_16:1_16:1_20:2)-2H+3Na,1439.894596,1211.685796,1185.670156,1185.670156,1131.623236
CL(14:0_16:1_16:1_20:3)-2H+3Na,1437.878946,1209.670146,1183.654506,1183.654506,1131.623226
CL(14:0_16:1_16:1_20:4)-2H+3Na,1435.863296,1207.654496,1181.638856,1181.638856,1131.623216
CL(14:0_16:1_16:1_22:0)-2H+3Na,1471.957196,1243.748396,1217.732756,1217.732756,1131.623276
CL(14:0_16:1_16:1_22:5)-2H+3Na,1461.878946,1233.670146,1207.654506,1207.654506,1131.623226
CL(14:0_16:1_16:1_22:6)-2H+3Na,1459.863296,1231.654496,1205.638856,1205.638856,1131.623216
CL(14:0_16:1_18:0_18:0)-2H+3Na,1445.941546,1217.732746,1191.717106,1161.670186,1161.670186
CL(14:0_16:1_18:0_18:1)-2H+3Na,1443.925896,1215.717096,1189.701456,1159.654536,1161.670176
