MGDG,[M+NH4-CO]+,M-sn1,M-sn2,sn1,sn2,M-sn1-C6H12O6,M-sn2-C6H12O6
MGDG(6:0_7:0)+NH4-CO,454.30105,338.21737,324.20173,115.07531,129.09095,158.15398,144.13834
MGDG(6:0_8:0)+NH4-CO,468.3167,352.23302,324.20174,115.07531,143.10659,172.16963,144.13835
MGDG(6:0_9:0)+NH4-CO,482.33236,366.24868,324.20176,115.07531,157.12223,186.18529,144.13837
MGDG(6:0_10:0)+NH4-CO,496.348,380.26432,324.20176,115.07531,171.13787,200.20093,144.13837
MGDG(6:0_11:0)+NH4-CO,510.36367,394.27999,324.20179,115.07531,185.15351,214.2166,144.1384
MGDG(6:0_12:0)+NH4-CO,524.3793,408.29562,324.20178,115.07531,199.16915,228.23223,144.13839
MGDG(6:0_13:0)+NH4-CO,538.3949,422.31122,324.20174,115.07531,213.18479,242.24783,144.13835
MGDG(6:0_14:0)+NH4-CO,552.4106,436.32692,324.2018,115.07531,227.20043,256.26353,144.13841
MGDG(6:0_14:1)+NH4-CO,550.3949,434.31122,324.20174,115.07531,225.18479,254.24783,144.13835
MGDG(6:0_15:0)+NH4-CO,566.4262,450.34252,324.20176,115.07531,241.21607,270.27913,144.13837
MGDG(6:0_15:1)+NH4-CO,564.4106,448.32692,324.2018,115.07531,239.20043,268.26353,144.13841
MGDG(6:0_16:0)+NH4-CO,580.4419,464.35822,324.20182,115.07531,255.23171,284.29483,144.13843
MGDG(6:0_16:1)+NH4-CO,578.4262,462.34252,324.20176,115.07531,253.21607,282.27913,144.13837
MGDG(6:0_17:0)+NH4-CO,594.45754,478.37386,324.20182,115.07531,269.24735,298.31047,144.13843
MGDG(6:0_17:1)+NH4-CO,592.4419,476.35822,324.20182,115.07531,267.23171,296.29483,144.13843
MGDG(6:0_17:2)+NH4-CO,590.4262,474.34252,324.20176,115.07531,265.21607,294.27913,144.13837
MGDG(6:0_18:0)+NH4-CO,608.4732,492.38952,324.20184,115.07531,283.26299,312.32613,144.13845
MGDG(6:0_18:1)+NH4-CO,606.45754,490.37386,324.20182,115.07531,281.24735,310.31047,144.13843
MGDG(6:0_18:2)+NH4-CO,604.4419,488.35822,324.20182,115.07531,279.23171,308.29483,144.13843
MGDG(6:0_18:3)+NH4-CO,602.4262,486.34252,324.20176,115.07531,277.21607,306.27913,144.13837
MGDG(6:0_18:4)+NH4-CO,600.4106,484.32692,324.2018,115.07531,275.20043,304.26353,144.13841
MGDG(6:0_19:0)+NH4-CO,622.48885,506.40517,324.20185,115.07531,297.27863,326.34178,144.13846
MGDG(6:0_20:0)+NH4-CO,636.5045,520.42082,324.20186,115.07531,311.29427,340.35743,144.13847
MGDG(6:0_20:1)+NH4-CO,634.48885,518.40517,324.20185,115.07531,309.27863,338.34178,144.13846
MGDG(6:0_20:2)+NH4-CO,632.4732,516.38952,324.20184,115.07531,307.26299,336.32613,144.13845
MGDG(6:0_20:3)+NH4-CO,630.45754,514.37386,324.20182,115.07531,305.24735,334.31047,144.13843
MGDG(6:0_20:4)+NH4-CO,628.4419,512.35822,324.20182,115.07531,303.23171,332.29483,144.13843
MGDG(6:0_20:5)+NH4-CO,626.4262,510.34252,324.20176,115.07531,301.21607,330.27913,144.13837
MGDG(6:0_21:0)+NH4-CO,650.52016,534.43648,324.20188,115.07531,325.30991,354.37309,144.13849
MGDG(6:0_22:0)+NH4-CO,664.5358,548.45212,324.20188,115.07531,339.32555,368.38873,144.13849
MGDG(6:0_22:1)+NH4-CO,662.52016,546.43648,324.20188,115.07531,337.30991,366.37309,144.13849
MGDG(6:0_22:2)+NH4-CO,660.5045,544.42082,324.20186,115.07531,335.29427,364.35743,144.13847
MGDG(6:0_22:4)+NH4-CO,656.4732,540.38952,324.20184,115.07531,331.26299,360.32613,144.13845
MGDG(6:0_22:5)+NH4-CO,654.45754,538.37386,324.20182,115.07531,329.24735,358.31047,144.13843
MGDG(6:0_22:6)+NH4-CO,652.4419,536.35822,324.20182,115.07531,327.23171,356.29483,144.13843
MGDG(6:0_23:0)+NH4-CO,678.5515,562.46782,324.20194,115.07531,353.34119,382.40443,144.13855
MGDG(6:0_24:0)+NH4-CO,692.5671,576.48342,324.2019,115.07531,367.35683,396.42003,144.13851
MGDG(6:0_24:1)+NH4-CO,690.5515,574.46782,324.20194,115.07531,365.34119,394.40443,144.13855
MGDG(6:0_24:4)+NH4-CO,684.5045,568.42082,324.20186,115.07531,359.29427,388.35743,144.13847
MGDG(6:0_25:0)+NH4-CO,706.5827,590.49902,324.20186,115.07531,381.37247,410.43563,144.13847
MGDG(6:0_26:0)+NH4-CO,720.5984,604.51472,324.20192,115.07531,395.38811,424.45133,144.13853
MGDG(6:0_26:1)+NH4-CO,718.5827,602.49902,324.20186,115.07531,393.37247,422.43563,144.13847
MGDG(6:0_26:2)+NH4-CO,716.5671,600.48342,324.2019,115.07531,391.35683,420.42003,144.13851
MGDG(7:0_2:0)+NH4-CO,398.23845,268.13913,338.21733,129.09095,59.01275,88.07574,158.15394
MGDG(7:0_3:0)+NH4-CO,412.2541,282.15478,338.21734,129.09095,73.02839,102.09139,158.15395
MGDG(7:0_4:0)+NH4-CO,426.26973,296.17041,338.21733,129.09095,87.04403,116.10702,158.15394
MGDG(7:0_5:0)+NH4-CO,440.2854,310.18608,338.21736,129.09095,101.05967,130.12269,158.15397
