OxLPC,[M+HCO2]-,NL_CH3&HCO2,NL_choline&HCO2,NL_R1C2HO,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(22:1(OH))+HCO2,638.403915,578.382815,507.309315,242.0799,224.0693,168.0431,152.9958,353.30617,96.9696,78.9591
OxLPC(22:2(OH))+HCO2,636.388215,576.367115,505.293615,242.0799,224.0693,168.0431,152.9958,351.29047,96.9696,78.9591
OxLPC(22:3(OH))+HCO2,634.372615,574.351515,503.278015,242.0799,224.0693,168.0431,152.9958,349.27487,96.9696,78.9591
OxLPC(22:4(OH))+HCO2,632.356915,572.335815,501.262315,242.0799,224.0693,168.0431,152.9958,347.25917,96.9696,78.9591
OxLPC(22:5(OH))+HCO2,630.341315,570.320215,499.246715,242.0799,224.0693,168.0431,152.9958,345.24357,96.9696,78.9591
OxLPC(22:6(OH))+HCO2,628.325615,568.304515,497.231015,242.0799,224.0693,168.0431,152.9958,343.22787,96.9696,78.9591
OxLPC(24:1(OH))+HCO2,666.435215,606.414115,535.340615,242.0799,224.0693,168.0431,152.9958,381.33747,96.9696,78.9591
OxLPC(14:1(OO))+HCO2,542.273635,482.252535,411.179035,242.0799,224.0693,168.0431,152.9958,257.17589,96.9696,78.9591
OxLPC(15:1(OO))+HCO2,556.289235,496.268135,425.194635,242.0799,224.0693,168.0431,152.9958,271.19149,96.9696,78.9591
OxLPC(16:1(OO))+HCO2,570.304935,510.283835,439.210335,242.0799,224.0693,168.0431,152.9958,285.20719,96.9696,78.9591
OxLPC(17:1(OO))+HCO2,584.320535,524.299435,453.225935,242.0799,224.0693,168.0431,152.9958,299.22279,96.9696,78.9591
OxLPC(17:2(OO))+HCO2,582.304935,522.283835,451.210335,242.0799,224.0693,168.0431,152.9958,297.20719,96.9696,78.9591
OxLPC(18:1(OO))+HCO2,598.336235,538.315135,467.241635,242.0799,224.0693,168.0431,152.9958,313.23849,96.9696,78.9591
OxLPC(18:3(OO))+HCO2,594.304935,534.283835,463.210335,242.0799,224.0693,168.0431,152.9958,309.20719,96.9696,78.9591
OxLPC(18:4(OO))+HCO2,592.289235,532.268135,461.194635,242.0799,224.0693,168.0431,152.9958,307.19149,96.9696,78.9591
OxLPC(20:1(OO))+HCO2,626.367535,566.346435,495.272935,242.0799,224.0693,168.0431,152.9958,341.26979,96.9696,78.9591
OxLPC(20:2(OO))+HCO2,624.351835,564.330735,493.257235,242.0799,224.0693,168.0431,152.9958,339.25409,96.9696,78.9591
OxLPC(20:3(OO))+HCO2,622.336235,562.315135,491.241635,242.0799,224.0693,168.0431,152.9958,337.23849,96.9696,78.9591
OxLPC(20:5(OO))+HCO2,618.304935,558.283835,487.210335,242.0799,224.0693,168.0431,152.9958,333.20719,96.9696,78.9591
OxLPC(22:1(OO))+HCO2,654.398835,594.377735,523.304235,242.0799,224.0693,168.0431,152.9958,369.30109,96.9696,78.9591
OxLPC(22:2(OO))+HCO2,652.383135,592.362035,521.288535,242.0799,224.0693,168.0431,152.9958,367.28539,96.9696,78.9591
OxLPC(22:3(OO))+HCO2,650.367535,590.346435,519.272935,242.0799,224.0693,168.0431,152.9958,365.26979,96.9696,78.9591
OxLPC(22:4(OO))+HCO2,648.351835,588.330735,517.257235,242.0799,224.0693,168.0431,152.9958,363.25409,96.9696,78.9591
OxLPC(22:5(OO))+HCO2,646.336235,586.315135,515.241635,242.0799,224.0693,168.0431,152.9958,361.23849,96.9696,78.9591
OxLPC(22:6(OO))+HCO2,644.320535,584.299435,513.225935,242.0799,224.0693,168.0431,152.9958,359.22279,96.9696,78.9591
OxLPC(24:1(OO))+HCO2,682.430135,622.409035,551.335535,242.0799,224.0693,168.0431,152.9958,397.33239,96.9696,78.9591
OxLPC(14:1(OOO))+HCO2,558.268555,498.247455,427.173955,242.0799,224.0693,168.0431,152.9958,273.17081,96.9696,78.9591
OxLPC(15:1(OOO))+HCO2,572.284155,512.263055,441.189555,242.0799,224.0693,168.0431,152.9958,287.18641,96.9696,78.9591
OxLPC(16:1(OOO))+HCO2,586.299855,526.278755,455.205255,242.0799,224.0693,168.0431,152.9958,301.20211,96.9696,78.9591
OxLPC(17:1(OOO))+HCO2,600.315455,540.294355,469.220855,242.0799,224.0693,168.0431,152.9958,315.21771,96.9696,78.9591
OxLPC(17:2(OOO))+HCO2,598.299855,538.278755,467.205255,242.0799,224.0693,168.0431,152.9958,313.20211,96.9696,78.9591
OxLPC(18:1(OOO))+HCO2,614.331155,554.310055,483.236555,242.0799,224.0693,168.0431,152.9958,329.23341,96.9696,78.9591
OxLPC(18:2(OOO))+HCO2,612.315455,552.294355,481.220855,242.0799,224.0693,168.0431,152.9958,327.21771,96.9696,78.9591
OxLPC(18:3(OOO))+HCO2,610.299855,550.278755,479.205255,242.0799,224.0693,168.0431,152.9958,325.20211,96.9696,78.9591
OxLPC(18:4(OOO))+HCO2,608.284155,548.263055,477.189555,242.0799,224.0693,168.0431,152.9958,323.18641,96.9696,78.9591
OxLPC(20:1(OOO))+HCO2,642.362455,582.341355,511.267855,242.0799,224.0693,168.0431,152.9958,357.26471,96.9696,78.9591
OxLPC(20:2(OOO))+HCO2,640.346755,580.325655,509.252155,242.0799,224.0693,168.0431,152.9958,355.24901,96.9696,78.9591
OxLPC(20:3(OOO))+HCO2,638.331155,578.310055,507.236555,242.0799,224.0693,168.0431,152.9958,353.23341,96.9696,78.9591
