MGDG,[M+H]+,SN1_acyl_loss,SN1-H2O,SN2_acyl_loss,SN2-H2O
MGDG(15:1_20:1)+H,769.5824,546.37634,528.36578,476.29814,458.28758
MGDG(15:1_20:2)+H,767.56677,544.36071,526.35015,476.29815,458.28759
MGDG(15:1_20:3)+H,765.55107,542.34501,524.33445,476.29809,458.28753
MGDG(15:1_20:4)+H,763.53547,540.32941,522.31885,476.29813,458.28757
MGDG(15:1_20:5)+H,761.51987,538.31381,520.30325,476.29817,458.28761
MGDG(15:1_21:0)+H,785.61372,562.40766,544.3971,476.29818,458.28762
MGDG(15:1_22:0)+H,799.62937,576.42331,558.41275,476.29819,458.28763
MGDG(15:1_22:1)+H,797.61372,574.40766,556.3971,476.29818,458.28762
MGDG(15:1_22:2)+H,795.59807,572.39201,554.38145,476.29817,458.28761
MGDG(15:1_22:4)+H,791.56677,568.36071,550.35015,476.29815,458.28759
MGDG(15:1_22:5)+H,789.55107,566.34501,548.33445,476.29809,458.28753
MGDG(15:1_22:6)+H,787.53547,564.32941,546.31885,476.29813,458.28757
MGDG(15:1_23:0)+H,813.64503,590.43897,572.42841,476.29821,458.28765
MGDG(15:1_24:0)+H,827.66067,604.45461,586.44405,476.29821,458.28765
MGDG(15:1_24:1)+H,825.64503,602.43897,584.42841,476.29821,458.28765
MGDG(15:1_24:4)+H,819.59807,596.39201,578.38145,476.29817,458.28761
MGDG(15:1_25:0)+H,841.67634,618.47028,600.45972,476.29824,458.28768
MGDG(15:1_26:0)+H,855.69197,632.48591,614.47535,476.29823,458.28767
MGDG(15:1_26:1)+H,853.67634,630.47028,612.45972,476.29824,458.28768
MGDG(15:1_26:2)+H,851.66067,628.45461,610.44405,476.29821,458.28765
MGDG(16:0_2:0)+H,535.34767,296.11033,278.09977,492.32929,474.31873
MGDG(16:0_3:0)+H,549.36327,310.12593,292.11537,492.32925,474.31869
MGDG(16:0_4:0)+H,563.37897,324.14163,306.13107,492.32931,474.31875
MGDG(16:0_5:0)+H,577.39457,338.15723,320.14667,492.32927,474.31871
MGDG(16:0_6:0)+H,591.41027,352.17293,334.16237,492.32933,474.31877
MGDG(16:0_7:0)+H,605.42591,366.18857,348.17801,492.32933,474.31877
MGDG(16:0_8:0)+H,619.44157,380.20423,362.19367,492.32935,474.31879
MGDG(16:0_9:0)+H,633.45722,394.21988,376.20932,492.32936,474.3188
MGDG(16:0_10:0)+H,647.47287,408.23553,390.22497,492.32937,474.31881
MGDG(16:0_11:0)+H,661.48853,422.25119,404.24063,492.32939,474.31883
MGDG(16:0_12:0)+H,675.50417,436.26683,418.25627,492.32939,474.31883
MGDG(16:0_13:0)+H,689.51987,450.28253,432.27197,492.32945,474.31889
MGDG(16:0_14:0)+H,703.53547,464.29813,446.28757,492.32941,474.31885
MGDG(16:0_14:1)+H,701.51987,462.28253,444.27197,492.32945,474.31889
MGDG(16:0_15:0)+H,717.55107,478.31373,460.30317,492.32937,474.31881
MGDG(16:0_15:1)+H,715.53547,476.29813,458.28757,492.32941,474.31885
MGDG(16:0_16:0)+H,731.56677,492.32943,474.31887,492.32943,474.31887
MGDG(16:0_16:1)+H,729.55107,490.31373,472.30317,492.32937,474.31881
MGDG(16:0_17:0)+H,745.5824,506.34506,488.3345,492.32942,474.31886
MGDG(16:0_17:1)+H,743.56677,504.32943,486.31887,492.32943,474.31887
MGDG(16:0_17:2)+H,741.55107,502.31373,484.30317,492.32937,474.31881
MGDG(16:0_18:0)+H,759.59807,520.36073,502.35017,492.32945,474.31889
MGDG(16:0_18:1)+H,757.5824,518.34506,500.3345,492.32942,474.31886
MGDG(16:0_18:2)+H,755.56677,516.32943,498.31887,492.32943,474.31887
MGDG(16:0_18:3)+H,753.55107,514.31373,496.30317,492.32937,474.31881
MGDG(16:0_18:4)+H,751.53547,512.29813,494.28757,492.32941,474.31885
MGDG(16:0_19:0)+H,773.61372,534.37638,516.36582,492.32946,474.3189
MGDG(16:0_20:0)+H,787.62937,548.39203,530.38147,492.32947,474.31891
MGDG(16:0_20:1)+H,785.61372,546.37638,528.36582,492.32946,474.3189
MGDG(16:0_20:2)+H,783.59807,544.36073,526.35017,492.32945,474.31889
MGDG(16:0_20:3)+H,781.5824,542.34506,524.3345,492.32942,474.31886
MGDG(16:0_20:4)+H,779.56677,540.32943,522.31887,492.32943,474.31887
MGDG(16:0_20:5)+H,777.55107,538.31373,520.30317,492.32937,474.31881
MGDG(16:0_21:0)+H,801.64503,562.40769,544.39713,492.32949,474.31893
MGDG(16:0_22:0)+H,815.66067,576.42333,558.41277,492.32949,474.31893
MGDG(16:0_22:1)+H,813.64503,574.40769,556.39713,492.32949,474.31893
MGDG(16:0_22:2)+H,811.62937,572.39203,554.38147,492.32947,474.31891
MGDG(16:0_22:4)+H,807.59807,568.36073,550.35017,492.32945,474.31889
MGDG(16:0_22:5)+H,805.5824,566.34506,548.3345,492.32942,474.31886
MGDG(16:0_22:6)+H,803.56677,564.32943,546.31887,492.32943,474.31887
MGDG(16:0_23:0)+H,829.67634,590.439,572.42844,492.32952,474.31896
MGDG(16:0_24:0)+H,843.69197,604.45463,586.44407,492.32951,474.31895
MGDG(16:0_24:1)+H,841.67634,602.439,584.42844,492.32952,474.31896
MGDG(16:0_24:4)+H,835.62937,596.39203,578.38147,492.32947,474.31891
MGDG(16:0_25:0)+H,857.70767,618.47033,600.45977,492.32957,474.31901
MGDG(16:0_26:0)+H,871.72327,632.48593,614.47537,492.32953,474.31897
MGDG(16:0_26:1)+H,869.70767,630.47033,612.45977,492.32957,474.31901
MGDG(16:0_26:2)+H,867.69197,628.45463,610.44407,492.32951,474.31895
MGDG(16:1_2:0)+H,533.33204,296.11034,278.09978,490.31366,472.3031
MGDG(16:1_3:0)+H,547.34767,310.12597,292.11541,490.31365,472.30309
MGDG(16:1_4:0)+H,561.36327,324.14157,306.13101,490.31361,472.30305
MGDG(16:1_5:0)+H,575.37897,338.15727,320.14671,490.31367,472.30311
MGDG(16:1_6:0)+H,589.39457,352.17287,334.16231,490.31363,472.30307
