GlcADG,[M-H]-,M-sn1,M-sn2,[M-H-sn1+H20]-,[M-H-sn2+H20]-,[M-H-sn1-H20]-,[M-H-sn2-H20]-,SN1,SN2
GlcADG(13:0_26:0)-H,841.6404937,627.4473337,445.2440137,645.4578979,463.2545779,609.4367695,427.2334495,213.18534,395.38866
GlcADG(13:0_26:1)-H,839.6248437,625.4316837,445.2440037,643.4422479,463.2545679,607.4211195,427.2334395,213.18534,393.37302
GlcADG(13:0_26:2)-H,837.6091936,623.4160336,445.2439936,641.4265978,463.2545578,605.4054694,427.2334294,213.18534,391.35738
GlcADG(13:0_3:0)-H,519.2805423,305.0873823,445.2437823,323.0979465,463.2543465,287.0768181,427.2332181,213.18534,73.02894
GlcADG(13:0_4:0)-H,533.2961923,319.1030323,445.2437923,337.1135965,463.2543565,301.0924681,427.2332281,213.18534,87.04458
GlcADG(13:0_5:0)-H,547.3118424,333.1186824,445.2438024,351.1292466,463.2543666,315.1081182,427.2332382,213.18534,101.06022
GlcADG(13:0_6:0)-H,561.3274924,347.1343324,445.2438124,365.1448966,463.2543766,329.1237682,427.2332482,213.18534,115.07586
GlcADG(13:0_7:0)-H,575.3431425,361.1499825,445.2438225,379.1605467,463.2543867,343.1394183,427.2332583,213.18534,129.0915
GlcADG(13:0_8:0)-H,589.3587926,375.1656326,445.2438326,393.1761968,463.2543968,357.1550684,427.2332684,213.18534,143.10714
GlcADG(13:0_9:0)-H,603.3744426,389.1812826,445.2438426,407.1918468,463.2544068,371.1707184,427.2332784,213.18534,157.12278
GlcADG(14:0_14:0)-H,687.468343,459.259543,459.259543,477.2701072,477.2701072,441.2489788,441.2489788,227.20098,227.20098
GlcADG(14:0_14:1)-H,685.452693,457.243893,459.259533,475.2544572,477.2700972,439.2333288,441.2489688,227.20098,225.18534
GlcADG(14:0_15:0)-H,701.4839931,473.2751931,459.2595531,491.2857573,477.2701173,455.2646289,441.2489889,227.20098,241.21662
GlcADG(14:0_15:1)-H,699.468343,471.259543,459.259543,489.2701072,477.2701072,453.2489788,441.2489788,227.20098,239.20098
GlcADG(14:0_16:0)-H,715.4996431,487.2908431,459.2595631,505.3014073,477.2701273,469.2802789,441.2489989,227.20098,255.23226
GlcADG(14:0_16:1)-H,713.4839931,485.2751931,459.2595531,503.2857573,477.2701173,467.2646289,441.2489889,227.20098,253.21662
GlcADG(14:0_17:0)-H,729.5152932,501.3064932,459.2595732,519.3170574,477.2701374,483.295929,441.249009,227.20098,269.2479
GlcADG(14:0_17:1)-H,727.4996431,499.2908431,459.2595631,517.3014073,477.2701273,481.2802789,441.2489989,227.20098,267.23226
GlcADG(14:0_17:2)-H,725.4839931,497.2751931,459.2595531,515.2857573,477.2701173,479.2646289,441.2489889,227.20098,265.21662
GlcADG(14:0_18:0)-H,743.5309433,515.3221433,459.2595833,533.3327075,477.2701475,497.3115791,441.2490191,227.20098,283.26354
GlcADG(14:0_18:1)-H,741.5152932,513.3064932,459.2595732,531.3170574,477.2701374,495.295929,441.249009,227.20098,281.2479
GlcADG(14:0_18:2)-H,739.4996431,511.2908431,459.2595631,529.3014073,477.2701273,493.2802789,441.2489989,227.20098,279.23226
GlcADG(14:0_18:3)-H,737.4839931,509.2751931,459.2595531,527.2857573,477.2701173,491.2646289,441.2489889,227.20098,277.21662
