PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-126+H]+,[M-SN2-126+H]+,SN2-H2O,SN1-H2O,[C5H11O5P+H]+
PEtOH(14:0_24:4)+NH4,770.56947,627.5347,525.334,393.2402,417.3364,285.2426,343.2993,211.2055,183.0417
PEtOH(14:0_25:0)+NH4,792.64767,649.6129,547.4123,393.2402,439.4146,285.2426,365.3776,211.2055,183.0417
PEtOH(14:0_26:0)+NH4,806.66337,663.6286,561.428,393.2403,453.4303,285.2426,379.3932,211.2055,183.0417
PEtOH(14:0_26:1)+NH4,804.64767,661.6129,559.4123,393.2402,451.4146,285.2426,377.3776,211.2055,183.0417
PEtOH(14:0_26:2)+NH4,802.63207,659.5973,557.3967,393.2403,449.399,285.2426,375.3619,211.2055,183.0417
PEtOH(14:0_26:4)+NH4,798.60077,655.566,553.3654,393.2403,445.3677,285.2426,371.3306,211.2055,183.0417
PEtOH(14:0_27:0)+NH4,820.67897,677.6442,575.4435,393.2403,467.446,285.2426,393.4088,211.2055,183.0417
PEtOH(14:1_14:1)+NH4,634.44427,491.4095,391.2245,391.2245,283.2269,283.2269,209.1899,209.1899,183.0417
PEtOH(15:0_14:1)+NH4,650.47557,507.4408,391.2245,407.2558,283.2269,299.2582,209.1899,225.2211,183.0417
PEtOH(14:1_15:1)+NH4,648.45997,505.4252,405.2402,391.2246,297.2426,283.2269,223.2055,209.1899,183.0417
PEtOH(16:0_14:1)+NH4,664.49117,521.4564,391.2245,421.2714,283.2269,313.2738,209.1899,239.2368,183.0417
PEtOH(14:1_16:1)+NH4,662.47557,519.4408,419.2558,391.2245,311.2582,283.2269,237.2211,209.1899,183.0417
PEtOH(14:1_16:2)+NH4,660.45997,517.4252,417.2402,391.2246,309.2426,283.2269,235.2055,209.1899,183.0417
PEtOH(14:1_16:3)+NH4,658.44427,515.4095,415.2245,391.2245,307.2269,283.2269,233.1899,209.1899,183.0417
PEtOH(14:1_16:4)+NH4,656.42867,513.3939,413.2089,391.2245,305.2113,283.2269,231.1742,209.1899,183.0417
PEtOH(17:0_14:1)+NH4,678.50687,535.4721,391.2245,435.2871,283.2269,327.2895,209.1899,253.2524,183.0417
PEtOH(14:1_17:1)+NH4,676.49117,533.4564,433.2714,391.2245,325.2738,283.2269,251.2368,209.1899,183.0417
PEtOH(14:1_17:2)+NH4,674.47557,531.4408,431.2558,391.2245,323.2582,283.2269,249.2211,209.1899,183.0417
PEtOH(18:0_14:1)+NH4,692.52247,549.4877,391.2245,449.3027,283.2269,341.3051,209.1899,267.2681,183.0417
PEtOH(14:1_18:1)+NH4,690.50687,547.4721,447.2871,391.2245,339.2895,283.2269,265.2524,209.1899,183.0417
