DGTS,[M+H]+,[M-H20]+,[M-(C3H9N-CHCOOH-CH2)]+,[M-(C3H9N-CHCOOH)]+,SN1 acyl loss,SN2 acyl loss,M-H2O SN1 loss ,M-H2O SN2 loss ,C10H21NO5H (236.14),C3H9N-CHCOOH-CH2-CH (144.1),C3H9N+ (59)
DGTS(13:0_20:1)+H,724.60867,706.59811,593.51405,607.5297,528.42597,432.33207,510.41541,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_20:2)+H,722.59297,704.58241,591.49835,605.514,526.41027,432.33207,508.39971,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_20:3)+H,720.57737,702.56681,589.48275,603.4984,524.39467,432.33207,506.38411,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_20:4)+H,718.56167,700.55111,587.46705,601.4827,522.37897,432.33207,504.36841,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_20:5)+H,716.54607,698.53551,585.45145,599.4671,520.36337,432.33207,502.35281,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_21:0)+H,740.63997,722.62941,609.54535,623.561,544.45727,432.33207,526.44671,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_22:0)+H,754.65557,736.64501,623.56095,637.5766,558.47287,432.33207,540.46231,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_22:1)+H,752.63997,734.62941,621.54535,635.561,556.45727,432.33207,538.44671,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_22:2)+H,750.62427,732.61371,619.52965,633.5453,554.44157,432.33207,536.43101,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_22:3)+H,748.60867,730.59811,617.51405,631.5297,552.42597,432.33207,534.41541,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_22:4)+H,746.59297,728.58241,615.49835,629.514,550.41027,432.33207,532.39971,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_22:5)+H,744.57737,726.56681,613.48275,627.4984,548.39467,432.33207,530.38411,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_22:6)+H,742.56167,724.55111,611.46705,625.4827,546.37897,432.33207,528.36841,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_23:0)+H,768.67127,750.66071,637.57665,651.5923,572.48857,432.33207,554.47801,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_24:0)+H,782.68687,764.67631,651.59225,665.6079,586.50417,432.33207,568.49361,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_24:1)+H,780.67127,762.66071,649.57665,663.5923,584.48857,432.33207,566.47801,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_25:0)+H,796.70257,778.69201,665.60795,679.6236,600.51987,432.33207,582.50931,414.32151,236.1492402,144.1018984,59.0729454
DGTS(13:0_26:0)+H,810.71817,792.70761,679.62355,693.6392,614.53547,432.33207,596.52491,414.32151,236.1492402,144.1018984,59.0729454
DGTS(14:0_14:0)+H,656.54597,638.53541,525.45135,539.467,446.34767,446.34767,428.33711,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_14:1)+H,654.53037,636.51981,523.43575,537.4514,444.33207,446.34767,426.32151,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_15:0)+H,670.56167,652.55111,539.46705,553.4827,460.36337,446.34767,442.35281,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_15:1)+H,668.54597,650.53541,537.45135,551.467,458.34767,446.34767,440.33711,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_16:0)+H,684.57727,666.56671,553.48265,567.4983,474.37897,446.34767,456.36841,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_16:1)+H,682.56167,664.55111,551.46705,565.4827,472.36337,446.34767,454.35281,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_17:0)+H,698.59297,680.58241,567.49835,581.514,488.39467,446.34767,470.38411,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_17:1)+H,696.57727,678.56671,565.48265,579.4983,486.37897,446.34767,468.36841,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_17:2)+H,694.56167,676.55111,563.46705,577.4827,484.36337,446.34767,466.35281,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_18:0)+H,712.60857,694.59801,581.51395,595.5296,502.41027,446.34767,484.39971,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_18:1)+H,710.59297,692.58241,579.49835,593.514,500.39467,446.34767,482.38411,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_18:2)+H,708.57727,690.56671,577.48265,591.4983,498.37897,446.34767,480.36841,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_18:3)+H,706.56167,688.55111,575.46705,589.4827,496.36337,446.34767,478.35281,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_18:4)+H,704.54597,686.53541,573.45135,587.467,494.34767,446.34767,476.33711,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_19:0)+H,726.62427,708.61371,595.52965,609.5453,516.42597,446.34767,498.41541,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_20:0)+H,740.63987,722.62931,609.54525,623.5609,530.44157,446.34767,512.43101,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_20:1)+H,738.62427,720.61371,607.52965,621.5453,528.42597,446.34767,510.41541,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_20:2)+H,736.60857,718.59801,605.51395,619.5296,526.41027,446.34767,508.39971,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_20:3)+H,734.59297,716.58241,603.49835,617.514,524.39467,446.34767,506.38411,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_20:4)+H,732.57727,714.56671,601.48265,615.4983,522.37897,446.34767,504.36841,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_20:5)+H,730.56167,712.55111,599.46705,613.4827,520.36337,446.34767,502.35281,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_21:0)+H,754.65557,736.64501,623.56095,637.5766,544.45727,446.34767,526.44671,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_22:0)+H,768.67117,750.66061,637.57655,651.5922,558.47287,446.34767,540.46231,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_22:1)+H,766.65557,748.64501,635.56095,649.5766,556.45727,446.34767,538.44671,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_22:2)+H,764.63987,746.62931,633.54525,647.5609,554.44157,446.34767,536.43101,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_22:3)+H,762.62427,744.61371,631.52965,645.5453,552.42597,446.34767,534.41541,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_22:4)+H,760.60857,742.59801,629.51395,643.5296,550.41027,446.34767,532.39971,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_22:5)+H,758.59297,740.58241,627.49835,641.514,548.39467,446.34767,530.38411,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_22:6)+H,756.57727,738.56671,625.48265,639.4983,546.37897,446.34767,528.36841,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_23:0)+H,782.68687,764.67631,651.59225,665.6079,572.48857,446.34767,554.47801,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_24:0)+H,796.70247,778.69191,665.60785,679.6235,586.50417,446.34767,568.49361,428.33711,236.1492402,144.1018984,59.0729454
DGTS(14:0_24:1)+H,794.68687,776.67631,663.59225,677.6079,584.48857,446.34767,566.47801,428.33711,236.1492402,144.1018984,59.0729454
