OxLPC,[M+H]+,MH-PC,MH-Tail1+H2O,PC Head,exp1,exp2,exp3
OxLPC(20:3(OOO))+H,594.34026,411.27426,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:4(OOO))+H,592.32456,409.25856,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:5(OOO))+H,590.30896,407.24296,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:1(OOO))+H,626.40286,443.33686,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:2(OOO))+H,624.38716,441.32116,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:3(OOO))+H,622.37156,439.30556,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:4(OOO))+H,620.35586,437.28986,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:5(OOO))+H,618.34026,435.27426,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:6(OOO))+H,616.32456,433.25856,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(24:1(OOO))+H,654.43416,471.36816,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:1(OOOO))+H,530.27258,347.20658,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:1(OOOO))+H,544.28818,361.22218,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:1(OOOO))+H,558.30388,375.23788,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:1(OOOO))+H,572.31948,389.25348,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:2(OOOO))+H,570.30388,387.23788,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:1(OOOO))+H,586.33518,403.26918,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:2(OOOO))+H,584.31948,401.25348,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:3(OOOO))+H,582.30388,399.23788,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:4(OOOO))+H,580.28818,397.22218,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:1(OOOO))+H,614.36648,431.30048,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:2(OOOO))+H,612.35078,429.28478,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:3(OOOO))+H,610.33518,427.26918,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:4(OOOO))+H,608.31948,425.25348,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:5(OOOO))+H,606.30388,423.23788,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:1(OOOO))+H,642.39778,459.33178,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:2(OOOO))+H,640.38208,457.31608,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:3(OOOO))+H,638.36648,455.30048,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:4(OOOO))+H,636.35078,453.28478,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:5(OOOO))+H,634.33518,451.26918,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(22:6(OOOO))+H,632.31948,449.25348,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(24:1(OOOO))+H,670.42908,487.36308,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:1(Ke))+H,480.27216,297.20616,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:1(Ke))+H,494.28776,311.22176,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:1(Ke))+H,508.30346,325.23746,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:1(Ke))+H,522.31906,339.25306,258.11015,184.07332,124.9994,104.1069,86.0963
