PG,[M+H]+,NL Head,FA1_NL_OH,FA2_NL_OH,exp_1,exp_2,exp_3
PG(14:1_22:6)+H,765.47021,594.46431,283.2268,385.2737,71.0856,95.0855,123.1168
PG(14:1_23:0)+H,791.57981,620.57391,283.2268,411.3833,71.0856,95.0855,123.1168
PG(14:1_24:0)+H,805.59541,634.58951,283.2268,425.3989,71.0856,95.0855,123.1168
PG(14:1_24:1)+H,803.57981,632.57391,283.2268,423.3833,71.0856,95.0855,123.1168
PG(14:1_25:0)+H,819.61111,648.60521,283.2268,439.4146,71.0856,95.0855,123.1168
PG(14:1_26:0)+H,833.62671,662.62081,283.2268,453.4302,71.0856,95.0855,123.1168
PG(15:0_15:0)+H,695.48591,524.48001,299.2581,299.2581,71.0856,95.0855,123.1168
PG(15:0_15:1)+H,693.47021,522.46431,299.2581,297.2424,71.0856,95.0855,123.1168
PG(15:0_16:0)+H,709.50151,538.49561,299.2581,313.2737,71.0856,95.0855,123.1168
PG(15:0_16:1)+H,707.48591,536.48001,299.2581,311.2581,71.0856,95.0855,123.1168
PG(15:0_17:0)+H,723.51721,552.51131,299.2581,327.2894,71.0856,95.0855,123.1168
PG(15:0_17:1)+H,721.50151,550.49561,299.2581,325.2737,71.0856,95.0855,123.1168
PG(15:0_17:2)+H,719.48591,548.48001,299.2581,323.2581,71.0856,95.0855,123.1168
PG(15:0_18:0)+H,737.53281,566.52691,299.2581,341.305,71.0856,95.0855,123.1168
PG(15:0_18:1)+H,735.51721,564.51131,299.2581,339.2894,71.0856,95.0855,123.1168
PG(15:0_18:2)+H,733.50151,562.49561,299.2581,337.2737,71.0856,95.0855,123.1168
PG(15:0_18:3)+H,731.48591,560.48001,299.2581,335.2581,71.0856,95.0855,123.1168
PG(15:0_18:4)+H,729.47021,558.46431,299.2581,333.2424,71.0856,95.0855,123.1168
PG(15:0_19:0)+H,751.54851,580.54261,299.2581,355.3207,71.0856,95.0855,123.1168
PG(15:0_20:0)+H,765.56411,594.55821,299.2581,369.3363,71.0856,95.0855,123.1168
PG(15:0_20:1)+H,763.54851,592.54261,299.2581,367.3207,71.0856,95.0855,123.1168
PG(15:0_20:2)+H,761.53281,590.52691,299.2581,365.305,71.0856,95.0855,123.1168
PG(15:0_20:3)+H,759.51721,588.51131,299.2581,363.2894,71.0856,95.0855,123.1168
PG(15:0_20:4)+H,757.50151,586.49561,299.2581,361.2737,71.0856,95.0855,123.1168
PG(15:0_20:5)+H,755.48591,584.48001,299.2581,359.2581,71.0856,95.0855,123.1168
PG(15:0_21:0)+H,779.57981,608.57391,299.2581,383.352,71.0856,95.0855,123.1168
