BMP,[M+NH4]+,[M-C3H8O6P]+,[SN2+C3H5O]+,[SN1+C3H5O]+
BMP(7:0_22:2)+NH4,694.4653,505.4262,393.3363,187.1329
BMP(7:0_22:3)+NH4,692.4497,503.4106,391.3207,187.1329
BMP(7:0_22:4)+NH4,690.4341,501.3949,389.305,187.1329
BMP(7:0_22:5)+NH4,688.4184,499.3793,387.2894,187.1329
BMP(7:0_22:6)+NH4,686.4028,497.3636,385.2737,187.1329
BMP(7:0_23:0)+NH4,712.5123,523.4732,411.3833,187.1329
BMP(7:0_24:0)+NH4,726.528,537.4888,425.3989,187.1329
BMP(7:0_24:1)+NH4,724.5123,535.4732,423.3833,187.1329
BMP(7:0_24:2)+NH4,722.4966,533.4575,421.3676,187.1329
BMP(7:0_24:4)+NH4,718.4653,529.4262,417.3363,187.1329
BMP(7:0_25:0)+NH4,740.5436,551.5045,439.4146,187.1329
BMP(7:0_26:0)+NH4,754.5593,565.5201,453.4302,187.1329
BMP(7:0_26:1)+NH4,752.5436,563.5045,451.4146,187.1329
BMP(7:0_26:2)+NH4,750.528,561.4888,449.3989,187.1329
BMP(7:0_26:4)+NH4,746.4966,557.4575,445.3676,187.1329
BMP(7:0_27:0)+NH4,768.5749,579.5358,467.4459,187.1329
BMP(8:0_8:0)+NH4,516.2932,327.2541,201.1485,201.1485
BMP(8:0_9:0)+NH4,530.3088,341.2697,215.1642,201.1485
BMP(8:0_10:0)+NH4,544.3245,355.2854,229.1798,201.1485
BMP(8:0_11:0)+NH4,558.3401,369.301,243.1955,201.1485
BMP(8:0_12:0)+NH4,572.3558,383.3167,257.2111,201.1485
BMP(8:0_13:0)+NH4,586.3715,397.3323,271.2268,201.1485
BMP(8:0_13:1)+NH4,584.3558,395.3167,269.2111,201.1485
BMP(8:0_14:0)+NH4,600.3871,411.348,285.2424,201.1485
BMP(8:0_14:1)+NH4,598.3715,409.3323,283.2268,201.1485
BMP(8:0_15:0)+NH4,614.4028,425.3636,299.2581,201.1485
BMP(8:0_15:1)+NH4,612.3871,423.348,297.2424,201.1485
BMP(8:0_16:0)+NH4,628.4184,439.3793,313.2737,201.1485
BMP(8:0_16:1)+NH4,626.4028,437.3636,311.2581,201.1485
BMP(8:0_16:2)+NH4,624.3871,435.348,309.2424,201.1485
BMP(8:0_16:3)+NH4,622.3715,433.3323,307.2268,201.1485
BMP(8:0_16:4)+NH4,620.3558,431.3167,305.2111,201.1485
BMP(8:0_17:0)+NH4,642.4341,453.3949,327.2894,201.1485
BMP(8:0_17:1)+NH4,640.4184,451.3793,325.2737,201.1485
BMP(8:0_17:2)+NH4,638.4028,449.3636,323.2581,201.1485
BMP(8:0_18:0)+NH4,656.4497,467.4106,341.305,201.1485
BMP(8:0_18:1)+NH4,654.4341,465.3949,339.2894,201.1485
BMP(8:0_18:2)+NH4,652.4184,463.3793,337.2737,201.1485
BMP(8:0_18:3)+NH4,650.4028,461.3636,335.2581,201.1485
