Sulfatide,[M-H]-,M-H-H2O-,prec-_sn2,prec-_sn2-H20,Ion_C6H9O8S-,ion_SO4H-
Sulfatide(d18:1_26:1)-H,916.6553136,898.6447536,540.2850336,522.2744736,241.00236,96.96011
Sulfatide(d19:0_2:0)-H,598.3266622,580.3161022,556.3161022,538.3055422,241.00236,96.96011
Sulfatide(d19:0_10:0)-H,710.4518627,692.4413027,556.3161827,538.3056227,241.00236,96.96011
Sulfatide(d19:0_12:0)-H,738.4831629,720.4726029,556.3162029,538.3056429,241.00236,96.96011
Sulfatide(d19:0_14:0)-H,766.514463,748.503903,556.316223,538.305663,241.00236,96.96011
Sulfatide(d19:0_16:0)-H,794.5457631,776.5352031,556.3162431,538.3056831,241.00236,96.96011
Sulfatide(d19:0_18:0)-H,822.5770633,804.5665033,556.3162633,538.3057033,241.00236,96.96011
Sulfatide(d19:0_18:1)-H,820.5614132,802.5508532,556.3162532,538.3056932,241.00236,96.96011
Sulfatide(d19:0_20:0)-H,850.6083634,832.5978034,556.3162834,538.3057234,241.00236,96.96011
Sulfatide(d19:0_22:0)-H,878.6396635,860.6291035,556.3163035,538.3057435,241.00236,96.96011
Sulfatide(d19:0_24:0)-H,906.6709636,888.6604036,556.3163236,538.3057636,241.00236,96.96011
Sulfatide(d19:0_24:1)-H,904.6553136,886.6447536,556.3163136,538.3057536,241.00236,96.96011
Sulfatide(d19:0_24:4)-H,898.6083634,880.5978034,556.3162834,538.3057234,241.00236,96.96011
Sulfatide(d19:0_26:0)-H,934.7022638,916.6917038,556.3163438,538.3057838,241.00236,96.96011
Sulfatide(d19:0_26:1)-H,932.6866137,914.6760537,556.3163337,538.3057737,241.00236,96.96011
Sulfatide(d19:1_2:0)-H,596.3110122,578.3004522,554.3004522,536.2898922,241.00236,96.96011
Sulfatide(d19:1_10:0)-H,708.4362127,690.4256527,554.3005327,536.2899727,241.00236,96.96011
Sulfatide(d19:1_12:0)-H,736.4675128,718.4569528,554.3005528,536.2899928,241.00236,96.96011
Sulfatide(d19:1_14:0)-H,764.4988129,746.4882529,554.3005729,536.2900129,241.00236,96.96011
Sulfatide(d19:1_16:0)-H,792.5301131,774.5195531,554.3005931,536.2900331,241.00236,96.96011
Sulfatide(d19:1_18:0)-H,820.5614132,802.5508532,554.3006132,536.2900532,241.00236,96.96011
Sulfatide(d19:1_18:1)-H,818.5457631,800.5352031,554.3006031,536.2900431,241.00236,96.96011
Sulfatide(d19:1_20:0)-H,848.5927133,830.5821533,554.3006333,536.2900733,241.00236,96.96011
Sulfatide(d19:1_22:0)-H,876.6240134,858.6134534,554.3006534,536.2900934,241.00236,96.96011
Sulfatide(d19:1_24:0)-H,904.6553136,886.6447536,554.3006736,536.2901136,241.00236,96.96011
Sulfatide(d19:1_24:1)-H,902.6396635,884.6291035,554.3006635,536.2901035,241.00236,96.96011
Sulfatide(d19:1_24:4)-H,896.5927133,878.5821533,554.3006333,536.2900733,241.00236,96.96011
Sulfatide(d19:1_26:0)-H,932.6866137,914.6760537,554.3006937,536.2901337,241.00236,96.96011
Sulfatide(d19:1_26:1)-H,930.6709636,912.6604036,554.3006836,536.2901236,241.00236,96.96011
Sulfatide(d18:1_2:0(2OH))-H,598.2902721,580.2797121,540.2848021,522.2742421,241.00236,96.96011
Sulfatide(d18:1_10:0(2OH))-H,710.4154726,692.4049126,540.2848826,522.2743226,241.00236,96.96011
Sulfatide(d18:1_12:0(2OH))-H,738.4467727,720.4362127,540.2849027,522.2743427,241.00236,96.96011
Sulfatide(d18:1_14:0(2OH))-H,766.4780729,748.4675129,540.2849229,522.2743629,241.00236,96.96011
Sulfatide(d18:1_16:0(2OH))-H,794.509373,776.498813,540.284943,522.274383,241.00236,96.96011
Sulfatide(d18:1_18:0(2OH))-H,822.5406731,804.5301131,540.2849631,522.2744031,241.00236,96.96011
Sulfatide(d18:1_18:1(2OH))-H,820.5250231,802.5144631,540.2849531,522.2743931,241.00236,96.96011
Sulfatide(d18:1_20:0(2OH))-H,850.5719733,832.5614133,540.2849833,522.2744233,241.00236,96.96011
Sulfatide(d18:1_22:0(2OH))-H,878.6032734,860.5927134,540.2850034,522.2744434,241.00236,96.96011
Sulfatide(d18:1_24:0(2OH))-H,906.6345735,888.6240135,540.2850235,522.2744635,241.00236,96.96011
Sulfatide(d18:1_24:1(2OH))-H,904.6189234,886.6083634,540.2850134,522.2744534,241.00236,96.96011
Sulfatide(d18:1_24:4(2OH))-H,898.5719733,880.5614133,540.2849833,522.2744233,241.00236,96.96011
Sulfatide(d18:1_26:0(2OH))-H,934.6658736,916.6553136,540.2850436,522.2744836,241.00236,96.96011
Sulfatide(d18:1_26:1(2OH))-H,932.6502236,914.6396636,540.2850336,522.2744736,241.00236,96.96011
Sulfatide(d18:2_2:0)-H,580.2797021,562.2691421,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_10:0)-H,692.4049026,674.3943426,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_12:0)-H,720.4362027,702.4256427,538.2693836,520.2588236,241.00236,96.96011
Sulfatide(d18:2_14:0)-H,748.4675029,730.4569429,538.2693836,520.2588236,241.00236,96.96011
