PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T1Ketene&CH3&HCO2,NL_T2Ketene&CH3&HCO3,NL_T1RCOOH&CH3&HCO2,NL_T2RCOOH&CH3&HCO3,GlyceroPC_NLCH3&H2O,T1_RCOO-,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PC(12:0_19:0)+HCO2,764.54478,704.52364,633.45014,522.35657,424.24697,504.34601,406.23641,224.06881,199.17035,297.27995,168.04314,152.99586,96.96964,78.95852
PC(12:0_20:0)+HCO2,778.56038,718.53924,647.46574,536.37217,424.24697,518.36161,406.23641,224.06881,199.17035,311.29555,168.04314,152.99586,96.96964,78.95852
PC(12:0_20:1)+HCO2,776.54478,716.52364,645.45014,534.35657,424.24697,516.34601,406.23641,224.06881,199.17035,309.27995,168.04314,152.99586,96.96964,78.95852
PC(12:0_20:2)+HCO2,774.52908,714.50794,643.43444,532.34087,424.24697,514.33031,406.23641,224.06881,199.17035,307.26425,168.04314,152.99586,96.96964,78.95852
PC(12:0_20:3)+HCO2,772.51348,712.49234,641.41884,530.32527,424.24697,512.31471,406.23641,224.06881,199.17035,305.24865,168.04314,152.99586,96.96964,78.95852
PC(12:0_20:4)+HCO2,770.49778,710.47664,639.40314,528.30957,424.24697,510.29901,406.23641,224.06881,199.17035,303.23295,168.04314,152.99586,96.96964,78.95852
PC(12:0_20:5)+HCO2,768.48218,708.46104,637.38754,526.29397,424.24697,508.28341,406.23641,224.06881,199.17035,301.21735,168.04314,152.99586,96.96964,78.95852
PC(12:0_21:0)+HCO2,792.57608,732.55494,661.48144,550.38787,424.24697,532.37731,406.23641,224.06881,199.17035,325.31125,168.04314,152.99586,96.96964,78.95852
PC(12:0_22:0)+HCO2,806.59168,746.57054,675.49704,564.40347,424.24697,546.39291,406.23641,224.06881,199.17035,339.32685,168.04314,152.99586,96.96964,78.95852
PC(12:0_22:1)+HCO2,804.57608,744.55494,673.48144,562.38787,424.24697,544.37731,406.23641,224.06881,199.17035,337.31125,168.04314,152.99586,96.96964,78.95852
PC(12:0_22:2)+HCO2,802.56038,742.53924,671.46574,560.37217,424.24697,542.36161,406.23641,224.06881,199.17035,335.29555,168.04314,152.99586,96.96964,78.95852
PC(12:0_22:3)+HCO2,800.54478,740.52364,669.45014,558.35657,424.24697,540.34601,406.23641,224.06881,199.17035,333.27995,168.04314,152.99586,96.96964,78.95852
PC(12:0_22:4)+HCO2,798.52908,738.50794,667.43444,556.34087,424.24697,538.33031,406.23641,224.06881,199.17035,331.26425,168.04314,152.99586,96.96964,78.95852
PC(12:0_22:5)+HCO2,796.51348,736.49234,665.41884,554.32527,424.24697,536.31471,406.23641,224.06881,199.17035,329.24865,168.04314,152.99586,96.96964,78.95852
PC(12:0_22:6)+HCO2,794.49778,734.47664,663.40314,552.30957,424.24697,534.29901,406.23641,224.06881,199.17035,327.23295,168.04314,152.99586,96.96964,78.95852
PC(12:0_23:0)+HCO2,820.60738,760.58624,689.51274,578.41917,424.24697,560.40861,406.23641,224.06881,199.17035,353.34255,168.04314,152.99586,96.96964,78.95852
PC(12:0_24:0)+HCO2,834.62298,774.60184,703.52834,592.43477,424.24697,574.42421,406.23641,224.06881,199.17035,367.35815,168.04314,152.99586,96.96964,78.95852
PC(12:0_24:1)+HCO2,832.60738,772.58624,701.51274,590.41917,424.24697,572.40861,406.23641,224.06881,199.17035,365.34255,168.04314,152.99586,96.96964,78.95852
PC(12:0_25:0)+HCO2,848.63868,788.61754,717.54404,606.45047,424.24697,588.43991,406.23641,224.06881,199.17035,381.37385,168.04314,152.99586,96.96964,78.95852
