GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(14:0_20:3)+NH4,784.55749,591.49885,573.48829,363.29004,285.24312
GlcADG(14:0_20:4)+NH4,782.54184,589.4832,571.47264,361.27439,285.24311
GlcADG(14:0_20:5)+NH4,780.52619,587.46755,569.45699,359.25874,285.2431
GlcADG(14:0_21:0)+NH4,804.62009,611.56145,593.55089,383.35264,285.24316
GlcADG(14:0_22:0)+NH4,818.63574,625.5771,607.56654,397.36829,285.24317
GlcADG(14:0_22:1)+NH4,816.62009,623.56145,605.55089,395.35264,285.24316
GlcADG(14:0_22:2)+NH4,814.60444,621.5458,603.53524,393.33699,285.24315
GlcADG(14:0_22:4)+NH4,810.57314,617.5145,599.50394,389.30569,285.24313
GlcADG(14:0_22:5)+NH4,808.55749,615.49885,597.48829,387.29004,285.24312
GlcADG(14:0_22:6)+NH4,806.54184,613.4832,595.47264,385.27439,285.24311
GlcADG(14:0_23:0)+NH4,832.65139,639.59275,621.58219,411.38394,285.24318
GlcADG(14:0_24:0)+NH4,846.66704,653.6084,635.59784,425.39959,285.24319
GlcADG(14:0_24:1)+NH4,844.65139,651.59275,633.58219,423.38394,285.24318
GlcADG(14:0_24:4)+NH4,838.60444,645.5458,627.53524,417.33699,285.24315
GlcADG(14:0_25:0)+NH4,860.68269,667.62405,649.61349,439.41524,285.2432
GlcADG(14:0_26:0)+NH4,874.69834,681.6397,663.62914,453.43089,285.24321
GlcADG(14:0_26:1)+NH4,872.68269,679.62405,661.61349,451.41524,285.2432
GlcADG(14:0_26:2)+NH4,870.66704,677.6084,659.59784,449.39959,285.24319
GlcADG(14:0_3:0)+NH4,552.33838,359.27974,341.26918,131.07094,285.24298
GlcADG(14:0_4:0)+NH4,566.35403,373.29539,355.28483,145.08659,285.24299
GlcADG(14:0_5:0)+NH4,580.36968,387.31104,369.30048,159.10224,285.243
GlcADG(14:0_6:0)+NH4,594.38533,401.32669,383.31613,173.11789,285.24301
GlcADG(14:0_7:0)+NH4,608.40098,415.34234,397.33178,187.13354,285.24302
GlcADG(14:0_8:0)+NH4,622.41664,429.358,411.34744,201.14919,285.24303
GlcADG(14:0_9:0)+NH4,636.43229,443.37365,425.36309,215.16484,285.24304
GlcADG(14:1_14:1)+NH4,702.47924,509.4206,491.41004,283.22743,283.22743
GlcADG(14:1_15:0)+NH4,718.51054,525.4519,507.44134,299.25873,283.22745
GlcADG(14:1_15:1)+NH4,716.49489,523.43625,505.42569,297.24308,283.22744
GlcADG(14:1_16:0)+NH4,732.52619,539.46755,521.45699,313.27438,283.22746
GlcADG(14:1_16:1)+NH4,730.51054,537.4519,519.44134,311.25873,283.22745
GlcADG(14:1_17:0)+NH4,746.54184,553.4832,535.47264,327.29003,283.22747
GlcADG(14:1_17:1)+NH4,744.52619,551.46755,533.45699,325.27438,283.22746
GlcADG(14:1_17:2)+NH4,742.51054,549.4519,531.44134,323.25873,283.22745
GlcADG(14:1_18:0)+NH4,760.55749,567.49885,549.48829,341.30568,283.22748
GlcADG(14:1_18:1)+NH4,758.54184,565.4832,547.47264,339.29003,283.22747
GlcADG(14:1_18:2)+NH4,756.52619,563.46755,545.45699,337.27438,283.22746
GlcADG(14:1_18:3)+NH4,754.51054,561.4519,543.44134,335.25873,283.22745
GlcADG(14:1_18:4)+NH4,752.49489,559.43625,541.42569,333.24308,283.22744
GlcADG(14:1_19:0)+NH4,774.57314,581.5145,563.50394,355.32133,283.22749
GlcADG(14:1_2:0)+NH4,536.30708,343.24844,325.23788,117.05528,283.22732
GlcADG(14:1_20:0)+NH4,788.58879,595.53015,577.51959,369.33698,283.2275
GlcADG(14:1_20:1)+NH4,786.57314,593.5145,575.50394,367.32133,283.22749
GlcADG(14:1_20:2)+NH4,784.55749,591.49885,573.48829,365.30568,283.22748
GlcADG(14:1_20:3)+NH4,782.54184,589.4832,571.47264,363.29003,283.22747
GlcADG(14:1_20:4)+NH4,780.52619,587.46755,569.45699,361.27438,283.22746
