LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [12_16_(50)],1740.148972,1658.166992,1642.172072,1523.976532,1467.913972,1425.999632,1369.937072
LipidA-PP [12_16_(52)],1768.180272,1686.198292,1670.203372,1552.007832,1495.945272,1454.030932,1397.968372
LipidA-PP [12_16_(54)],1796.211572,1714.229592,1698.234672,1580.039132,1523.976572,1482.062232,1425.999672
LipidA-PP [12_16_(56)],1824.242872,1742.260892,1726.265972,1608.070432,1552.007872,1510.093532,1454.030972
LipidA-PP [12_16_(58)],1852.274173,1770.292193,1754.297273,1636.101733,1580.039173,1538.124833,1482.062273
LipidA-PP [12_16_(60)],1880.305473,1798.323493,1782.328573,1664.133033,1608.070473,1566.156133,1510.093573
LipidA-PP [12_16_(62)],1908.336773,1826.354793,1810.359873,1692.164333,1636.101773,1594.187433,1538.124873
LipidA-PP [12_16_(64)],1936.368073,1854.386093,1838.391173,1720.195633,1664.133073,1622.218733,1566.156173
LipidA-PP [12_16_(66)],1964.399373,1882.417393,1866.422473,1748.226933,1692.164373,1650.250033,1594.187473
LipidA-PP [12_16_(68)],1992.430673,1910.448693,1894.453773,1776.258233,1720.195673,1678.281333,1622.218773
LipidA-PP [12_16_(70)],2020.461973,1938.479993,1922.485073,1804.289533,1748.226973,1706.312633,1650.250073
LipidA-PP [12_16_(72)],2048.493273,1966.511293,1950.516373,1832.320833,1776.258273,1734.343933,1678.281373
LipidA-PP [12_18_(40)],1628.023772,1546.041792,1530.046872,1411.851332,1327.757492,1313.874432,1229.780592
LipidA-PP [12_18_(42)],1656.055072,1574.073092,1558.078172,1439.882632,1355.788792,1341.905732,1257.811892
LipidA-PP [12_18_(44)],1684.086372,1602.104392,1586.109472,1467.913932,1383.820092,1369.937032,1285.843192
LipidA-PP [12_18_(46)],1712.117672,1630.135692,1614.140772,1495.945232,1411.851392,1397.968332,1313.874492
LipidA-PP [12_18_(48)],1740.148972,1658.166992,1642.172072,1523.976532,1439.882692,1425.999632,1341.905792
LipidA-PP [12_18_(50)],1768.180272,1686.198292,1670.203372,1552.007832,1467.913992,1454.030932,1369.937092
LipidA-PP [12_18_(52)],1796.211572,1714.229592,1698.234672,1580.039132,1495.945292,1482.062232,1397.968392
LipidA-PP [12_18_(54)],1824.242872,1742.260892,1726.265972,1608.070432,1523.976592,1510.093532,1425.999692
LipidA-PP [12_18_(56)],1852.274173,1770.292193,1754.297273,1636.101733,1552.007893,1538.124833,1454.030993
LipidA-PP [12_18_(58)],1880.305473,1798.323493,1782.328573,1664.133033,1580.039193,1566.156133,1482.062293
LipidA-PP [12_18_(60)],1908.336773,1826.354793,1810.359873,1692.164333,1608.070493,1594.187433,1510.093593
LipidA-PP [12_18_(62)],1936.368073,1854.386093,1838.391173,1720.195633,1636.101793,1622.218733,1538.124893
LipidA-PP [12_18_(64)],1964.399373,1882.417393,1866.422473,1748.226933,1664.133093,1650.250033,1566.156193
LipidA-PP [12_18_(66)],1992.430673,1910.448693,1894.453773,1776.258233,1692.164393,1678.281333,1594.187493
LipidA-PP [12_18_(68)],2020.461973,1938.479993,1922.485073,1804.289533,1720.195693,1706.312633,1622.218793
LipidA-PP [12_18_(70)],2048.493273,1966.511293,1950.516373,1832.320833,1748.226993,1734.343933,1650.250093
LipidA-PP [12_18_(72)],2076.524574,1994.542594,1978.547674,1860.352134,1776.258294,1762.375234,1678.281394
LipidA-PP [14_10_(40)],1543.929871,1461.947891,1445.952971,1299.726151,1355.788711,1201.749251,1257.811811
LipidA-PP [14_10_(42)],1571.961171,1489.979191,1473.984271,1327.757451,1383.820011,1229.780551,1285.843111
LipidA-PP [14_10_(44)],1599.992471,1518.010491,1502.015571,1355.788751,1411.851311,1257.811851,1313.874411
LipidA-PP [14_10_(46)],1628.023772,1546.041792,1530.046872,1383.820052,1439.882612,1285.843152,1341.905712
LipidA-PP [14_10_(48)],1656.055072,1574.073092,1558.078172,1411.851352,1467.913912,1313.874452,1369.937012
LipidA-PP [14_10_(50)],1684.086372,1602.104392,1586.109472,1439.882652,1495.945212,1341.905752,1397.968312
LipidA-PP [14_10_(52)],1712.117672,1630.135692,1614.140772,1467.913952,1523.976512,1369.937052,1425.999612
LipidA-PP [14_10_(54)],1740.148972,1658.166992,1642.172072,1495.945252,1552.007812,1397.968352,1454.030912
LipidA-PP [14_10_(56)],1768.180272,1686.198292,1670.203372,1523.976552,1580.039112,1425.999652,1482.062212
LipidA-PP [14_10_(58)],1796.211572,1714.229592,1698.234672,1552.007852,1608.070412,1454.030952,1510.093512
LipidA-PP [14_10_(60)],1824.242872,1742.260892,1726.265972,1580.039152,1636.101712,1482.062252,1538.124812
LipidA-PP [14_10_(62)],1852.274173,1770.292193,1754.297273,1608.070453,1664.133013,1510.093553,1566.156113
LipidA-PP [14_10_(64)],1880.305473,1798.323493,1782.328573,1636.101753,1692.164313,1538.124853,1594.187413
LipidA-PP [14_10_(66)],1908.336773,1826.354793,1810.359873,1664.133053,1720.195613,1566.156153,1622.218713
LipidA-PP [14_10_(68)],1936.368073,1854.386093,1838.391173,1692.164353,1748.226913,1594.187453,1650.250013
LipidA-PP [14_10_(70)],1964.399373,1882.417393,1866.422473,1720.195653,1776.258213,1622.218753,1678.281313
LipidA-PP [14_10_(72)],1992.430673,1910.448693,1894.453773,1748.226953,1804.289513,1650.250053,1706.312613
LipidA-PP [14_12_(40)],1571.961171,1489.979191,1473.984271,1327.757451,1355.788731,1229.780551,1257.811831
LipidA-PP [14_12_(42)],1599.992471,1518.010491,1502.015571,1355.788751,1383.820031,1257.811851,1285.843131
LipidA-PP [14_12_(44)],1628.023772,1546.041792,1530.046872,1383.820052,1411.851332,1285.843152,1313.874432
LipidA-PP [14_12_(46)],1656.055072,1574.073092,1558.078172,1411.851352,1439.882632,1313.874452,1341.905732
LipidA-PP [14_12_(48)],1684.086372,1602.104392,1586.109472,1439.882652,1467.913932,1341.905752,1369.937032
LipidA-PP [14_12_(50)],1712.117672,1630.135692,1614.140772,1467.913952,1495.945232,1369.937052,1397.968332
LipidA-PP [14_12_(52)],1740.148972,1658.166992,1642.172072,1495.945252,1523.976532,1397.968352,1425.999632
LipidA-PP [14_12_(54)],1768.180272,1686.198292,1670.203372,1523.976552,1552.007832,1425.999652,1454.030932
LipidA-PP [14_12_(56)],1796.211572,1714.229592,1698.234672,1552.007852,1580.039132,1454.030952,1482.062232
LipidA-PP [14_12_(58)],1824.242872,1742.260892,1726.265972,1580.039152,1608.070432,1482.062252,1510.093532
LipidA-PP [14_12_(60)],1852.274173,1770.292193,1754.297273,1608.070453,1636.101733,1510.093553,1538.124833
LipidA-PP [14_12_(62)],1880.305473,1798.323493,1782.328573,1636.101753,1664.133033,1538.124853,1566.156133
LipidA-PP [14_12_(64)],1908.336773,1826.354793,1810.359873,1664.133053,1692.164333,1566.156153,1594.187433
LipidA-PP [14_12_(66)],1936.368073,1854.386093,1838.391173,1692.164353,1720.195633,1594.187453,1622.218733
LipidA-PP [14_12_(68)],1964.399373,1882.417393,1866.422473,1720.195653,1748.226933,1622.218753,1650.250033
LipidA-PP [14_12_(70)],1992.430673,1910.448693,1894.453773,1748.226953,1776.258233,1650.250053,1678.281333
LipidA-PP [14_12_(72)],2020.461973,1938.479993,1922.485073,1776.258253,1804.289533,1678.281353,1706.312633
LipidA-PP [14_14_(40)],1599.992471,1518.010491,1502.015571,1355.788751,1355.788751,1257.811851,1257.811851
LipidA-PP [14_14_(42)],1628.023772,1546.041792,1530.046872,1383.820052,1383.820052,1285.843152,1285.843152
LipidA-PP [14_14_(44)],1656.055072,1574.073092,1558.078172,1411.851352,1411.851352,1313.874452,1313.874452
LipidA-PP [14_14_(46)],1684.086372,1602.104392,1586.109472,1439.882652,1439.882652,1341.905752,1341.905752
LipidA-PP [14_14_(48)],1712.117672,1630.135692,1614.140772,1467.913952,1467.913952,1369.937052,1369.937052
LipidA-PP [14_14_(50)],1740.148972,1658.166992,1642.172072,1495.945252,1495.945252,1397.968352,1397.968352
LipidA-PP [14_14_(52)],1768.180272,1686.198292,1670.203372,1523.976552,1523.976552,1425.999652,1425.999652
