HexCer-NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NDS(d16:0/22:0)+H,758.651,596.5981,578.5876,560.577,256.2635,238.2529,340.3574,226.2529
HexCer-NDS(d16:0/22:1)+H,756.6353,594.5825,576.572,558.5613,256.2635,238.2529,338.3417,226.2529
HexCer-NDS(d16:0/22:2)+H,754.6197,592.5668,574.5563,556.5457,256.2635,238.2529,336.3261,226.2529
HexCer-NDS(d16:0/23:0)+H,772.6666,610.6138,592.6032,574.5927,256.2635,238.2529,354.373,226.2529
HexCer-NDS(d16:0/23:1)+H,770.651,608.5981,590.5876,572.577,256.2635,238.2529,352.3574,226.2529
HexCer-NDS(d16:0/24:0)+H,786.6823,624.6295,606.6189,588.6083,256.2635,238.2529,368.3887,226.2529
HexCer-NDS(d16:0/24:1)+H,784.6666,622.6138,604.6032,586.5927,256.2635,238.2529,366.373,226.2529
HexCer-NDS(d16:0/24:2)+H,782.651,620.5981,602.5876,584.577,256.2635,238.2529,364.3574,226.2529
HexCer-NDS(d16:0/25:0)+H,800.6979,638.6451,620.6345,602.624,256.2635,238.2529,382.4044,226.2529
HexCer-NDS(d16:0/25:1)+H,798.6823,636.6295,618.6189,600.6083,256.2635,238.2529,380.3887,226.2529
HexCer-NDS(d16:0/26:0)+H,814.7136,652.6608,634.6502,616.6396,256.2635,238.2529,396.42,226.2529
HexCer-NDS(d16:0/26:1)+H,812.6979,650.6451,632.6345,614.624,256.2635,238.2529,394.4044,226.2529
HexCer-NDS(d16:0/26:2)+H,810.6823,648.6295,630.6189,612.6083,256.2635,238.2529,392.3887,226.2529
HexCer-NDS(d16:0/27:0)+H,828.7292,666.6764,648.6658,630.6553,256.2635,238.2529,410.4356,226.2529
HexCer-NDS(d16:0/27:1)+H,826.7136,664.6608,646.6502,628.6396,256.2635,238.2529,408.42,226.2529
HexCer-NDS(d16:0/28:0)+H,842.7449,680.6921,662.6815,644.6709,256.2635,238.2529,424.4513,226.2529
HexCer-NDS(d16:0/28:1)+H,840.7292,678.6764,660.6658,642.6553,256.2635,238.2529,422.4356,226.2529
HexCer-NDS(d16:0/28:2)+H,838.7136,676.6608,658.6502,640.6396,256.2635,238.2529,420.42,226.2529
HexCer-NDS(d16:0/29:0)+H,856.7606,694.7077,676.6971,658.6866,256.2635,238.2529,438.4669,226.2529
HexCer-NDS(d16:0/29:1)+H,854.7449,692.6921,674.6815,656.6709,256.2635,238.2529,436.4513,226.2529
HexCer-NDS(d16:0/30:0)+H,870.7762,708.7234,690.7128,672.7022,256.2635,238.2529,452.4826,226.2529
HexCer-NDS(d16:0/30:1)+H,868.7606,706.7077,688.6971,670.6866,256.2635,238.2529,450.4669,226.2529
HexCer-NDS(d16:0/30:2)+H,866.7449,704.6921,686.6815,668.6709,256.2635,238.2529,448.4513,226.2529
HexCer-NDS(d16:0/31:0)+H,884.7919,722.739,704.7285,686.7179,256.2635,238.2529,466.4983,226.2529
HexCer-NDS(d16:0/31:1)+H,882.7762,720.7234,702.7128,684.7022,256.2635,238.2529,464.4826,226.2529
HexCer-NDS(d16:0/32:0)+H,898.8075,736.7546,718.7441,700.7335,256.2635,238.2529,480.5139,226.2529
HexCer-NDS(d16:0/32:1)+H,896.7919,734.739,716.7285,698.7179,256.2635,238.2529,478.4983,226.2529
HexCer-NDS(d16:0/32:2)+H,894.7762,732.7234,714.7128,696.7022,256.2635,238.2529,476.4826,226.2529
HexCer-NDS(d16:0/33:0)+H,912.8231,750.7703,732.7598,714.7491,256.2635,238.2529,494.5295,226.2529
HexCer-NDS(d16:0/33:1)+H,910.8075,748.7546,730.7441,712.7335,256.2635,238.2529,492.5139,226.2529
HexCer-NDS(d16:0/34:0)+H,926.8388,764.7859,746.7754,728.7648,256.2635,238.2529,508.5452,226.2529
HexCer-NDS(d16:0/34:1)+H,924.8231,762.7703,744.7598,726.7491,256.2635,238.2529,506.5295,226.2529
HexCer-NDS(d16:0/34:2)+H,922.8075,760.7546,742.7441,724.7335,256.2635,238.2529,504.5139,226.2529
HexCer-NDS(d16:0/35:0)+H,940.8544,778.8016,760.791,742.7805,256.2635,238.2529,522.5609,226.2529
