Cer-NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NDS(d17:0/12:0)+H,470.4568,452.4462,434.4356,270.2791,252.2686,200.2009,240.2686
Cer-NDS(d17:0/12:1)+H,468.4411,450.4305,432.42,270.2791,252.2686,198.1853,240.2686
Cer-NDS(d17:0/13:0)+H,484.4724,466.4619,448.4513,270.2791,252.2686,214.2166,240.2686
Cer-NDS(d17:0/13:1)+H,482.4568,464.4462,446.4356,270.2791,252.2686,212.2009,240.2686
Cer-NDS(d17:0/14:0)+H,498.4881,480.4775,462.4669,270.2791,252.2686,228.2322,240.2686
Cer-NDS(d17:0/14:1)+H,496.4724,478.4619,460.4513,270.2791,252.2686,226.2166,240.2686
Cer-NDS(d17:0/15:0)+H,512.5037,494.4932,476.4826,270.2791,252.2686,242.2478,240.2686
Cer-NDS(d17:0/15:1)+H,510.4881,492.4775,474.4669,270.2791,252.2686,240.2322,240.2686
Cer-NDS(d17:0/16:0)+H,526.5193,508.5088,490.4982,270.2791,252.2686,256.2635,240.2686
Cer-NDS(d17:0/16:1)+H,524.5037,506.4932,488.4826,270.2791,252.2686,254.2478,240.2686
Cer-NDS(d17:0/16:2)+H,522.4881,504.4775,486.4669,270.2791,252.2686,252.2322,240.2686
Cer-NDS(d17:0/17:0)+H,540.535,522.5245,504.5139,270.2791,252.2686,270.2791,240.2686
Cer-NDS(d17:0/18:0)+H,554.5507,536.5401,518.5295,270.2791,252.2686,284.2948,240.2686
Cer-NDS(d17:0/18:1)+H,552.535,534.5245,516.5139,270.2791,252.2686,282.2791,240.2686
Cer-NDS(d17:0/18:2)+H,550.5193,532.5088,514.4982,270.2791,252.2686,280.2635,240.2686
Cer-NDS(d17:0/19:0)+H,568.5663,550.5557,532.5452,270.2791,252.2686,298.3105,240.2686
Cer-NDS(d17:0/19:1)+H,566.5507,548.5401,530.5295,270.2791,252.2686,296.2948,240.2686
Cer-NDS(d17:0/20:0)+H,582.582,564.5714,546.5609,270.2791,252.2686,312.3261,240.2686
Cer-NDS(d17:0/20:1)+H,580.5663,562.5557,544.5452,270.2791,252.2686,310.3105,240.2686
Cer-NDS(d17:0/20:2)+H,578.5507,560.5401,542.5295,270.2791,252.2686,308.2948,240.2686
Cer-NDS(d17:0/21:0)+H,596.5976,578.587,560.5765,270.2791,252.2686,326.3417,240.2686
Cer-NDS(d17:0/21:1)+H,594.582,576.5714,558.5609,270.2791,252.2686,324.3261,240.2686
Cer-NDS(d17:0/22:0)+H,610.6133,592.6027,574.5921,270.2791,252.2686,340.3574,240.2686
Cer-NDS(d17:0/22:1)+H,608.5976,590.587,572.5765,270.2791,252.2686,338.3417,240.2686
Cer-NDS(d17:0/22:2)+H,606.582,588.5714,570.5609,270.2791,252.2686,336.3261,240.2686
Cer-NDS(d17:0/23:0)+H,624.6289,606.6183,588.6078,270.2791,252.2686,354.373,240.2686
Cer-NDS(d17:0/23:1)+H,622.6133,604.6027,586.5921,270.2791,252.2686,352.3574,240.2686
Cer-NDS(d17:0/24:0)+H,638.6446,620.634,602.6234,270.2791,252.2686,368.3887,240.2686
Cer-NDS(d17:0/24:1)+H,636.6289,618.6183,600.6078,270.2791,252.2686,366.373,240.2686
Cer-NDS(d17:0/24:2)+H,634.6133,616.6027,598.5921,270.2791,252.2686,364.3574,240.2686
Cer-NDS(d17:0/25:0)+H,652.6602,634.6497,616.6391,270.2791,252.2686,382.4044,240.2686
Cer-NDS(d17:0/25:1)+H,650.6446,632.634,614.6234,270.2791,252.2686,380.3887,240.2686
Cer-NDS(d17:0/26:0)+H,666.6758,648.6653,630.6547,270.2791,252.2686,396.42,240.2686
Cer-NDS(d17:0/26:1)+H,664.6602,646.6497,628.6391,270.2791,252.2686,394.4044,240.2686
Cer-NDS(d17:0/26:2)+H,662.6446,644.634,626.6234,270.2791,252.2686,392.3887,240.2686
Cer-NDS(d17:0/27:0)+H,680.6915,662.681,644.6704,270.2791,252.2686,410.4356,240.2686
Cer-NDS(d17:0/27:1)+H,678.6758,660.6653,642.6547,270.2791,252.2686,408.42,240.2686
Cer-NDS(d17:0/28:0)+H,694.7072,676.6966,658.686,270.2791,252.2686,424.4513,240.2686
