OxPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-R1COOH&TrimethylAmine,Mna-R2COOH&TrimethylAmine,Mna-R1COOH,Mna-R2COOH,Mna-R2COONa
OxPC(12:0_7:1(CHO))+Na,586.31155,403.24551,527.238051,381.26357,327.060421,385.175051,386.13392,444.24855,422.26659
OxPC(12:0_8:1(CHO))+Na,600.3272,417.26116,541.253701,395.27922,341.076071,385.175051,400.14957,444.24855,422.26659
OxPC(12:0_9:1(CHO))+Na,614.34285,431.27681,555.269351,409.29487,355.091721,385.175051,414.16522,444.24855,422.26659
OxPC(12:0_9:2(CHO))+Na,612.3272,429.26116,553.253701,407.27922,353.076071,385.175051,412.14957,444.24855,422.26659
OxPC(12:0_10:1(CHO))+Na,628.3585,445.29246,569.285001,423.31052,369.107371,385.175051,428.18087,444.24855,422.26659
OxPC(12:0_10:2(CHO))+Na,626.34285,443.27681,567.269351,421.29487,367.091721,385.175051,426.16522,444.24855,422.26659
OxPC(12:0_11:1(CHO))+Na,642.37415,459.30811,583.300651,437.32617,383.123021,385.175051,442.19652,444.24855,422.26659
OxPC(12:0_11:2(CHO))+Na,640.3585,457.29246,581.285001,435.31052,381.107371,385.175051,440.18087,444.24855,422.26659
OxPC(12:0_12:1(CHO))+Na,656.3898,473.32376,597.316301,451.34182,397.138671,385.175051,456.21217,444.24855,422.26659
OxPC(12:0_12:2(CHO))+Na,654.37415,471.30811,595.300651,449.32617,395.123021,385.175051,454.19652,444.24855,422.26659
OxPC(12:0_12:3(CHO))+Na,652.3585,469.29246,593.285001,447.31052,393.107371,385.175051,452.18087,444.24855,422.26659
OxPC(12:0_13:1(CHO))+Na,670.40545,487.33941,611.331951,465.35747,411.154321,385.175051,470.22782,444.24855,422.26659
OxPC(12:0_13:2(CHO))+Na,668.3898,485.32376,609.316301,463.34182,409.138671,385.175051,468.21217,444.24855,422.26659
OxPC(12:0_13:3(CHO))+Na,666.37415,483.30811,607.300651,461.32617,407.123021,385.175051,466.19652,444.24855,422.26659
OxPC(12:0_14:1(CHO))+Na,684.4211,501.35506,625.347601,479.37312,425.169971,385.175051,484.24347,444.24855,422.26659
