PC,[M+H]+,MH-PC,MH-tail1&TrimethylAmine,MH-tail2&TrimethylAmine,MH-Tail1,MH-Tail2,LPC_T1_H,LPC_T2_H,RCOO+58_T1,RCOO+58_T2,PC Head
PC(14:0_14:1)+H,676.49124,493.4252,389.208811,391.224411,448.28231,450.29791,468.30849,466.29289,285.24243,283.22683,184.07332
PC(14:0_15:0)+H,692.52254,509.4565,405.240111,391.224411,464.31361,450.29791,468.30849,482.32419,285.24243,299.25813,184.07332
PC(14:0_15:1)+H,690.50684,507.4408,403.224411,391.224411,462.29791,450.29791,468.30849,480.30849,285.24243,297.24243,184.07332
PC(14:0_16:0)+H,706.53814,523.4721,419.255711,391.224411,478.32921,450.29791,468.30849,496.33979,285.24243,313.27373,184.07332
PC(14:0_16:1)+H,704.52254,521.4565,417.240111,391.224411,476.31361,450.29791,468.30849,494.32419,285.24243,311.25813,184.07332
PC(14:0_17:0)+H,720.55384,537.4878,433.271411,391.224411,492.34491,450.29791,468.30849,510.35549,285.24243,327.28943,184.07332
PC(14:0_17:1)+H,718.53814,535.4721,431.255711,391.224411,490.32921,450.29791,468.30849,508.33979,285.24243,325.27373,184.07332
PC(14:0_17:2)+H,716.52254,533.4565,429.240111,391.224411,488.31361,450.29791,468.30849,506.32419,285.24243,323.25813,184.07332
PC(14:0_18:0)+H,734.56944,551.5034,447.287011,391.224411,506.36051,450.29791,468.30849,524.37109,285.24243,341.30503,184.07332
PC(14:0_18:1)+H,732.55384,549.4878,445.271411,391.224411,504.34491,450.29791,468.30849,522.35549,285.24243,339.28943,184.07332
PC(14:0_18:2)+H,730.53814,547.4721,443.255711,391.224411,502.32921,450.29791,468.30849,520.33979,285.24243,337.27373,184.07332
PC(14:0_18:3)+H,728.52254,545.4565,441.240111,391.224411,500.31361,450.29791,468.30849,518.32419,285.24243,335.25813,184.07332
PC(14:0_18:4)+H,726.50684,543.4408,439.224411,391.224411,498.29791,450.29791,468.30849,516.30849,285.24243,333.24243,184.07332
PC(14:0_19:0)+H,748.58514,565.5191,461.302711,391.224411,520.37621,450.29791,468.30849,538.38679,285.24243,355.32073,184.07332
PC(14:0_20:0)+H,762.60074,579.5347,475.318311,391.224411,534.39181,450.29791,468.30849,552.40239,285.24243,369.33633,184.07332
PC(14:0_20:1)+H,760.58514,577.5191,473.302711,391.224411,532.37621,450.29791,468.30849,550.38679,285.24243,367.32073,184.07332
PC(14:0_20:2)+H,758.56944,575.5034,471.287011,391.224411,530.36051,450.29791,468.30849,548.37109,285.24243,365.30503,184.07332
PC(14:0_20:3)+H,756.55384,573.4878,469.271411,391.224411,528.34491,450.29791,468.30849,546.35549,285.24243,363.28943,184.07332
PC(14:0_20:4)+H,754.53814,571.4721,467.255711,391.224411,526.32921,450.29791,468.30849,544.33979,285.24243,361.27373,184.07332
PC(14:0_20:5)+H,752.52254,569.4565,465.240111,391.224411,524.31361,450.29791,468.30849,542.32419,285.24243,359.25813,184.07332
PC(14:0_21:0)+H,776.61644,593.5504,489.334011,391.224411,548.40751,450.29791,468.30849,566.41809,285.24243,383.35203,184.07332
PC(14:0_22:0)+H,790.63204,607.566,503.349611,391.224411,562.42311,450.29791,468.30849,580.43369,285.24243,397.36763,184.07332
PC(14:0_22:1)+H,788.61644,605.5504,501.334011,391.224411,560.40751,450.29791,468.30849,578.41809,285.24243,395.35203,184.07332
PC(14:0_22:2)+H,786.60074,603.5347,499.318311,391.224411,558.39181,450.29791,468.30849,576.40239,285.24243,393.33633,184.07332
PC(14:0_22:3)+H,784.58514,601.5191,497.302711,391.224411,556.37621,450.29791,468.30849,574.38679,285.24243,391.32073,184.07332
PC(14:0_22:4)+H,782.56944,599.5034,495.287011,391.224411,554.36051,450.29791,468.30849,572.37109,285.24243,389.30503,184.07332
PC(14:0_22:5)+H,780.55384,597.4878,493.271411,391.224411,552.34491,450.29791,468.30849,570.35549,285.24243,387.28943,184.07332
PC(14:0_22:6)+H,778.53814,595.4721,491.255711,391.224411,550.32921,450.29791,468.30849,568.33979,285.24243,385.27373,184.07332
PC(14:0_23:0)+H,804.64774,621.5817,517.365311,391.224411,576.43881,450.29791,468.30849,594.44939,285.24243,411.38333,184.07332
PC(14:0_24:0)+H,818.66334,635.5973,531.380911,391.224411,590.45441,450.29791,468.30849,608.46499,285.24243,425.39893,184.07332
