SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,MH-PC-Tail,d(MH-Tail),PC Head,CH2CHN(CH3)3
SM(d14:0/22:0)+H,733.62177,550.55573,674.54823,532.54507,210.221545,320.331085,184.07332,86.09648
SM(d14:0/22:1)+H,731.60617,548.54013,672.53263,530.52947,210.221545,318.315485,184.07332,86.09648
SM(d14:0/22:2)+H,729.59047,546.52443,670.51693,528.51377,210.221545,316.299785,184.07332,86.09648
SM(d14:0/22:3)+H,727.57487,544.50883,668.50133,526.49817,210.221545,314.284185,184.07332,86.09648
SM(d14:0/22:4)+H,725.55917,542.49313,666.48563,524.48247,210.221545,312.268485,184.07332,86.09648
SM(d14:0/22:5)+H,723.54357,540.47753,664.47003,522.46687,210.221545,310.252885,184.07332,86.09648
SM(d14:0/22:6)+H,721.52787,538.46183,662.45433,520.45117,210.221545,308.237185,184.07332,86.09648
SM(d14:0/23:0)+H,747.63747,564.57143,688.56393,546.56077,210.221545,334.346785,184.07332,86.09648
SM(d14:0/24:0)+H,761.65307,578.58703,702.57953,560.57637,210.221545,348.362385,184.07332,86.09648
SM(d14:0/24:1)+H,759.63747,576.57143,700.56393,558.56077,210.221545,346.346785,184.07332,86.09648
SM(d14:0/25:0)+H,775.66877,592.60273,716.59523,574.59207,210.221545,362.378085,184.07332,86.09648
SM(d14:0/26:0)+H,789.68437,606.61833,730.61083,588.60767,210.221545,376.393685,184.07332,86.09648
SM(d14:0/8:0)+H,537.40267,354.33663,478.32913,336.32597,210.221545,124.111985,184.07332,86.09648
SM(d14:1/10:0)+H,563.41837,380.35233,504.34483,362.34167,208.205945,152.143285,184.07332,86.09648
SM(d14:1/12:0)+H,591.44967,408.38363,532.37613,390.37297,208.205945,180.174585,184.07332,86.09648
SM(d14:1/13:0)+H,605.46537,422.39933,546.39183,404.38867,208.205945,194.190285,184.07332,86.09648
SM(d14:1/14:0)+H,619.48097,436.41493,560.40743,418.40427,208.205945,208.205885,184.07332,86.09648
SM(d14:1/14:1)+H,617.46537,434.39933,558.39183,416.38867,208.205945,206.190285,184.07332,86.09648
SM(d14:1/15:0)+H,633.49667,450.43063,574.42313,432.41997,208.205945,222.221585,184.07332,86.09648
SM(d14:1/15:1)+H,631.48097,448.41493,572.40743,430.40427,208.205945,220.205885,184.07332,86.09648
SM(d14:1/16:0)+H,647.51227,464.44623,588.43873,446.43557,208.205945,236.237185,184.07332,86.09648
SM(d14:1/16:1)+H,645.49667,462.43063,586.42313,444.41997,208.205945,234.221585,184.07332,86.09648
SM(d14:1/17:0)+H,661.52797,478.46193,602.45443,460.45127,208.205945,250.252885,184.07332,86.09648
SM(d14:1/17:1)+H,659.51227,476.44623,600.43873,458.43557,208.205945,248.237185,184.07332,86.09648
SM(d14:1/17:2)+H,657.49667,474.43063,598.42313,456.41997,208.205945,246.221585,184.07332,86.09648
SM(d14:1/18:0)+H,675.54357,492.47753,616.47003,474.46687,208.205945,264.268485,184.07332,86.09648
SM(d14:1/18:1)+H,673.52797,490.46193,614.45443,472.45127,208.205945,262.252885,184.07332,86.09648
SM(d14:1/18:2)+H,671.51227,488.44623,612.43873,470.43557,208.205945,260.237185,184.07332,86.09648
SM(d14:1/18:3)+H,669.49667,486.43063,610.42313,468.41997,208.205945,258.221585,184.07332,86.09648
SM(d14:1/18:4)+H,667.48097,484.41493,608.40743,466.40427,208.205945,256.205885,184.07332,86.09648
SM(d14:1/19:0)+H,689.55927,506.49323,630.48573,488.48257,208.205945,278.284185,184.07332,86.09648
SM(d14:1/20:0)+H,703.57487,520.50883,644.50133,502.49817,208.205945,292.299785,184.07332,86.09648
SM(d14:1/20:1)+H,701.55927,518.49323,642.48573,500.48257,208.205945,290.284185,184.07332,86.09648
SM(d14:1/20:2)+H,699.54357,516.47753,640.47003,498.46687,208.205945,288.268485,184.07332,86.09648
SM(d14:1/20:3)+H,697.52797,514.46193,638.45443,496.45127,208.205945,286.252885,184.07332,86.09648
