Cer-NP,[M+C2H3O2]-,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer-NP(t14:1/24:0)+C2H3O2,668.5829,608.5618,590.5512,572.5406,422.3993,410.3993,410.3993,392.3887,209.1536,367.3582,197.1536,366.3736,167.1431
Cer-NP(t14:1/24:1)+C2H3O2,666.5673,606.5461,588.5356,570.525,420.3836,408.3836,408.3836,390.373,209.1536,365.3425,197.1536,364.3579,167.1431
Cer-NP(t14:1/24:2)+C2H3O2,664.5516,604.5305,586.5199,568.5093,418.368,406.368,406.368,388.3574,209.1536,363.3269,197.1536,362.3423,167.1431
Cer-NP(t14:1/25:0)+C2H3O2,682.5986,622.5775,604.5669,586.5563,436.4149,424.4149,424.4149,406.4044,209.1536,381.3738,197.1536,380.3893,167.1431
Cer-NP(t14:1/25:1)+C2H3O2,680.5829,620.5618,602.5512,584.5406,434.3993,422.3993,422.3993,404.3887,209.1536,379.3582,197.1536,378.3736,167.1431
Cer-NP(t14:1/26:0)+C2H3O2,696.6142,636.5931,618.5825,600.572,450.4306,438.4306,438.4306,420.42,209.1536,395.3895,197.1536,394.4049,167.1431
Cer-NP(t14:1/26:1)+C2H3O2,694.5986,634.5775,616.5669,598.5563,448.4149,436.4149,436.4149,418.4044,209.1536,393.3738,197.1536,392.3893,167.1431
Cer-NP(t14:1/26:2)+C2H3O2,692.5829,632.5618,614.5512,596.5406,446.3993,434.3993,434.3993,416.3887,209.1536,391.3582,197.1536,390.3736,167.1431
Cer-NP(t14:1/27:0)+C2H3O2,710.6299,650.6088,632.5981,614.5876,464.4462,452.4462,452.4462,434.4356,209.1536,409.4051,197.1536,408.4205,167.1431
Cer-NP(t14:1/27:1)+C2H3O2,708.6142,648.5931,630.5825,612.572,462.4306,450.4306,450.4306,432.42,209.1536,407.3895,197.1536,406.4049,167.1431
Cer-NP(t14:1/28:0)+C2H3O2,724.6455,664.6244,646.6138,628.6033,478.4619,466.4619,466.4619,448.4513,209.1536,423.4207,197.1536,422.4362,167.1431
Cer-NP(t14:1/28:1)+C2H3O2,722.6299,662.6088,644.5981,626.5876,476.4462,464.4462,464.4462,446.4356,209.1536,421.4051,197.1536,420.4205,167.1431
Cer-NP(t14:1/28:2)+C2H3O2,720.6142,660.5931,642.5825,624.572,474.4306,462.4306,462.4306,444.42,209.1536,419.3895,197.1536,418.4049,167.1431
Cer-NP(t14:1/29:0)+C2H3O2,738.6612,678.64,660.6295,642.6189,492.4775,480.4775,480.4775,462.4669,209.1536,437.4364,197.1536,436.4518,167.1431
Cer-NP(t14:1/29:1)+C2H3O2,736.6455,676.6244,658.6138,640.6033,490.4619,478.4619,478.4619,460.4513,209.1536,435.4207,197.1536,434.4362,167.1431
Cer-NP(t14:1/30:0)+C2H3O2,752.6768,692.6557,674.6451,656.6345,506.4932,494.4932,494.4932,476.4826,209.1536,451.4521,197.1536,450.4675,167.1431
Cer-NP(t14:1/30:1)+C2H3O2,750.6612,690.64,672.6295,654.6189,504.4775,492.4775,492.4775,474.4669,209.1536,449.4364,197.1536,448.4518,167.1431
Cer-NP(t14:1/30:2)+C2H3O2,748.6455,688.6244,670.6138,652.6033,502.4619,490.4619,490.4619,472.4513,209.1536,447.4207,197.1536,446.4362,167.1431
Cer-NP(t14:1/31:0)+C2H3O2,766.6924,706.6713,688.6608,670.6502,520.5089,508.5088,508.5088,490.4983,209.1536,465.4677,197.1536,464.4832,167.1431
Cer-NP(t14:1/31:1)+C2H3O2,764.6768,704.6557,686.6451,668.6345,518.4932,506.4932,506.4932,488.4826,209.1536,463.4521,197.1536,462.4675,167.1431
Cer-NP(t14:1/32:0)+C2H3O2,780.7081,720.687,702.6764,684.6658,534.5245,522.5245,522.5245,504.5139,209.1536,479.4834,197.1536,478.4988,167.1431
Cer-NP(t14:1/32:1)+C2H3O2,778.6924,718.6713,700.6608,682.6502,532.5089,520.5089,520.5089,502.4983,209.1536,477.4677,197.1536,476.4832,167.1431
Cer-NP(t14:1/32:2)+C2H3O2,776.6768,716.6557,698.6451,680.6345,530.4932,518.4932,518.4932,500.4826,209.1536,475.4521,197.1536,474.4675,167.1431
Cer-NP(t14:1/33:0)+C2H3O2,794.7238,734.7026,716.6921,698.6815,548.5401,536.5401,536.5401,518.5295,209.1536,493.499,197.1536,492.5144,167.1431
Cer-NP(t14:1/33:1)+C2H3O2,792.7081,732.687,714.6764,696.6658,546.5245,534.5245,534.5245,516.5139,209.1536,491.4834,197.1536,490.4988,167.1431
Cer-NP(t14:1/34:0)+C2H3O2,808.7394,748.7183,730.7077,712.6971,562.5558,550.5558,550.5558,532.5452,209.1536,507.5146,197.1536,506.5301,167.1431
Cer-NP(t14:1/34:1)+C2H3O2,806.7238,746.7026,728.6921,710.6815,560.5401,548.5401,548.5401,530.5295,209.1536,505.499,197.1536,504.5144,167.1431
Cer-NP(t14:1/34:2)+C2H3O2,804.7081,744.687,726.6764,708.6658,558.5245,546.5245,546.5245,528.5139,209.1536,503.4834,197.1536,502.4988,167.1431
Cer-NP(t14:1/35:0)+C2H3O2,822.7551,762.7339,744.7234,726.7128,576.5714,564.5714,564.5714,546.5609,209.1536,521.5303,197.1536,520.5457,167.1431
Cer-NP(t14:1/35:1)+C2H3O2,820.7394,760.7183,742.7077,724.6971,574.5558,562.5558,562.5558,544.5452,209.1536,519.5146,197.1536,518.5301,167.1431
Cer-NP(t14:1/36:0)+C2H3O2,836.7707,776.7496,758.739,740.7285,590.5871,578.5871,578.5871,560.5765,209.1536,535.546,197.1536,534.5614,167.1431
Cer-NP(t14:1/36:1)+C2H3O2,834.7551,774.7339,756.7234,738.7128,588.5714,576.5714,576.5714,558.5609,209.1536,533.5303,197.1536,532.5457,167.1431
Cer-NP(t14:1/36:2)+C2H3O2,832.7394,772.7183,754.7077,736.6971,586.5558,574.5558,574.5558,556.5452,209.1536,531.5146,197.1536,530.5301,167.1431
Cer-NP(t14:1/38:0)+C2H3O2,864.802,804.7809,786.7703,768.7598,618.6183,606.6183,606.6183,588.6078,209.1536,563.5773,197.1536,562.5927,167.1431
Cer-NP(t14:1/38:1)+C2H3O2,862.7864,802.7653,784.7547,766.7441,616.6027,604.6027,604.6027,586.5922,209.1536,561.5616,197.1536,560.577,167.1431
Cer-NP(t14:1/38:2)+C2H3O2,860.7707,800.7496,782.739,764.7285,614.5871,602.5871,602.5871,584.5765,209.1536,559.546,197.1536,558.5614,167.1431
Cer-NP(t14:1/40:0)+C2H3O2,892.8333,832.8122,814.8016,796.7911,646.6497,634.6497,634.6497,616.6391,209.1536,591.6086,197.1536,590.624,167.1431
Cer-NP(t14:1/40:1)+C2H3O2,890.8177,830.7966,812.7859,794.7754,644.634,632.634,632.634,614.6235,209.1536,589.5929,197.1536,588.6083,167.1431
Cer-NP(t14:1/40:2)+C2H3O2,888.802,828.7809,810.7703,792.7598,642.6183,630.6183,630.6183,612.6078,209.1536,587.5773,197.1536,586.5927,167.1431
Cer-NP(t14:1/42:0)+C2H3O2,920.8646,860.8435,842.8329,824.8223,674.681,662.681,662.681,644.6704,209.1536,619.6398,197.1536,618.6553,167.1431
Cer-NP(t14:1/42:1)+C2H3O2,918.849,858.8278,840.8173,822.8067,672.6653,660.6653,660.6653,642.6547,209.1536,617.6242,197.1536,616.6396,167.1431
Cer-NP(t14:1/42:2)+C2H3O2,916.8333,856.8122,838.8016,820.7911,670.6497,658.6497,658.6497,640.6391,209.1536,615.6086,197.1536,614.624,167.1431
Cer-NP(t14:2/12:0)+C2H3O2,498.3795,438.3583,420.3478,402.3372,254.2115,242.2115,242.2115,224.2009,207.138,199.1704,195.138,198.1858,165.1274
