GM3,[M+NH4]+,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+
GM3(d59:3)+NH4,1517.10655,1500.08,1482.07,1208.985,1190.974,1046.932,1028.922,884.8792,866.8687,292.1027
GM3(d60:0)+NH4,1537.16955,1520.143,1502.133,1229.048,1211.037,1066.995,1048.984,904.9422,886.9316,292.1027
GM3(d60:1)+NH4,1535.15355,1518.127,1500.117,1227.032,1209.021,1064.979,1046.969,902.9262,884.9156,292.1027
GM3(d60:2)+NH4,1533.13755,1516.111,1498.101,1225.016,1207.005,1062.963,1044.953,900.9102,882.8997,292.1027
GM3(d60:3)+NH4,1531.12255,1514.096,1496.086,1223.001,1204.99,1060.948,1042.938,898.8952,880.8846,292.1027
GM3(d61:0)+NH4,1551.18455,1534.158,1516.148,1243.063,1225.052,1081.01,1063,918.9572,900.9467,292.1027
GM3(d61:1)+NH4,1549.16955,1532.143,1514.133,1241.048,1223.037,1078.995,1060.984,916.9422,898.9316,292.1027
GM3(d61:2)+NH4,1547.15355,1530.127,1512.117,1239.032,1221.021,1076.979,1058.969,914.9262,896.9156,292.1027
GM3(d61:3)+NH4,1545.13755,1528.111,1510.101,1237.016,1219.005,1074.963,1056.953,912.9102,894.8997,292.1027
GM3(d62:0)+NH4,1565.20055,1548.174,1530.164,1257.079,1239.068,1095.026,1077.016,932.9732,914.9626,292.1027
GM3(d62:1)+NH4,1563.18455,1546.158,1528.148,1255.063,1237.052,1093.01,1075,930.9572,912.9467,292.1027
GM3(d62:2)+NH4,1561.16955,1544.143,1526.133,1253.048,1235.037,1090.995,1072.984,928.9422,910.9316,292.1027
GM3(d62:3)+NH4,1559.15355,1542.127,1524.117,1251.032,1233.021,1088.979,1070.969,926.9262,908.9156,292.1027
GM3(d63:0)+NH4,1579.21655,1562.19,1544.18,1271.095,1253.084,1109.042,1091.031,946.9892,928.9786,292.1027
GM3(d63:1)+NH4,1577.20055,1560.174,1542.164,1269.079,1251.068,1107.026,1089.016,944.9732,926.9626,292.1027
GM3(d63:2)+NH4,1575.18455,1558.158,1540.148,1267.063,1249.052,1105.01,1087,942.9572,924.9467,292.1027
GM3(d63:3)+NH4,1573.16955,1556.143,1538.133,1265.048,1247.037,1102.995,1084.984,940.9422,922.9316,292.1027
GM3(d64:0)+NH4,1593.23155,1576.205,1558.195,1285.11,1267.099,1123.057,1105.047,961.0042,942.9937,292.1027
GM3(d64:1)+NH4,1591.21655,1574.19,1556.18,1283.095,1265.084,1121.042,1103.031,958.9892,940.9786,292.1027
GM3(d64:2)+NH4,1589.20055,1572.174,1554.164,1281.079,1263.068,1119.026,1101.016,956.9732,938.9626,292.1027
GM3(d64:3)+NH4,1587.18455,1570.158,1552.148,1279.063,1261.052,1117.01,1099,954.9572,936.9467,292.1027
GM3(d65:0)+NH4,1607.24755,1590.221,1572.211,1299.126,1281.115,1137.073,1119.063,975.0202,957.0096,292.1027
GM3(d65:1)+NH4,1605.23155,1588.205,1570.195,1297.11,1279.099,1135.057,1117.047,973.0042,954.9937,292.1027
GM3(d65:2)+NH4,1603.21655,1586.19,1568.18,1295.095,1277.084,1133.042,1115.031,970.9892,952.9786,292.1027
GM3(d65:3)+NH4,1601.20055,1584.174,1566.164,1293.079,1275.068,1131.026,1113.016,968.9732,950.9626,292.1027
GM3(d66:0)+NH4,1621.26355,1604.237,1586.227,1313.142,1295.131,1151.089,1133.078,989.0362,971.0256,292.1027
GM3(d66:1)+NH4,1619.24755,1602.221,1584.211,1311.126,1293.115,1149.073,1131.063,987.0202,969.0096,292.1027
GM3(d66:2)+NH4,1617.23155,1600.205,1582.195,1309.11,1291.099,1147.057,1129.047,985.0042,966.9937,292.1027
GM3(d66:3)+NH4,1615.21655,1598.19,1580.18,1307.095,1289.084,1145.042,1127.031,982.9892,964.9786,292.1027
GM3(d67:0)+NH4,1635.27855,1618.252,1600.242,1327.157,1309.146,1165.104,1147.094,1003.051,985.0406,292.1027
GM3(d67:1)+NH4,1633.26355,1616.237,1598.227,1325.142,1307.131,1163.089,1145.078,1001.036,983.0256,292.1027
GM3(d67:2)+NH4,1631.24755,1614.221,1596.211,1323.126,1305.115,1161.073,1143.063,999.0202,981.0096,292.1027
GM3(d67:3)+NH4,1629.23155,1612.205,1594.195,1321.11,1303.099,1159.057,1141.047,997.0042,978.9937,292.1027
GM3(d68:0)+NH4,1649.29455,1632.268,1614.258,1341.173,1323.162,1179.12,1161.109,1017.067,999.0566,292.1027
GM3(d68:1)+NH4,1647.27855,1630.252,1612.242,1339.157,1321.146,1177.104,1159.094,1015.051,997.0406,292.1027
GM3(d68:2)+NH4,1645.26355,1628.237,1610.227,1337.142,1319.131,1175.089,1157.078,1013.036,995.0256,292.1027
GM3(d68:3)+NH4,1643.24755,1626.221,1608.211,1335.126,1317.115,1173.073,1155.063,1011.02,993.0096,292.1027
GM3(d69:0)+NH4,1663.31055,1646.284,1628.274,1355.189,1337.178,1193.136,1175.125,1031.083,1013.073,292.1027
GM3(d69:1)+NH4,1661.29455,1644.268,1626.258,1353.173,1335.162,1191.12,1173.109,1029.067,1011.057,292.1027
GM3(d69:2)+NH4,1659.27855,1642.252,1624.242,1351.157,1333.146,1189.104,1171.094,1027.051,1009.041,292.1027
GM3(d69:3)+NH4,1657.26355,1640.237,1622.227,1349.142,1331.131,1187.089,1169.078,1025.036,1007.026,292.1027
GM3(d70:0)+NH4,1677.32555,1660.299,1642.289,1369.204,1351.193,1207.151,1189.141,1045.098,1027.088,292.1027
GM3(d70:1)+NH4,1675.31055,1658.284,1640.274,1367.189,1349.178,1205.136,1187.125,1043.083,1025.073,292.1027
GM3(d70:2)+NH4,1673.29455,1656.268,1638.258,1365.173,1347.162,1203.12,1185.109,1041.067,1023.057,292.1027
GM3(d70:3)+NH4,1671.27855,1654.252,1636.242,1363.157,1345.146,1201.104,1183.094,1039.051,1021.041,292.1027
GM3(d71:0)+NH4,1691.34155,1674.315,1656.305,1383.22,1365.209,1221.167,1203.156,1059.114,1041.104,292.1027
GM3(d71:1)+NH4,1689.32555,1672.299,1654.289,1381.204,1363.193,1219.151,1201.141,1057.098,1039.088,292.1027
GM3(d71:2)+NH4,1687.31055,1670.284,1652.274,1379.189,1361.178,1217.136,1199.125,1055.083,1037.073,292.1027
GM3(d71:3)+NH4,1685.29455,1668.268,1650.258,1377.173,1359.162,1215.12,1197.109,1053.067,1035.057,292.1027
GM3(d72:0)+NH4,1705.35655,1688.33,1670.32,1397.235,1379.224,1235.182,1217.172,1073.129,1055.119,292.1027
GM3(d72:1)+NH4,1703.34155,1686.315,1668.305,1395.22,1377.209,1233.167,1215.156,1071.114,1053.104,292.1027
GM3(d72:2)+NH4,1701.32555,1684.299,1666.289,1393.204,1375.193,1231.151,1213.141,1069.098,1051.088,292.1027
GM3(d72:3)+NH4,1699.31055,1682.284,1664.274,1391.189,1373.178,1229.136,1211.125,1067.083,1049.073,292.1027
