OxPC,[M+H]+,M+H-PC,M+H-R1COOH,M+H-R2COOH,M+H-R1CO,M+H-R2CO,PC_head
OxPC(12:0_14:1(CHO))+H,662.4392,479.37314,462.26155,422.26663,480.27213,440.27721,184.07332
OxPC(12:0_14:2(CHO))+H,660.42355,477.35749,460.2459,422.26663,478.25648,440.27721,184.07332
OxPC(12:0_14:3(CHO))+H,658.4079,475.34184,458.23025,422.26663,476.24083,440.27721,184.07332
OxPC(12:0_15:1(CHO))+H,676.45485,493.38879,476.2772,422.26663,494.28778,440.27721,184.07332
OxPC(12:0_15:2(CHO))+H,674.4392,491.37314,474.26155,422.26663,492.27213,440.27721,184.07332
OxPC(12:0_15:3(CHO))+H,672.42355,489.35749,472.2459,422.26663,490.25648,440.27721,184.07332
OxPC(12:0_15:4(CHO))+H,670.4079,487.34184,470.23025,422.26663,488.24083,440.27721,184.07332
OxPC(12:0_16:1(CHO))+H,690.4705,507.40444,490.29285,422.26663,508.30343,440.27721,184.07332
OxPC(12:0_16:2(CHO))+H,688.45485,505.38879,488.2772,422.26663,506.28778,440.27721,184.07332
OxPC(12:0_16:3(CHO))+H,686.4392,503.37314,486.26155,422.26663,504.27213,440.27721,184.07332
OxPC(12:0_16:4(CHO))+H,684.42355,501.35749,484.2459,422.26663,502.25648,440.27721,184.07332
OxPC(12:0_17:4(CHO))+H,698.4392,515.37314,498.26155,422.26663,516.27213,440.27721,184.07332
OxPC(12:0_18:4(CHO))+H,712.45485,529.38879,512.2772,422.26663,530.28778,440.27721,184.07332
OxPC(12:0_18:5(CHO))+H,710.4392,527.37314,510.26155,422.26663,528.27213,440.27721,184.07332
OxPC(12:0_19:4(CHO))+H,726.4705,543.40444,526.29285,422.26663,544.30343,440.27721,184.07332
OxPC(12:0_19:5(CHO))+H,724.45485,541.38879,524.2772,422.26663,542.28778,440.27721,184.07332
OxPC(12:0_3:0(COOH))+H,526.27761,343.21155,326.09996,422.26663,344.11054,440.27721,184.07332
OxPC(12:0_4:0(COOH))+H,540.29326,357.2272,340.11561,422.26663,358.12619,440.27721,184.07332
OxPC(12:0_5:0(COOH))+H,554.30891,371.24285,354.13126,422.26663,372.14184,440.27721,184.07332
OxPC(12:0_6:0(COOH))+H,568.32456,385.2585,368.14691,422.26663,386.15749,440.27721,184.07332
OxPC(12:0_7:0(COOH))+H,582.34021,399.27415,382.16256,422.26663,400.17314,440.27721,184.07332
OxPC(12:0_8:0(COOH))+H,596.35586,413.2898,396.17821,422.26663,414.18879,440.27721,184.07332
OxPC(12:0_9:0(COOH))+H,610.37151,427.30545,410.19386,422.26663,428.20444,440.27721,184.07332
OxPC(12:0_10:0(COOH))+H,624.38716,441.3211,424.20951,422.26663,442.22009,440.27721,184.07332
OxPC(12:0_11:0(COOH))+H,638.40281,455.33675,438.22516,422.26663,456.23574,440.27721,184.07332
OxPC(12:0_12:0(COOH))+H,652.41846,469.3524,452.24081,422.26663,470.25139,440.27721,184.07332
OxPC(12:0_13:0(COOH))+H,666.43411,483.36805,466.25646,422.26663,484.26704,440.27721,184.07332
OxPC(12:0_14:0(COOH))+H,680.44976,497.3837,480.27211,422.26663,498.28269,440.27721,184.07332
