Ac3PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn1+H2O,M-sn2+H2O,M-sn3+H2O,M-C6H10O5,M-sn1-sn2,M-sn1-sn2-C3H5O,sn1 FA,sn2 FA,sn3 FA
Ac3PIM2(14:0_17:1_18:0)-H,1383.853322,1155.644522,1115.613242,1099.581962,1173.655082,1133.623802,1117.592522,1221.800502,887.4044416,831.3782316,227.20098,267.23226,283.26354
Ac3PIM2(14:0_17:1_19:0)-H,1397.868972,1169.660172,1129.628892,1099.581972,1187.670732,1147.639452,1117.592532,1235.816152,901.4200916,845.3938816,227.20098,267.23226,297.27918
Ac3PIM2(14:0_17:1_20:0)-H,1411.884622,1183.675822,1143.644542,1099.581982,1201.686382,1161.655102,1117.592542,1249.831802,915.4357417,859.4095317,227.20098,267.23226,311.29482
Ac3PIM2(14:0_17:1_16:1)-H,1353.806371,1125.597571,1085.566291,1099.581931,1143.608131,1103.576851,1117.592491,1191.753551,857.3574914,801.3312814,227.20098,267.23226,253.21662
Ac3PIM2(14:0_17:1_17:1)-H,1367.822021,1139.613221,1099.581941,1099.581941,1157.623781,1117.592501,1117.592501,1205.769201,871.3731414,815.3469314,227.20098,267.23226,267.23226
Ac3PIM2(14:0_17:1_18:1)-H,1381.837672,1153.628872,1113.597592,1099.581952,1171.639432,1131.608152,1117.592512,1219.784852,885.3887915,829.3625815,227.20098,267.23226,281.2479
Ac3PIM2(14:0_17:1_18:2)-H,1379.822021,1151.613221,1111.581941,1099.581941,1169.623781,1129.592501,1117.592501,1217.769201,883.3731414,827.3469314,227.20098,267.23226,279.23226
Ac3PIM2(14:0_17:1_methyl-18:0)-H,1397.868972,1169.660172,1129.628892,1099.581972,1187.670732,1147.639452,1117.592532,1235.816152,901.4200916,845.3938816,227.20098,267.23226,297.27918
Ac3PIM2(14:0_18:1_14:0)-H,1341.806371,1113.597571,1059.550651,1113.597571,1131.608131,1077.561211,1131.608131,1179.753551,831.3418514,775.3156414,227.20098,281.2479,227.20098
Ac3PIM2(14:0_18:1_15:0)-H,1355.822021,1127.613221,1073.566301,1113.597581,1145.623781,1091.576861,1131.608141,1193.769201,845.3575014,789.3312914,227.20098,281.2479,241.21662
Ac3PIM2(14:0_18:1_16:0)-H,1369.837672,1141.628872,1087.581952,1113.597592,1159.639432,1105.592512,1131.608152,1207.784852,859.3731515,803.3469415,227.20098,281.2479,255.23226
Ac3PIM2(14:0_18:1_17:0)-H,1383.853322,1155.644522,1101.597602,1113.597602,1173.655082,1119.608162,1131.608162,1221.800502,873.3888016,817.3625916,227.20098,281.2479,269.2479
Ac3PIM2(14:0_18:1_18:0)-H,1397.868972,1169.660172,1115.613252,1113.597612,1187.670732,1133.623812,1131.608172,1235.816152,887.4044516,831.3782416,227.20098,281.2479,283.26354
Ac3PIM2(14:0_18:1_19:0)-H,1411.884622,1183.675822,1129.628902,1113.597622,1201.686382,1147.639462,1131.608182,1249.831802,901.4201017,845.3938917,227.20098,281.2479,297.27918
Ac3PIM2(14:0_18:1_20:0)-H,1425.900272,1197.691472,1143.644552,1113.597632,1215.702032,1161.655112,1131.608192,1263.847452,915.4357518,859.4095418,227.20098,281.2479,311.29482
Ac3PIM2(14:0_18:1_16:1)-H,1367.822021,1139.613221,1085.566301,1113.597581,1157.623781,1103.576861,1131.608141,1205.769201,857.3575014,801.3312914,227.20098,281.2479,253.21662
Ac3PIM2(14:0_18:1_17:1)-H,1381.837672,1153.628872,1099.581952,1113.597592,1171.639432,1117.592512,1131.608152,1219.784852,871.3731515,815.3469415,227.20098,281.2479,267.23226
Ac3PIM2(14:0_18:1_18:1)-H,1395.853322,1167.644522,1113.597602,1113.597602,1185.655082,1131.608162,1131.608162,1233.800502,885.3888016,829.3625916,227.20098,281.2479,281.2479
Ac3PIM2(14:0_18:1_18:2)-H,1393.837672,1165.628872,1111.581952,1113.597592,1183.639432,1129.592512,1131.608152,1231.784852,883.3731515,827.3469415,227.20098,281.2479,279.23226
Ac3PIM2(14:0_18:1_methyl-18:0)-H,1411.884622,1183.675822,1129.628902,1113.597622,1201.686382,1147.639462,1131.608182,1249.831802,901.4201017,845.3938917,227.20098,281.2479,297.27918
Ac3PIM2(14:0_18:2_14:0)-H,1339.790721,1111.581921,1059.550641,1111.581921,1129.592481,1077.561201,1129.592481,1177.737901,831.3418413,775.3156313,227.20098,279.23226,227.20098
Ac3PIM2(14:0_18:2_15:0)-H,1353.806371,1125.597571,1073.566291,1111.581931,1143.608131,1091.576851,1129.592491,1191.753551,845.3574914,789.3312814,227.20098,279.23226,241.21662
Ac3PIM2(14:0_18:2_16:0)-H,1367.822021,1139.613221,1087.581941,1111.581941,1157.623781,1105.592501,1129.592501,1205.769201,859.3731414,803.3469314,227.20098,279.23226,255.23226
Ac3PIM2(14:0_18:2_17:0)-H,1381.837672,1153.628872,1101.597592,1111.581952,1171.639432,1119.608152,1129.592512,1219.784852,873.3887915,817.3625815,227.20098,279.23226,269.2479
Ac3PIM2(14:0_18:2_18:0)-H,1395.853322,1167.644522,1115.613242,1111.581962,1185.655082,1133.623802,1129.592522,1233.800502,887.4044416,831.3782316,227.20098,279.23226,283.26354
Ac3PIM2(14:0_18:2_19:0)-H,1409.868972,1181.660172,1129.628892,1111.581972,1199.670732,1147.639452,1129.592532,1247.816152,901.4200916,845.3938816,227.20098,279.23226,297.27918
Ac3PIM2(14:0_18:2_20:0)-H,1423.884622,1195.675822,1143.644542,1111.581982,1213.686382,1161.655102,1129.592542,1261.831802,915.4357417,859.4095317,227.20098,279.23226,311.29482
Ac3PIM2(14:0_18:2_16:1)-H,1365.806371,1137.597571,1085.566291,1111.581931,1155.608131,1103.576851,1129.592491,1203.753551,857.3574914,801.3312814,227.20098,279.23226,253.21662
Ac3PIM2(14:0_18:2_17:1)-H,1379.822021,1151.613221,1099.581941,1111.581941,1169.623781,1117.592501,1129.592501,1217.769201,871.3731414,815.3469314,227.20098,279.23226,267.23226
Ac3PIM2(14:0_18:2_18:1)-H,1393.837672,1165.628872,1113.597592,1111.581952,1183.639432,1131.608152,1129.592512,1231.784852,885.3887915,829.3625815,227.20098,279.23226,281.2479
Ac3PIM2(14:0_18:2_18:2)-H,1391.822021,1163.613221,1111.581941,1111.581941,1181.623781,1129.592501,1129.592501,1229.769201,883.3731414,827.3469314,227.20098,279.23226,279.23226
Ac3PIM2(14:0_18:2_methyl-18:0)-H,1409.868972,1181.660172,1129.628892,1111.581972,1199.670732,1147.639452,1129.592532,1247.816152,901.4200916,845.3938816,227.20098,279.23226,297.27918
Ac3PIM2(14:0_methyl-18:0_14:0)-H,1357.837672,1129.628872,1059.550672,1129.628872,1147.639432,1077.561232,1147.639432,1195.784852,831.3418715,775.3156615,227.20098,297.27918,227.20098
Ac3PIM2(14:0_methyl-18:0_15:0)-H,1371.853322,1143.644522,1073.566322,1129.628882,1161.655082,1091.576882,1147.639442,1209.800502,845.3575216,789.3313116,227.20098,297.27918,241.21662
