LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-PO4H3-R2'-O-FA,[M-H]-PO4H3-R3'-O-FA,[M-H]-(R2'-O-FA)-R2',[M-H]-(R3'-O-FA)-R3',[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [10_10_10_18_3O-(12)_3O-(16)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1413.963252,1357.900692,1511.940152,1455.877592,1425.999612,1425.999612
LipidA-PP [10_10_10_18_3O-(12)_3O-(18)],1740.148972,1658.166992,1642.172072,1552.007812,1552.007812,1441.994552,1357.900712,1539.971452,1455.877612,1454.030912,1454.030912
LipidA-PP [10_10_10_18_3O-(14)_3O-(10)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1329.869372,1385.931932,1427.846272,1483.908832,1369.937012,1369.937012
LipidA-PP [10_10_10_18_3O-(14)_3O-(12)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1357.900672,1385.931952,1455.877572,1483.908852,1397.968312,1397.968312
LipidA-PP [10_10_10_18_3O-(14)_3O-(14)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1385.931972,1385.931972,1483.908872,1483.908872,1425.999612,1425.999612
LipidA-PP [10_10_10_18_3O-(14)_3O-(16)],1740.148972,1658.166992,1642.172072,1552.007812,1552.007812,1413.963272,1385.931992,1511.940172,1483.908892,1454.030912,1454.030912
LipidA-PP [10_10_10_18_3O-(14)_3O-(18)],1768.180272,1686.198292,1670.203372,1580.039112,1580.039112,1441.994572,1385.932012,1539.971472,1483.908912,1482.062212,1482.062212
LipidA-PP [10_10_10_18_3O-(16)_3O-(10)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1329.869392,1413.963232,1427.846292,1511.940132,1397.968312,1397.968312
LipidA-PP [10_10_10_18_3O-(16)_3O-(12)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1357.900692,1413.963252,1455.877592,1511.940152,1425.999612,1425.999612
LipidA-PP [10_10_10_18_3O-(16)_3O-(14)],1740.148972,1658.166992,1642.172072,1552.007812,1552.007812,1385.931992,1413.963272,1483.908892,1511.940172,1454.030912,1454.030912
LipidA-PP [10_10_10_18_3O-(16)_3O-(16)],1768.180272,1686.198292,1670.203372,1580.039112,1580.039112,1413.963292,1413.963292,1511.940192,1511.940192,1482.062212,1482.062212
LipidA-PP [10_10_10_18_3O-(16)_3O-(18)],1796.211572,1714.229592,1698.234672,1608.070412,1608.070412,1441.994592,1413.963312,1539.971492,1511.940212,1510.093512,1510.093512
LipidA-PP [10_10_10_18_3O-(18)_3O-(10)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1329.869412,1441.994532,1427.846312,1539.971432,1425.999612,1425.999612
LipidA-PP [10_10_10_18_3O-(18)_3O-(12)],1740.148972,1658.166992,1642.172072,1552.007812,1552.007812,1357.900712,1441.994552,1455.877612,1539.971452,1454.030912,1454.030912
LipidA-PP [10_10_10_18_3O-(18)_3O-(14)],1768.180272,1686.198292,1670.203372,1580.039112,1580.039112,1385.932012,1441.994572,1483.908912,1539.971472,1482.062212,1482.062212
LipidA-PP [10_10_10_18_3O-(18)_3O-(16)],1796.211572,1714.229592,1698.234672,1608.070412,1608.070412,1413.963312,1441.994592,1511.940212,1539.971492,1510.093512,1510.093512
LipidA-PP [10_10_10_18_3O-(18)_3O-(18)],1824.242872,1742.260892,1726.265972,1636.101712,1636.101712,1441.994612,1441.994612,1539.971512,1539.971512,1538.124812,1538.124812
LipidA-PP [10_10_12_10_3O-(10)_3O-(10)],1515.898571,1433.916591,1417.921671,1327.757411,1327.757411,1245.775431,1245.775431,1343.752331,1343.752331,1229.780511,1229.780511
LipidA-PP [10_10_12_10_3O-(10)_3O-(12)],1543.929871,1461.947891,1445.952971,1355.788711,1355.788711,1273.806731,1245.775451,1371.783631,1343.752351,1257.811811,1257.811811
LipidA-PP [10_10_12_10_3O-(10)_3O-(14)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1301.838031,1245.775471,1399.814931,1343.752371,1285.843111,1285.843111
LipidA-PP [10_10_12_10_3O-(10)_3O-(16)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1329.869331,1245.775491,1427.846231,1343.752391,1313.874411,1313.874411
LipidA-PP [10_10_12_10_3O-(10)_3O-(18)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1357.900632,1245.775512,1455.877532,1343.752412,1341.905712,1341.905712
LipidA-PP [10_10_12_10_3O-(12)_3O-(10)],1543.929871,1461.947891,1445.952971,1355.788711,1355.788711,1245.775451,1273.806731,1343.752351,1371.783631,1257.811811,1257.811811
LipidA-PP [10_10_12_10_3O-(12)_3O-(12)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1273.806751,1273.806751,1371.783651,1371.783651,1285.843111,1285.843111
LipidA-PP [10_10_12_10_3O-(12)_3O-(14)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1301.838051,1273.806771,1399.814951,1371.783671,1313.874411,1313.874411
LipidA-PP [10_10_12_10_3O-(12)_3O-(16)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1329.869352,1273.806792,1427.846252,1371.783692,1341.905712,1341.905712
LipidA-PP [10_10_12_10_3O-(12)_3O-(18)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1357.900652,1273.806812,1455.877552,1371.783712,1369.937012,1369.937012
LipidA-PP [10_10_12_10_3O-(14)_3O-(10)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1245.775471,1301.838031,1343.752371,1399.814931,1285.843111,1285.843111
LipidA-PP [10_10_12_10_3O-(14)_3O-(12)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1273.806771,1301.838051,1371.783671,1399.814951,1313.874411,1313.874411
