PMeOH,[M+NH4]+,[M-CH5O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-112+H]+,[M-SN2-112+H]+,SN2-H2O,SN1-H2O,[C4H9O5P+H]+
PMeOH(13:1_21:2)+NH4,702.50682,573.4877,473.3028,363.1933,379.3208,269.2113,305.2837,195.1742,169.026
PMeOH(22:0_13:1)+NH4,720.55382,591.5347,363.1934,491.3498,269.2114,397.3678,195.1742,323.3306,169.026
PMeOH(13:1_22:1)+NH4,718.53812,589.519,489.334,363.1933,395.3521,269.2113,321.315,195.1742,169.026
PMeOH(13:1_22:2)+NH4,716.52252,587.5034,487.3184,363.1932,393.3364,269.2112,319.2993,195.1742,169.026
PMeOH(13:1_22:3)+NH4,714.50682,585.4877,485.3028,363.1933,391.3208,269.2113,317.2837,195.1742,169.026
PMeOH(13:1_22:4)+NH4,712.49112,583.472,483.287,363.1932,389.3051,269.2112,315.2681,195.1742,169.026
PMeOH(13:1_22:5)+NH4,710.47552,581.4564,481.2715,363.1932,387.2895,269.2113,313.2524,195.1742,169.026
PMeOH(13:1_22:6)+NH4,708.46002,579.4409,479.2559,363.1933,385.2739,269.2113,311.2368,195.1742,169.026
PMeOH(23:0_13:1)+NH4,734.56952,605.5504,363.1933,505.3654,269.2113,411.3834,195.1742,337.3463,169.026
PMeOH(24:0_13:1)+NH4,748.58512,619.566,363.1934,519.381,269.2114,425.3991,195.1742,351.3619,169.026
PMeOH(13:1_24:1)+NH4,746.56952,617.5504,517.3654,363.1933,423.3834,269.2113,349.3463,195.1742,169.026
PMeOH(13:1_24:2)+NH4,744.55382,615.5347,515.3497,363.1934,421.3678,269.2114,347.3306,195.1742,169.026
PMeOH(13:1_24:4)+NH4,740.52252,611.5034,511.3184,363.1932,417.3364,269.2112,343.2993,195.1742,169.026
PMeOH(25:0_13:1)+NH4,762.60072,633.5816,363.1933,533.3967,269.2114,439.4147,195.1742,365.3776,169.026
PMeOH(26:0_13:1)+NH4,776.61652,647.5974,363.1934,547.4124,269.2114,453.4304,195.1742,379.3932,169.026
PMeOH(13:1_26:1)+NH4,774.60072,645.5816,545.3967,363.1933,451.4147,269.2114,377.3776,195.1742,169.026
PMeOH(13:1_26:2)+NH4,772.58512,643.566,543.381,363.1934,449.3991,269.2114,375.3619,195.1742,169.026
PMeOH(13:1_26:4)+NH4,768.55382,639.5347,539.3497,363.1934,445.3678,269.2114,371.3306,195.1742,169.026
PMeOH(27:0_13:1)+NH4,790.63202,661.6129,363.1934,561.428,269.2114,467.446,195.1742,393.4088,169.026
PMeOH(14:0_14:0)+NH4,624.45992,495.4408,379.2246,379.2246,285.2426,285.2426,211.2055,211.2055,169.026
PMeOH(14:0_14:1)+NH4,622.44422,493.4251,377.2089,379.2245,283.2269,285.2425,209.1899,211.2055,169.026
PMeOH(14:0_15:0)+NH4,638.47552,509.4564,393.2402,379.2245,299.2582,285.2426,225.2211,211.2055,169.026
PMeOH(14:0_15:1)+NH4,636.45992,507.4408,391.2246,379.2246,297.2426,285.2426,223.2055,211.2055,169.026
PMeOH(14:0_16:0)+NH4,652.49112,523.472,407.2558,379.2245,313.2738,285.2425,239.2368,211.2055,169.026
PMeOH(14:0_16:1)+NH4,650.47552,521.4564,405.2402,379.2245,311.2582,285.2426,237.2211,211.2055,169.026
PMeOH(14:0_16:2)+NH4,648.46002,519.4409,403.2246,379.2246,309.2426,285.2426,235.2055,211.2055,169.026
PMeOH(14:0_16:3)+NH4,646.44422,517.4251,401.2089,379.2245,307.2269,285.2425,233.1899,211.2055,169.026
PMeOH(14:0_16:4)+NH4,644.42862,515.4095,399.1933,379.2245,305.2113,285.2426,231.1742,211.2055,169.026
PMeOH(14:0_17:0)+NH4,666.50682,537.4877,421.2715,379.2245,327.2895,285.2426,253.2524,211.2055,169.026
PMeOH(14:0_17:1)+NH4,664.49112,535.472,419.2558,379.2245,325.2738,285.2425,251.2368,211.2055,169.026
PMeOH(14:0_17:2)+NH4,662.47552,533.4564,417.2402,379.2245,323.2582,285.2426,249.2211,211.2055,169.026
PMeOH(14:0_18:0)+NH4,680.52252,551.5034,435.2871,379.2245,341.3051,285.2425,267.2681,211.2055,169.026
PMeOH(14:0_18:1)+NH4,678.50682,549.4877,433.2715,379.2245,339.2895,285.2426,265.2524,211.2055,169.026
PMeOH(14:0_18:2)+NH4,676.49112,547.472,431.2558,379.2245,337.2738,285.2425,263.2368,211.2055,169.026
PMeOH(14:0_18:3)+NH4,674.47552,545.4564,429.2402,379.2245,335.2582,285.2426,261.2212,211.2055,169.026
PMeOH(14:0_18:4)+NH4,672.46002,543.4409,427.2246,379.2246,333.2426,285.2426,259.2055,211.2055,169.026
PMeOH(14:0_18:5)+NH4,670.44422,541.4251,425.2089,379.2245,331.2269,285.2425,257.1899,211.2055,169.026
PMeOH(14:0_19:0)+NH4,694.53812,565.519,449.3028,379.2246,355.3208,285.2426,281.2837,211.2055,169.026
PMeOH(14:0_19:1)+NH4,692.52252,563.5034,447.2871,379.2245,353.3051,285.2425,279.2681,211.2055,169.026
PMeOH(14:0_19:2)+NH4,690.50682,561.4877,445.2715,379.2245,351.2895,285.2426,277.2524,211.2055,169.026
PMeOH(14:0_20:0)+NH4,708.55382,579.5347,463.3185,379.2246,369.3365,285.2426,295.2993,211.2055,169.026
PMeOH(14:0_20:1)+NH4,706.53812,577.519,461.3028,379.2246,367.3208,285.2426,293.2837,211.2055,169.026
PMeOH(14:0_20:2)+NH4,704.52252,575.5034,459.2871,379.2245,365.3051,285.2425,291.2681,211.2055,169.026
PMeOH(14:0_20:3)+NH4,702.50682,573.4877,457.2715,379.2245,363.2895,285.2426,289.2524,211.2055,169.026
PMeOH(14:0_20:4)+NH4,700.49112,571.472,455.2558,379.2245,361.2738,285.2425,287.2368,211.2055,169.026
