Ac4PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn4,M-sn1-sn2,M-sn3-sn4,M-sn1-sn2-C3H5O,M-sn3-sn4-C3H5O
Ac4PIM2(14:0_14:0_methyl-18:0_16:0)-H,1596.067337,1367.858537,1367.858537,1297.780337,1339.827257,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_methyl-18:0_17:0)-H,1610.082987,1381.874187,1381.874187,1311.795987,1339.827267,1153.665387,1041.540267,1097.639177,985.5140572
Ac4PIM2(14:0_14:0_methyl-18:0_18:0)-H,1624.098637,1395.889837,1395.889837,1325.811637,1339.827277,1167.681037,1041.540277,1111.654827,985.5140672
Ac4PIM2(14:0_14:0_methyl-18:0_19:0)-H,1638.114287,1409.905487,1409.905487,1339.827287,1339.827287,1181.696687,1041.540287,1125.670477,985.5140773
Ac4PIM2(14:0_14:0_methyl-18:0_20:0)-H,1652.129937,1423.921137,1423.921137,1353.842937,1339.827297,1195.712337,1041.540297,1139.686127,985.5140873
Ac4PIM2(14:0_14:0_methyl-18:0_16:1)-H,1594.051687,1365.842887,1365.842887,1295.764687,1339.827247,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_methyl-18:0_17:1)-H,1608.067337,1379.858537,1379.858537,1309.780337,1339.827257,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_methyl-18:0_18:1)-H,1622.082987,1393.874187,1393.874187,1323.795987,1339.827267,1165.665387,1041.540267,1109.639177,985.5140572
Ac4PIM2(14:0_14:0_methyl-18:0_18:2)-H,1620.067337,1391.858537,1391.858537,1321.780337,1339.827257,1163.649737,1041.540257,1107.623527,985.5140471
Ac4PIM2(14:0_14:0_methyl-18:0_methyl-18:0)-H,1638.114287,1409.905487,1409.905487,1339.827287,1339.827287,1181.696687,1041.540287,1125.670477,985.5140773
Ac4PIM2(14:0_15:0_14:0_14:0)-H,1511.973437,1283.764637,1269.748997,1283.764637,1283.764637,1041.540197,1055.555837,985.5139867,999.5296267
Ac4PIM2(14:0_15:0_14:0_15:0)-H,1525.989087,1297.780287,1283.764647,1297.780287,1283.764647,1055.555847,1055.555847,999.5296368,999.5296368
Ac4PIM2(14:0_15:0_14:0_16:0)-H,1540.004737,1311.795937,1297.780297,1311.795937,1283.764657,1069.571497,1055.555857,1013.545287,999.5296468
Ac4PIM2(14:0_15:0_14:0_17:0)-H,1554.020387,1325.811587,1311.795947,1325.811587,1283.764667,1083.587147,1055.555867,1027.560937,999.5296569
Ac4PIM2(14:0_15:0_14:0_18:0)-H,1568.036037,1339.827237,1325.811597,1339.827237,1283.764677,1097.602797,1055.555877,1041.576587,999.529667
Ac4PIM2(14:0_15:0_14:0_19:0)-H,1582.051687,1353.842887,1339.827247,1353.842887,1283.764687,1111.618447,1055.555887,1055.592237,999.529677
Ac4PIM2(14:0_15:0_14:0_20:0)-H,1596.067337,1367.858537,1353.842897,1367.858537,1283.764697,1125.634097,1055.555897,1069.607887,999.5296871
Ac4PIM2(14:0_15:0_14:0_16:1)-H,1537.989087,1309.780287,1295.764647,1309.780287,1283.764647,1067.555847,1055.555847,1011.529637,999.5296368
Ac4PIM2(14:0_15:0_14:0_17:1)-H,1552.004737,1323.795937,1309.780297,1323.795937,1283.764657,1081.571497,1055.555857,1025.545287,999.5296468
Ac4PIM2(14:0_15:0_14:0_18:1)-H,1566.020387,1337.811587,1323.795947,1337.811587,1283.764667,1095.587147,1055.555867,1039.560937,999.5296569
Ac4PIM2(14:0_15:0_14:0_18:2)-H,1564.004737,1335.795937,1321.780297,1335.795937,1283.764657,1093.571497,1055.555857,1037.545287,999.5296468
Ac4PIM2(14:0_15:0_14:0_methyl-18:0)-H,1582.051687,1353.842887,1339.827247,1353.842887,1283.764687,1111.618447,1055.555887,1055.592237,999.529677
Ac4PIM2(14:0_15:0_15:0_14:0)-H,1525.989087,1297.780287,1283.764647,1283.764647,1297.780287,1055.555847,1055.555847,999.5296368,999.5296368
Ac4PIM2(14:0_15:0_15:0_15:0)-H,1540.004737,1311.795937,1297.780297,1297.780297,1297.780297,1069.571497,1055.555857,1013.545287,999.5296468
Ac4PIM2(14:0_15:0_15:0_16:0)-H,1554.020387,1325.811587,1311.795947,1311.795947,1297.780307,1083.587147,1055.555867,1027.560937,999.5296569
Ac4PIM2(14:0_15:0_15:0_17:0)-H,1568.036037,1339.827237,1325.811597,1325.811597,1297.780317,1097.602797,1055.555877,1041.576587,999.529667
Ac4PIM2(14:0_15:0_15:0_18:0)-H,1582.051687,1353.842887,1339.827247,1339.827247,1297.780327,1111.618447,1055.555887,1055.592237,999.529677
Ac4PIM2(14:0_15:0_15:0_19:0)-H,1596.067337,1367.858537,1353.842897,1353.842897,1297.780337,1125.634097,1055.555897,1069.607887,999.5296871
Ac4PIM2(14:0_15:0_15:0_20:0)-H,1610.082987,1381.874187,1367.858547,1367.858547,1297.780347,1139.649747,1055.555907,1083.623537,999.5296972
Ac4PIM2(14:0_15:0_15:0_16:1)-H,1552.004737,1323.795937,1309.780297,1309.780297,1297.780297,1081.571497,1055.555857,1025.545287,999.5296468
