PS,[M+Na]+,M+Na-87.03203,M+Na-97.9769 (H3PO4),M+Na-185.00892,M+Na-C3H7NO6PNa,NL_87_T1_RCOOH,NL_87_T2_RCOOH,Phosphoserine+Na
PS(14:1_22:5)+Na,802.4630249,715.4309949,704.4861249,519.4772049,595.4721549,489.2376649,385.1750649,207.99872
PS(14:1_22:6)+Na,800.4473249,713.4152949,702.4704249,517.4615049,593.4564549,487.2219649,385.1750649,207.99872
PS(14:1_23:0)+Na,826.5569249,739.5248949,728.5800249,543.5711049,619.5660549,513.3315649,385.1750649,207.99872
PS(14:1_24:0)+Na,840.5725249,753.5404949,742.5956249,557.5867049,633.5816549,527.3471649,385.1750649,207.99872
PS(14:1_24:1)+Na,838.5569249,751.5248949,740.5800249,555.5711049,631.5660549,525.3315649,385.1750649,207.99872
PS(14:1_25:0)+Na,854.5882249,767.5561949,756.6113249,571.6024049,647.5973549,541.3628649,385.1750649,207.99872
PS(14:1_26:0)+Na,868.6038249,781.5717949,770.6269249,585.6180049,661.6129549,555.3784649,385.1750649,207.99872
PS(15:0_15:0)+Na,730.4630249,643.4309949,632.4861249,447.4772049,523.4721549,401.2063649,401.2063649,207.99872
PS(15:0_15:1)+Na,728.4473249,641.4152949,630.4704249,445.4615049,521.4564549,399.1906649,401.2063649,207.99872
PS(15:0_16:0)+Na,744.4786249,657.4465949,646.5017249,461.4928049,537.4877549,415.2219649,401.2063649,207.99872
PS(15:0_16:1)+Na,742.4630249,655.4309949,644.4861249,459.4772049,535.4721549,413.2063649,401.2063649,207.99872
