PS,[M-H]-,M-Serine,GlyceroPC_NLCH3&H2O, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PS(46:1)-H,928.7013,841.66928,224.06881,152.99586,96.96964,78.95852
PS(46:2)-H,926.6856,839.65358,224.06881,152.99586,96.96964,78.95852
PS(46:3)-H,924.67,837.63798,224.06881,152.99586,96.96964,78.95852
PS(46:4)-H,922.6543,835.62228,224.06881,152.99586,96.96964,78.95852
PS(46:5)-H,920.6387,833.60668,224.06881,152.99586,96.96964,78.95852
PS(46:6)-H,918.6231,831.59108,224.06881,152.99586,96.96964,78.95852
PS(46:7)-H,916.6074,829.57538,224.06881,152.99586,96.96964,78.95852
PS(47:0)-H,944.7326,857.70058,224.06881,152.99586,96.96964,78.95852
PS(47:1)-H,942.717,855.68498,224.06881,152.99586,96.96964,78.95852
PS(47:2)-H,940.7013,853.66928,224.06881,152.99586,96.96964,78.95852
PS(47:3)-H,938.6857,851.65368,224.06881,152.99586,96.96964,78.95852
PS(47:4)-H,936.67,849.63798,224.06881,152.99586,96.96964,78.95852
PS(47:5)-H,934.6544,847.62238,224.06881,152.99586,96.96964,78.95852
PS(47:6)-H,932.6387,845.60668,224.06881,152.99586,96.96964,78.95852
PS(48:0)-H,958.7482,871.71618,224.06881,152.99586,96.96964,78.95852
PS(48:1)-H,956.7326,869.70058,224.06881,152.99586,96.96964,78.95852
PS(48:2)-H,954.7169,867.68488,224.06881,152.99586,96.96964,78.95852
PS(48:3)-H,952.7013,865.66928,224.06881,152.99586,96.96964,78.95852
PS(48:4)-H,950.6856,863.65358,224.06881,152.99586,96.96964,78.95852
PS(48:5)-H,948.67,861.63798,224.06881,152.99586,96.96964,78.95852
PS(48:6)-H,946.6543,859.62228,224.06881,152.99586,96.96964,78.95852
PS(49:0)-H,972.7639,885.73188,224.06881,152.99586,96.96964,78.95852
PS(49:1)-H,970.7483,883.71628,224.06881,152.99586,96.96964,78.95852
PS(50:0)-H,986.7795,899.74748,224.06881,152.99586,96.96964,78.95852
PS(50:1)-H,984.7639,897.73188,224.06881,152.99586,96.96964,78.95852
PS(51:0)-H,1000.7952,913.76318,224.06881,152.99586,96.96964,78.95852
PS(52:0)-H,1014.8108,927.77878,224.06881,152.99586,96.96964,78.95852
