PE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,head
PE(15:0_22:5)+H,752.52258,611.50347,387.28942,299.25812,225.22135,313.25265,142.02639
PE(15:0_22:6)+H,750.50688,609.48777,385.27372,299.25812,225.22135,311.23695,142.02639
PE(15:0_23:0)+H,776.61648,635.59737,411.38332,299.25812,225.22135,337.34655,142.02639
PE(15:0_24:0)+H,790.63208,649.61297,425.39892,299.25812,225.22135,351.36215,142.02639
PE(15:0_24:1)+H,788.61648,647.59737,423.38332,299.25812,225.22135,349.34655,142.02639
PE(15:0_25:0)+H,804.64778,663.62867,439.41462,299.25812,225.22135,365.37785,142.02639
PE(15:0_26:0)+H,818.66338,677.64427,453.43022,299.25812,225.22135,379.39345,142.02639
PE(15:1_15:1)+H,660.45988,519.44077,297.24242,297.24242,223.20565,223.20565,142.02639
PE(15:1_16:0)+H,676.49118,535.47207,313.27372,297.24242,223.20565,239.23695,142.02639
PE(15:1_16:1)+H,674.47558,533.45647,311.25812,297.24242,223.20565,237.22135,142.02639
PE(15:1_17:0)+H,690.50688,549.48777,327.28942,297.24242,223.20565,253.25265,142.02639
PE(15:1_17:1)+H,688.49118,547.47207,325.27372,297.24242,223.20565,251.23695,142.02639
PE(15:1_17:2)+H,686.47558,545.45647,323.25812,297.24242,223.20565,249.22135,142.02639
PE(15:1_18:0)+H,704.52248,563.50337,341.30502,297.24242,223.20565,267.26825,142.02639
PE(15:1_18:1)+H,702.50688,561.48777,339.28942,297.24242,223.20565,265.25265,142.02639
PE(15:1_18:2)+H,700.49118,559.47207,337.27372,297.24242,223.20565,263.23695,142.02639
PE(15:1_18:3)+H,698.47558,557.45647,335.25812,297.24242,223.20565,261.22135,142.02639
PE(15:1_18:4)+H,696.45988,555.44077,333.24242,297.24242,223.20565,259.20565,142.02639
PE(15:1_19:0)+H,718.53818,577.51907,355.32072,297.24242,223.20565,281.28395,142.02639
PE(15:1_20:0)+H,732.55378,591.53467,369.33632,297.24242,223.20565,295.29955,142.02639
PE(15:1_20:1)+H,730.53818,589.51907,367.32072,297.24242,223.20565,293.28395,142.02639
PE(15:1_20:2)+H,728.52248,587.50337,365.30502,297.24242,223.20565,291.26825,142.02639
PE(15:1_20:3)+H,726.50688,585.48777,363.28942,297.24242,223.20565,289.25265,142.02639
PE(15:1_20:4)+H,724.49118,583.47207,361.27372,297.24242,223.20565,287.23695,142.02639
PE(15:1_20:5)+H,722.47558,581.45647,359.25812,297.24242,223.20565,285.22135,142.02639
PE(15:1_21:0)+H,746.56948,605.55037,383.35202,297.24242,223.20565,309.31525,142.02639
PE(15:1_22:0)+H,760.58508,619.56597,397.36762,297.24242,223.20565,323.33085,142.02639
PE(15:1_22:1)+H,758.56948,617.55037,395.35202,297.24242,223.20565,321.31525,142.02639
PE(15:1_22:2)+H,756.55378,615.53467,393.33632,297.24242,223.20565,319.29955,142.02639
PE(15:1_22:3)+H,754.53818,613.51907,391.32072,297.24242,223.20565,317.28395,142.02639
PE(15:1_22:4)+H,752.52248,611.50337,389.30502,297.24242,223.20565,315.26825,142.02639
PE(15:1_22:5)+H,750.50688,609.48777,387.28942,297.24242,223.20565,313.25265,142.02639
PE(15:1_22:6)+H,748.49118,607.47207,385.27372,297.24242,223.20565,311.23695,142.02639
PE(15:1_23:0)+H,774.60078,633.58167,411.38332,297.24242,223.20565,337.34655,142.02639
PE(15:1_24:0)+H,788.61638,647.59727,425.39892,297.24242,223.20565,351.36215,142.02639
PE(15:1_24:1)+H,786.60078,645.58167,423.38332,297.24242,223.20565,349.34655,142.02639
PE(15:1_25:0)+H,802.63208,661.61297,439.41462,297.24242,223.20565,365.37785,142.02639
PE(15:1_26:0)+H,816.64768,675.62857,453.43022,297.24242,223.20565,379.39345,142.02639
PE(16:0_16:0)+H,692.52248,551.50337,313.27372,313.27372,239.23695,239.23695,142.02639
PE(16:0_16:1)+H,690.50688,549.48777,311.25812,313.27372,239.23695,237.22135,142.02639
PE(16:0_17:0)+H,706.53818,565.51907,327.28942,313.27372,239.23695,253.25265,142.02639
PE(16:0_17:1)+H,704.52248,563.50337,325.27372,313.27372,239.23695,251.23695,142.02639
