GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d17:1/19:1)+HCO2,770.57883,724.57333,562.52053,320.29599,277.27789,223.20728,179.05615
GlcCer_NS(d17:1/19:2)+HCO2,768.56317,722.55767,560.50487,318.28033,275.26223,223.20728,179.05615
GlcCer_NS(d17:1/19:3)+HCO2,766.54751,720.54201,558.48921,316.26467,273.24657,223.20728,179.05615
GlcCer_NS(d17:1/19:4)+HCO2,764.53185,718.52635,556.47355,314.24901,271.23091,223.20728,179.05615
GlcCer_NS(d17:1/20:0)+HCO2,786.61015,740.60465,578.55185,336.32731,293.30921,223.20728,179.05615
GlcCer_NS(d17:1/20:1)+HCO2,784.59449,738.58899,576.53619,334.31165,291.29355,223.20728,179.05615
GlcCer_NS(d17:1/20:2)+HCO2,782.57883,736.57333,574.52053,332.29599,289.27789,223.20728,179.05615
GlcCer_NS(d17:1/20:3)+HCO2,780.56317,734.55767,572.50487,330.28033,287.26223,223.20728,179.05615
GlcCer_NS(d17:1/20:4)+HCO2,778.54751,732.54201,570.48921,328.26467,285.24657,223.20728,179.05615
GlcCer_NS(d17:1/21:0)+HCO2,800.62581,754.62031,592.56751,350.34297,307.32487,223.20728,179.05615
GlcCer_NS(d17:1/21:1)+HCO2,798.61015,752.60465,590.55185,348.32731,305.30921,223.20728,179.05615
GlcCer_NS(d17:1/21:2)+HCO2,796.59449,750.58899,588.53619,346.31165,303.29355,223.20728,179.05615
GlcCer_NS(d17:1/21:3)+HCO2,794.57883,748.57333,586.52053,344.29599,301.27789,223.20728,179.05615
GlcCer_NS(d17:1/21:4)+HCO2,792.56317,746.55767,584.50487,342.28033,299.26223,223.20728,179.05615
GlcCer_NS(d17:1/22:0)+HCO2,814.64147,768.63597,606.58317,364.35863,321.34053,223.20728,179.05615
GlcCer_NS(d17:1/22:1)+HCO2,812.62581,766.62031,604.56751,362.34297,319.32487,223.20728,179.05615
GlcCer_NS(d17:1/22:2)+HCO2,810.61015,764.60465,602.55185,360.32731,317.30921,223.20728,179.05615
GlcCer_NS(d17:1/22:3)+HCO2,808.59449,762.58899,600.53619,358.31165,315.29355,223.20728,179.05615
GlcCer_NS(d17:1/22:4)+HCO2,806.57883,760.57333,598.52053,356.29599,313.27789,223.20728,179.05615
GlcCer_NS(d17:1/23:0)+HCO2,828.65713,782.65163,620.59883,378.37429,335.35619,223.20728,179.05615
GlcCer_NS(d17:1/23:1)+HCO2,826.64147,780.63597,618.58317,376.35863,333.34053,223.20728,179.05615
GlcCer_NS(d17:1/23:2)+HCO2,824.62581,778.62031,616.56751,374.34297,331.32487,223.20728,179.05615
