HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t14:2/19:1)+HCO2,758.5054,712.5,550.4471,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t14:2/20:0)+HCO2,774.5367,728.5313,566.4785,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t14:2/20:1)+HCO2,772.5211,726.5156,564.4628,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t14:2/20:2)+HCO2,770.5054,724.5,562.4471,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t14:2/21:0)+HCO2,788.5524,742.5469,580.4941,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t14:2/21:1)+HCO2,786.5367,740.5313,578.4785,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t14:2/22:0)+HCO2,802.5681,756.5626,594.5098,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t14:2/22:1)+HCO2,800.5524,754.5469,592.4941,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t14:2/22:2)+HCO2,798.5367,752.5313,590.4785,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t14:2/23:0)+HCO2,816.5837,770.5782,608.5254,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t14:2/23:1)+HCO2,814.5681,768.5626,606.5098,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t14:2/24:0)+HCO2,830.5994,784.5939,622.541,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t14:2/24:1)+HCO2,828.5837,782.5782,620.5254,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t14:2/24:2)+HCO2,826.5681,780.5626,618.5098,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t14:2/25:0)+HCO2,844.615,798.6096,636.5567,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t14:2/25:1)+HCO2,842.5994,796.5939,634.541,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t14:2/26:0)+HCO2,858.6307,812.6252,650.5723,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t14:2/26:1)+HCO2,856.615,810.6096,648.5567,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t14:2/26:2)+HCO2,854.5994,808.5939,646.541,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t14:2/27:0)+HCO2,872.6463,826.6408,664.588,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t14:2/27:1)+HCO2,870.6307,824.6252,662.5723,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t14:2/28:0)+HCO2,886.6619,840.6565,678.6036,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t14:2/28:1)+HCO2,884.6463,838.6408,676.588,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t14:2/28:2)+HCO2,882.6307,836.6252,674.5723,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t14:2/29:0)+HCO2,900.6776,854.6721,692.6193,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t14:2/29:1)+HCO2,898.6619,852.6565,690.6036,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t14:2/30:0)+HCO2,914.6932,868.6878,706.6349,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t14:2/30:1)+HCO2,912.6776,866.6721,704.6193,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t14:2/30:2)+HCO2,910.6619,864.6565,702.6036,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t14:2/31:0)+HCO2,928.7089,882.7034,720.6506,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t14:2/31:1)+HCO2,926.6932,880.6878,718.6349,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t14:2/32:0)+HCO2,942.7245,896.7191,734.6663,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t14:2/32:1)+HCO2,940.7089,894.7034,732.6506,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t14:2/32:2)+HCO2,938.6932,892.6878,730.6349,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t14:2/33:0)+HCO2,956.7402,910.7347,748.6819,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t14:2/33:1)+HCO2,954.7245,908.7191,746.6663,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t14:2/34:0)+HCO2,970.7559,924.7504,762.6976,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t14:2/34:1)+HCO2,968.7402,922.7347,760.6819,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t14:2/34:2)+HCO2,966.7245,920.7191,758.6663,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t14:2/35:0)+HCO2,984.7715,938.7661,776.7132,592.5663,562.5558,537.5252,179.0556,491.5197
