PE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
PE(14:1_17:2)+Na,694.4419178,651.3997178,553.4228235,425.2065378,385.1752378,164.00888
PE(14:1_18:0)+Na,712.4888178,669.4466178,571.4697235,443.2534378,385.1752378,164.00888
PE(14:1_18:1)+Na,710.4732178,667.4310178,569.4541235,441.2378378,385.1752378,164.00888
PE(14:1_18:2)+Na,708.4575178,665.4153178,567.4384235,439.2221378,385.1752378,164.00888
PE(14:1_18:3)+Na,706.4419178,663.3997178,565.4228235,437.2065378,385.1752378,164.00888
PE(14:1_18:4)+Na,704.4262178,661.3840178,563.4071235,435.1908378,385.1752378,164.00888
PE(14:1_19:0)+Na,726.5045178,683.4623178,585.4854235,457.2691378,385.1752378,164.00888
PE(14:1_20:0)+Na,740.5201178,697.4779178,599.5010235,471.2847378,385.1752378,164.00888
PE(14:1_20:1)+Na,738.5045178,695.4623178,597.4854235,469.2691378,385.1752378,164.00888
PE(14:1_20:2)+Na,736.4888178,693.4466178,595.4697235,467.2534378,385.1752378,164.00888
PE(14:1_20:3)+Na,734.4732178,691.4310178,593.4541235,465.2378378,385.1752378,164.00888
PE(14:1_20:4)+Na,732.4575178,689.4153178,591.4384235,463.2221378,385.1752378,164.00888
PE(14:1_20:5)+Na,730.4419178,687.3997178,589.4228235,461.2065378,385.1752378,164.00888
PE(14:1_21:0)+Na,754.5358178,711.4936178,613.5167235,485.3004378,385.1752378,164.00888
PE(14:1_22:0)+Na,768.5514178,725.5092178,627.5323235,499.3160378,385.1752378,164.00888
PE(14:1_22:1)+Na,766.5358178,723.4936178,625.5167235,497.3004378,385.1752378,164.00888
PE(14:1_22:2)+Na,764.5201178,721.4779178,623.5010235,495.2847378,385.1752378,164.00888
PE(14:1_22:3)+Na,762.5045178,719.4623178,621.4854235,493.2691378,385.1752378,164.00888
PE(14:1_22:4)+Na,760.4888178,717.4466178,619.4697235,491.2534378,385.1752378,164.00888
PE(14:1_22:5)+Na,758.4732178,715.4310178,617.4541235,489.2378378,385.1752378,164.00888
PE(14:1_22:6)+Na,756.4575178,713.4153178,615.4384235,487.2221378,385.1752378,164.00888
PE(14:1_23:0)+Na,782.5671178,739.5249178,641.5480235,513.3317378,385.1752378,164.00888
PE(14:1_24:0)+Na,796.5827178,753.5405178,655.5636235,527.3473378,385.1752378,164.00888
PE(14:1_24:1)+Na,794.5671178,751.5249178,653.5480235,525.3317378,385.1752378,164.00888
PE(14:1_25:0)+Na,810.5984178,767.5562178,669.5793235,541.3630378,385.1752378,164.00888
PE(14:1_26:0)+Na,824.6140178,781.5718178,683.5949235,555.3786378,385.1752378,164.00888
PE(15:0_15:0)+Na,686.4732178,643.4310178,545.4541235,401.2065378,401.2065378,164.00888
PE(15:0_15:1)+Na,684.4575178,641.4153178,543.4384235,399.1908378,401.2065378,164.00888
PE(15:0_16:0)+Na,700.4888178,657.4466178,559.4697235,415.2221378,401.2065378,164.00888
PE(15:0_16:1)+Na,698.4732178,655.4310178,557.4541235,413.2065378,401.2065378,164.00888
PE(15:0_17:0)+Na,714.5045178,671.4623178,573.4854235,429.2378378,401.2065378,164.00888
PE(15:0_17:1)+Na,712.4888178,669.4466178,571.4697235,427.2221378,401.2065378,164.00888
PE(15:0_17:2)+Na,710.4732178,667.4310178,569.4541235,425.2065378,401.2065378,164.00888
PE(15:0_18:0)+Na,728.5201178,685.4779178,587.5010235,443.2534378,401.2065378,164.00888
PE(15:0_18:1)+Na,726.5045178,683.4623178,585.4854235,441.2378378,401.2065378,164.00888
PE(15:0_18:2)+Na,724.4888178,681.4466178,583.4697235,439.2221378,401.2065378,164.00888
PE(15:0_18:3)+Na,722.4732178,679.4310178,581.4541235,437.2065378,401.2065378,164.00888
PE(15:0_18:4)+Na,720.4575178,677.4153178,579.4384235,435.1908378,401.2065378,164.00888
PE(15:0_19:0)+Na,742.5358178,699.4936178,601.5167235,457.2691378,401.2065378,164.00888
PE(15:0_20:0)+Na,756.5514178,713.5092178,615.5323235,471.2847378,401.2065378,164.00888
PE(15:0_20:1)+Na,754.5358178,711.4936178,613.5167235,469.2691378,401.2065378,164.00888
PE(15:0_20:2)+Na,752.5201178,709.4779178,611.5010235,467.2534378,401.2065378,164.00888
PE(15:0_20:3)+Na,750.5045178,707.4623178,609.4854235,465.2378378,401.2065378,164.00888
PE(15:0_20:4)+Na,748.4888178,705.4466178,607.4697235,463.2221378,401.2065378,164.00888
PE(15:0_20:5)+Na,746.4732178,703.4310178,605.4541235,461.2065378,401.2065378,164.00888
PE(15:0_21:0)+Na,770.5671178,727.5249178,629.5480235,485.3004378,401.2065378,164.00888
PE(15:0_22:0)+Na,784.5827178,741.5405178,643.5636235,499.3160378,401.2065378,164.00888
PE(15:0_22:1)+Na,782.5671178,739.5249178,641.5480235,497.3004378,401.2065378,164.00888
PE(15:0_22:2)+Na,780.5514178,737.5092178,639.5323235,495.2847378,401.2065378,164.00888
PE(15:0_22:3)+Na,778.5358178,735.4936178,637.5167235,493.2691378,401.2065378,164.00888
PE(15:0_22:4)+Na,776.5201178,733.4779178,635.5010235,491.2534378,401.2065378,164.00888
PE(15:0_22:5)+Na,774.5045178,731.4623178,633.4854235,489.2378378,401.2065378,164.00888
PE(15:0_22:6)+Na,772.4888178,729.4466178,631.4697235,487.2221378,401.2065378,164.00888
PE(15:0_23:0)+Na,798.5984178,755.5562178,657.5793235,513.3317378,401.2065378,164.00888
PE(15:0_24:0)+Na,812.6140178,769.5718178,671.5949235,527.3473378,401.2065378,164.00888
PE(15:0_24:1)+Na,810.5984178,767.5562178,669.5793235,525.3317378,401.2065378,164.00888
PE(15:0_25:0)+Na,826.6297178,783.5875178,685.6106235,541.3630378,401.2065378,164.00888
PE(15:0_26:0)+Na,840.6453178,797.6031178,699.6262235,555.3786378,401.2065378,164.00888
PE(15:1_15:1)+Na,682.4418178,639.3996178,541.4227235,399.1908378,399.1908378,164.00888
PE(15:1_16:0)+Na,698.4731178,655.4309178,557.4540235,415.2221378,399.1908378,164.00888
PE(15:1_16:1)+Na,696.4575178,653.4153178,555.4384235,413.2065378,399.1908378,164.00888
PE(15:1_17:0)+Na,712.4888178,669.4466178,571.4697235,429.2378378,399.1908378,164.00888
