PA,[M+H]+,NL_head,NL_T1_RCOOH,NL_T2_RCOOH,T1_RCO+,T2_RCO+
PA(14:1_18:2)+H,643.4334,545.45649,337.27374,283.22684,209.19005,263.23695
PA(14:1_18:3)+H,641.4178,543.44089,335.25814,283.22684,209.19005,261.22135
PA(14:1_18:4)+H,639.4021,541.42519,333.24244,283.22684,209.19005,259.20565
PA(14:1_19:0)+H,661.4804,563.50349,355.32074,283.22684,209.19005,281.28395
PA(14:1_20:0)+H,675.496,577.51909,369.33634,283.22684,209.19005,295.29955
PA(14:1_20:1)+H,673.4804,575.50349,367.32074,283.22684,209.19005,293.28395
PA(14:1_20:2)+H,671.4647,573.48779,365.30504,283.22684,209.19005,291.26825
PA(14:1_20:3)+H,669.4491,571.47219,363.28944,283.22684,209.19005,289.25265
PA(14:1_20:4)+H,667.4334,569.45649,361.27374,283.22684,209.19005,287.23695
PA(14:1_20:5)+H,665.4178,567.44089,359.25814,283.22684,209.19005,285.22135
PA(14:1_21:0)+H,689.5117,591.53479,383.35204,283.22684,209.19005,309.31525
PA(14:1_22:0)+H,703.5273,605.55039,397.36764,283.22684,209.19005,323.33085
PA(14:1_22:1)+H,701.5117,603.53479,395.35204,283.22684,209.19005,321.31525
PA(14:1_22:2)+H,699.496,601.51909,393.33634,283.22684,209.19005,319.29955
PA(14:1_22:3)+H,697.4804,599.50349,391.32074,283.22684,209.19005,317.28395
PA(14:1_22:4)+H,695.4647,597.48779,389.30504,283.22684,209.19005,315.26825
PA(14:1_22:5)+H,693.4491,595.47219,387.28944,283.22684,209.19005,313.25265
PA(14:1_22:6)+H,691.4334,593.45649,385.27374,283.22684,209.19005,311.23695
PA(14:1_23:0)+H,717.543,619.56609,411.38334,283.22684,209.19005,337.34655
PA(14:1_24:0)+H,731.5586,633.58169,425.39894,283.22684,209.19005,351.36215
PA(14:1_24:1)+H,729.543,631.56609,423.38334,283.22684,209.19005,349.34655
PA(14:1_25:0)+H,745.5743,647.59739,439.41464,283.22684,209.19005,365.37785
PA(14:1_26:0)+H,759.5899,661.61299,453.43024,283.22684,209.19005,379.39345
PA(15:0_15:0)+H,621.4491,523.47219,299.25814,299.25814,225.22135,225.22135
PA(15:0_15:1)+H,619.4334,521.45649,297.24244,299.25814,225.22135,223.20565
PA(15:0_16:0)+H,635.4647,537.48779,313.27374,299.25814,225.22135,239.23695
PA(15:0_16:1)+H,633.4491,535.47219,311.25814,299.25814,225.22135,237.22135
PA(15:0_17:0)+H,649.4804,551.50349,327.28944,299.25814,225.22135,253.25265
PA(15:0_17:1)+H,647.4647,549.48779,325.27374,299.25814,225.22135,251.23695
PA(15:0_17:2)+H,645.4491,547.47219,323.25814,299.25814,225.22135,249.22135
PA(15:0_18:0)+H,663.496,565.51909,341.30504,299.25814,225.22135,267.26825
PA(15:0_18:1)+H,661.4804,563.50349,339.28944,299.25814,225.22135,265.25265
PA(15:0_18:2)+H,659.4647,561.48779,337.27374,299.25814,225.22135,263.23695
PA(15:0_18:3)+H,657.4491,559.47219,335.25814,299.25814,225.22135,261.22135
PA(15:0_18:4)+H,655.4334,557.45649,333.24244,299.25814,225.22135,259.20565
PA(15:0_19:0)+H,677.5117,579.53479,355.32074,299.25814,225.22135,281.28395
PA(15:0_20:0)+H,691.5273,593.55039,369.33634,299.25814,225.22135,295.29955
PA(15:0_20:1)+H,689.5117,591.53479,367.32074,299.25814,225.22135,293.28395
PA(15:0_20:2)+H,687.496,589.51909,365.30504,299.25814,225.22135,291.26825
PA(15:0_20:3)+H,685.4804,587.50349,363.28944,299.25814,225.22135,289.25265
PA(15:0_20:4)+H,683.4647,585.48779,361.27374,299.25814,225.22135,287.23695
PA(15:0_20:5)+H,681.4491,583.47219,359.25814,299.25814,225.22135,285.22135
PA(15:0_21:0)+H,705.543,607.56609,383.35204,299.25814,225.22135,309.31525
PA(15:0_22:0)+H,719.5586,621.58169,397.36764,299.25814,225.22135,323.33085
PA(15:0_22:1)+H,717.543,619.56609,395.35204,299.25814,225.22135,321.31525
