ether-TG,[M+NH4],NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmanyl-TG(O-16:0_13:0_19:0)+NH4,810.79105,579.57105,495.47715,197.19004,281.28394,271.2268364,355.3207364,253.2162714,337.3101714
plasmanyl-TG(O-16:0_13:0_20:0)+NH4,824.80665,593.58665,495.47715,197.19004,295.29954,271.2268364,369.3363364,253.2162714,351.3257714
plasmanyl-TG(O-16:0_13:0_20:1)+NH4,822.79105,591.57105,495.47715,197.19004,293.28394,271.2268364,367.3207364,253.2162714,349.3101714
plasmanyl-TG(O-16:0_13:0_20:2)+NH4,820.77535,589.55535,495.47715,197.19004,291.26824,271.2268364,365.3050364,253.2162714,347.2944714
plasmanyl-TG(O-16:0_13:0_20:3)+NH4,818.75975,587.53975,495.47715,197.19004,289.25264,271.2268364,363.2894364,253.2162714,345.2788714
plasmanyl-TG(O-16:0_13:0_20:4)+NH4,816.74405,585.52405,495.47715,197.19004,287.23694,271.2268364,361.2737364,253.2162714,343.2631714
plasmanyl-TG(O-16:0_13:0_20:5)+NH4,814.72845,583.50845,495.47715,197.19004,285.22134,271.2268364,359.2581364,253.2162714,341.2475714
plasmanyl-TG(O-16:0_13:0_21:0)+NH4,838.82235,607.60235,495.47715,197.19004,309.31524,271.2268364,383.3520364,253.2162714,365.3414714
plasmanyl-TG(O-16:0_13:0_22:0)+NH4,852.83795,621.61795,495.47715,197.19004,323.33084,271.2268364,397.3676364,253.2162714,379.3570714
plasmanyl-TG(O-16:0_13:0_22:1)+NH4,850.82235,619.60235,495.47715,197.19004,321.31524,271.2268364,395.3520364,253.2162714,377.3414714
plasmanyl-TG(O-16:0_13:0_22:2)+NH4,848.80665,617.58665,495.47715,197.19004,319.29954,271.2268364,393.3363364,253.2162714,375.3257714
plasmanyl-TG(O-16:0_13:0_22:3)+NH4,846.79105,615.57105,495.47715,197.19004,317.28394,271.2268364,391.3207364,253.2162714,373.3101714
plasmanyl-TG(O-16:0_13:0_22:4)+NH4,844.77535,613.55535,495.47715,197.19004,315.26824,271.2268364,389.3050364,253.2162714,371.2944714
plasmanyl-TG(O-16:0_13:0_22:5)+NH4,842.75975,611.53975,495.47715,197.19004,313.25264,271.2268364,387.2894364,253.2162714,369.2788714
plasmanyl-TG(O-16:0_13:0_22:6)+NH4,840.74405,609.52405,495.47715,197.19004,311.23694,271.2268364,385.2737364,253.2162714,367.2631714
plasmanyl-TG(O-16:0_13:0_23:0)+NH4,866.85365,635.63365,495.47715,197.19004,337.34654,271.2268364,411.3833364,253.2162714,393.3727714
plasmanyl-TG(O-16:0_13:0_24:0)+NH4,880.86925,649.64925,495.47715,197.19004,351.36214,271.2268364,425.3989364,253.2162714,407.3883714
plasmanyl-TG(O-16:0_13:0_24:1)+NH4,878.85365,647.63365,495.47715,197.19004,349.34654,271.2268364,423.3833364,253.2162714,405.3727714
plasmanyl-TG(O-16:0_13:0_25:0)+NH4,894.88495,663.66495,495.47715,197.19004,365.37784,271.2268364,439.4146364,253.2162714,421.4040714
plasmanyl-TG(O-16:0_13:0_26:0)+NH4,908.90055,677.68055,495.47715,197.19004,379.39344,271.2268364,453.4302364,253.2162714,435.4196714
plasmanyl-TG(O-16:0_14:0_14:0)+NH4,754.72835,509.49275,509.49275,211.20564,211.20564,285.2424364,285.2424364,267.2318714,267.2318714
plasmanyl-TG(O-16:0_14:0_14:1)+NH4,752.71275,507.47715,509.49275,211.20564,209.19004,285.2424364,283.2268364,267.2318714,265.2162714
plasmanyl-TG(O-16:0_14:0_15:0)+NH4,768.74405,523.50845,509.49275,211.20564,225.22134,285.2424364,299.2581364,267.2318714,281.2475714
plasmanyl-TG(O-16:0_14:0_15:1)+NH4,766.72835,521.49275,509.49275,211.20564,223.20564,285.2424364,297.2424364,267.2318714,279.2318714
plasmanyl-TG(O-16:0_14:0_16:0)+NH4,782.75965,537.52405,509.49275,211.20564,239.23694,285.2424364,313.2737364,267.2318714,295.2631714
plasmanyl-TG(O-16:0_14:0_16:1)+NH4,780.74405,535.50845,509.49275,211.20564,237.22134,285.2424364,311.2581364,267.2318714,293.2475714
plasmanyl-TG(O-16:0_14:0_17:0)+NH4,796.77535,551.53975,509.49275,211.20564,253.25264,285.2424364,327.2894364,267.2318714,309.2788714
plasmanyl-TG(O-16:0_14:0_17:1)+NH4,794.75965,549.52405,509.49275,211.20564,251.23694,285.2424364,325.2737364,267.2318714,307.2631714
plasmanyl-TG(O-16:0_14:0_17:2)+NH4,792.74405,547.50845,509.49275,211.20564,249.22134,285.2424364,323.2581364,267.2318714,305.2475714
plasmanyl-TG(O-16:0_14:0_18:0)+NH4,810.79095,565.55535,509.49275,211.20564,267.26824,285.2424364,341.3050364,267.2318714,323.2944714
plasmanyl-TG(O-16:0_14:0_18:1)+NH4,808.77535,563.53975,509.49275,211.20564,265.25264,285.2424364,339.2894364,267.2318714,321.2788714
plasmanyl-TG(O-16:0_14:0_18:2)+NH4,806.75965,561.52405,509.49275,211.20564,263.23694,285.2424364,337.2737364,267.2318714,319.2631714
