GlcCer_AS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[M-Hex-H2O-H]-,[M-Hex-CH4O-H]-,[M-Hex-CH4O2-H]-,[M-Hex-CH6O3-H]-,[FAA+C2H5O-H]-,[FAA+C2H3O-H]-,[Sph-H]-,[FAA+C2H5O-H2O-H]-,[Sph-H2O-H]-,[FAA+C2H5O-2H2O-H]-,[FAA+O-H]-,[FAA-H]-,[Sph-CH2O-H]-,[Sph-H5NO-H]-,[FA-2H-H]-,[Sph-CH4O2-H]-,[Sph-C2H5NO-H]-,[Sph-C2H7NO-H]-,[FA+CH2O-H]-
GlcCer_AS(d16:1/25:3)+HCO2,852.62065,806.61515,644.56235,626.55175,612.53615,596.54115,578.53065,434.36455,432.34885,270.24445,416.35345,252.23385,398.34285,391.32235,390.31455,240.23385,235.20725,373.31175,222.22325,211.20725,209.19165,345.31685
GlcCer_AS(d16:1/25:4)+HCO2,850.60495,804.59945,642.54665,624.53615,610.52045,594.52555,576.51495,432.34885,430.33325,270.24445,414.33775,252.23385,396.32725,389.30665,388.29885,240.23385,235.20725,371.29615,222.22325,211.20725,209.19165,343.30115
GlcCer_AS(d16:1/26:0)+HCO2,872.68325,826.67775,664.62495,646.61435,632.59865,616.60375,598.59325,454.42715,452.41145,270.24445,436.41605,252.23385,418.40545,411.38495,410.37715,240.23385,235.20725,393.37435,222.22325,211.20725,209.19165,365.37945
GlcCer_AS(d16:1/26:1)+HCO2,870.66765,824.66215,662.60925,644.59865,630.58305,614.58815,596.57755,452.41145,450.39585,270.24445,434.40035,252.23385,416.38985,409.36925,408.36145,240.23385,235.20725,391.35875,222.22325,211.20725,209.19165,363.36385
GlcCer_AS(d16:1/26:2)+HCO2,868.65195,822.64645,660.59365,642.58305,628.56735,612.57255,594.56185,450.39585,448.38015,270.24445,432.38475,252.23385,414.37415,407.35365,406.34575,240.23385,235.20725,389.34305,222.22325,211.20725,209.19165,361.34815
GlcCer_AS(d16:1/26:3)+HCO2,866.63625,820.63075,658.57805,640.56735,626.55175,610.55685,592.54625,448.38015,446.36455,270.24445,430.36905,252.23385,412.35845,405.33795,404.33015,240.23385,235.20725,387.32745,222.22325,211.20725,209.19165,359.33245
GlcCer_AS(d16:1/26:4)+HCO2,864.62065,818.61515,656.56235,638.55175,624.53615,608.54115,590.53065,446.36455,444.34885,270.24445,428.35345,252.23385,410.34285,403.32235,402.31455,240.23385,235.20725,385.31175,222.22325,211.20725,209.19165,357.31685
GlcCer_AS(d16:1/27:0)+HCO2,886.69895,840.69345,678.64055,660.63005,646.61435,630.61945,612.60885,468.44275,466.42715,270.24445,450.43165,252.23385,432.42115,425.40055,424.39275,240.23385,235.20725,407.39005,222.22325,211.20725,209.19165,379.39505
GlcCer_AS(d16:1/27:1)+HCO2,884.68325,838.67775,676.62495,658.61435,644.59865,628.60375,610.59325,466.42715,464.41145,270.24445,448.41605,252.23385,430.40545,423.38495,422.37715,240.23385,235.20725,405.37435,222.22325,211.20725,209.19165,377.37945
GlcCer_AS(d16:1/27:2)+HCO2,882.66765,836.66215,674.60925,656.59865,642.58305,626.58815,608.57755,464.41145,462.39585,270.24445,446.40035,252.23385,428.38985,421.36925,420.36145,240.23385,235.20725,403.35875,222.22325,211.20725,209.19165,375.36385
GlcCer_AS(d16:1/27:3)+HCO2,880.65195,834.64645,672.59365,654.58305,640.56735,624.57255,606.56185,462.39585,460.38015,270.24445,444.38475,252.23385,426.37415,419.35365,418.34575,240.23385,235.20725,401.34305,222.22325,211.20725,209.19165,373.34815
GlcCer_AS(d16:1/27:4)+HCO2,878.63625,832.63075,670.57805,652.56735,638.55175,622.55685,604.54625,460.38015,458.36455,270.24445,442.36905,252.23385,424.35845,417.33795,416.33015,240.23385,235.20725,399.32745,222.22325,211.20725,209.19165,371.33245
GlcCer_AS(d16:1/28:0)+HCO2,900.71455,854.70905,692.65625,674.64565,660.63005,644.63505,626.62455,482.45845,480.44275,270.24445,464.44735,252.23385,446.43675,439.41625,438.40845,240.23385,235.20725,421.40565,222.22325,211.20725,209.19165,393.41075
GlcCer_AS(d16:1/28:1)+HCO2,898.69895,852.69345,690.64055,672.63005,658.61435,642.61945,624.60885,480.44275,478.42715,270.24445,462.43165,252.23385,444.42115,437.40055,436.39275,240.23385,235.20725,419.39005,222.22325,211.20725,209.19165,391.39505
GlcCer_AS(d16:1/28:2)+HCO2,896.68325,850.67775,688.62495,670.61435,656.59865,640.60375,622.59325,478.42715,476.41145,270.24445,460.41605,252.23385,442.40545,435.38495,434.37715,240.23385,235.20725,417.37435,222.22325,211.20725,209.19165,389.37945
GlcCer_AS(d16:1/28:3)+HCO2,894.66765,848.66215,686.60925,668.59865,654.58305,638.58815,620.57755,476.41145,474.39585,270.24445,458.40035,252.23385,440.38985,433.36925,432.36145,240.23385,235.20725,415.35875,222.22325,211.20725,209.19165,387.36385
GlcCer_AS(d16:1/28:4)+HCO2,892.65195,846.64645,684.59365,666.58305,652.56735,636.57255,618.56185,474.39585,472.38015,270.24445,456.38475,252.23385,438.37415,431.35365,430.34575,240.23385,235.20725,413.34305,222.22325,211.20725,209.19165,385.34815
GlcCer_AS(d16:1/29:0)+HCO2,914.73015,868.72475,706.67185,688.66135,674.64565,658.65075,640.64015,496.47405,494.45845,270.24445,478.46295,252.23385,460.45235,453.43185,452.42405,240.23385,235.20725,435.42125,222.22325,211.20725,209.19165,407.42635
GlcCer_AS(d16:1/29:1)+HCO2,912.71455,866.70905,704.65625,686.64565,672.63005,656.63505,638.62455,494.45845,492.44275,270.24445,476.44735,252.23385,458.43675,451.41625,450.40845,240.23385,235.20725,433.40565,222.22325,211.20725,209.19165,405.41075
GlcCer_AS(d16:1/29:2)+HCO2,910.69895,864.69345,702.64055,684.63005,670.61435,654.61945,636.60885,492.44275,490.42715,270.24445,474.43165,252.23385,456.42115,449.40055,448.39275,240.23385,235.20725,431.39005,222.22325,211.20725,209.19165,403.39505
GlcCer_AS(d16:1/29:3)+HCO2,908.68325,862.67775,700.62495,682.61435,668.59865,652.60375,634.59325,490.42715,488.41145,270.24445,472.41605,252.23385,454.40545,447.38495,446.37715,240.23385,235.20725,429.37435,222.22325,211.20725,209.19165,401.37945
GlcCer_AS(d16:1/29:4)+HCO2,906.66765,860.66215,698.60925,680.59865,666.58305,650.58815,632.57755,488.41145,486.39585,270.24445,470.40035,252.23385,452.38985,445.36925,444.36145,240.23385,235.20725,427.35875,222.22325,211.20725,209.19165,399.36385
GlcCer_AS(d16:1/30:0)+HCO2,928.74585,882.74035,720.68755,702.67695,688.66135,672.66635,654.65585,510.48975,508.47405,270.24445,492.47865,252.23385,474.46805,467.44755,466.43965,240.23385,235.20725,449.43695,222.22325,211.20725,209.19165,421.44205
GlcCer_AS(d16:1/30:1)+HCO2,926.73015,880.72475,718.67185,700.66135,686.64565,670.65075,652.64015,508.47405,506.45845,270.24445,490.46295,252.23385,472.45235,465.43185,464.42405,240.23385,235.20725,447.42125,222.22325,211.20725,209.19165,419.42635
GlcCer_AS(d16:1/30:2)+HCO2,924.71455,878.70905,716.65625,698.64565,684.63005,668.63505,650.62455,506.45845,504.44275,270.24445,488.44735,252.23385,470.43675,463.41625,462.40845,240.23385,235.20725,445.40565,222.22325,211.20725,209.19165,417.41075
GlcCer_AS(d16:1/30:3)+HCO2,922.69895,876.69345,714.64055,696.63005,682.61435,666.61945,648.60885,504.44275,502.42715,270.24445,486.43165,252.23385,468.42115,461.40055,460.39275,240.23385,235.20725,443.39005,222.22325,211.20725,209.19165,415.39505
GlcCer_AS(d16:1/30:4)+HCO2,920.68325,874.67775,712.62495,694.61435,680.59865,664.60375,646.59325,502.42715,500.41145,270.24445,484.41605,252.23385,466.40545,459.38495,458.37715,240.23385,235.20725,441.37435,222.22325,211.20725,209.19165,413.37945
GlcCer_AS(d16:1/31:0)+HCO2,942.76145,896.75595,734.70315,716.69265,702.67695,686.68205,668.67145,524.50535,522.48975,270.24445,506.49425,252.23385,488.48375,481.46315,480.45535,240.23385,235.20725,463.45265,222.22325,211.20725,209.19165,435.45775
GlcCer_AS(d16:1/31:1)+HCO2,940.74585,894.74035,732.68755,714.67695,700.66135,684.66635,666.65585,522.48975,520.47405,270.24445,504.47865,252.23385,486.46805,479.44755,478.43965,240.23385,235.20725,461.43695,222.22325,211.20725,209.19165,433.44205
GlcCer_AS(d16:1/31:2)+HCO2,938.73015,892.72475,730.67185,712.66135,698.64565,682.65075,664.64015,520.47405,518.45845,270.24445,502.46295,252.23385,484.45235,477.43185,476.42405,240.23385,235.20725,459.42125,222.22325,211.20725,209.19165,431.42635
GlcCer_AS(d16:1/31:3)+HCO2,936.71455,890.70905,728.65625,710.64565,696.63005,680.63505,662.62455,518.45845,516.44275,270.24445,500.44735,252.23385,482.43675,475.41625,474.40845,240.23385,235.20725,457.40565,222.22325,211.20725,209.19165,429.41075
GlcCer_AS(d16:1/31:4)+HCO2,934.69895,888.69345,726.64055,708.63005,694.61435,678.61945,660.60885,516.44275,514.42715,270.24445,498.43165,252.23385,480.42115,473.40055,472.39275,240.23385,235.20725,455.39005,222.22325,211.20725,209.19165,427.39505
GlcCer_AS(d16:1/32:0)+HCO2,956.77715,910.77165,748.71885,730.70825,716.69265,700.69765,682.68715,538.52105,536.50535,270.24445,520.50995,252.23385,502.49935,495.47885,494.47105,240.23385,235.20725,477.46825,222.22325,211.20725,209.19165,449.47335
GlcCer_AS(d16:1/32:1)+HCO2,954.76145,908.75595,746.70315,728.69265,714.67695,698.68205,680.67145,536.50535,534.48975,270.24445,518.49425,252.23385,500.48375,493.46315,492.45535,240.23385,235.20725,475.45265,222.22325,211.20725,209.19165,447.45775
GlcCer_AS(d16:1/32:2)+HCO2,952.74585,906.74035,744.68755,726.67695,712.66135,696.66635,678.65585,534.48975,532.47405,270.24445,516.47865,252.23385,498.46805,491.44755,490.43965,240.23385,235.20725,473.43695,222.22325,211.20725,209.19165,445.44205
GlcCer_AS(d16:1/32:3)+HCO2,950.73015,904.72475,742.67185,724.66135,710.64565,694.65075,676.64015,532.47405,530.45845,270.24445,514.46295,252.23385,496.45235,489.43185,488.42405,240.23385,235.20725,471.42125,222.22325,211.20725,209.19165,443.42635
GlcCer_AS(d16:1/32:4)+HCO2,948.71455,902.70905,740.65625,722.64565,708.63005,692.63505,674.62455,530.45845,528.44275,270.24445,512.44735,252.23385,494.43675,487.41625,486.40845,240.23385,235.20725,469.40565,222.22325,211.20725,209.19165,441.41075
