Cer_NDS,[M+HCO2]-,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer_NDS(d17:0/17:0)+HCO2,584.52595,538.52055,506.49425,490.49935,286.27565,310.27515,294.28025,268.26515,225.22295,251.26245
Cer_NDS(d17:0/17:1)+HCO2,582.51035,536.50485,504.47865,488.48375,286.27565,308.25955,292.26455,266.24945,225.22295,249.24675
Cer_NDS(d17:0/17:2)+HCO2,580.49465,534.48915,502.46295,486.46805,286.27565,306.24385,290.24895,264.23385,225.22295,247.23105
Cer_NDS(d17:0/17:3)+HCO2,578.47905,532.47355,500.44725,484.45235,286.27565,304.22825,288.23335,262.21825,225.22295,245.21545
Cer_NDS(d17:0/18:0)+HCO2,598.54165,552.53615,520.50985,504.51495,286.27565,324.29085,308.29585,282.28075,225.22295,265.27805
Cer_NDS(d17:0/18:1)+HCO2,596.52595,550.52055,518.49425,502.49935,286.27565,322.27515,306.28025,280.26515,225.22295,263.26235
Cer_NDS(d17:0/18:2)+HCO2,594.51035,548.50485,516.47865,500.48375,286.27565,320.25955,304.26455,278.24945,225.22295,261.24675
Cer_NDS(d17:0/18:3)+HCO2,592.49465,546.48915,514.46295,498.46805,286.27565,318.24385,302.24895,276.23385,225.22295,259.23115
Cer_NDS(d17:0/18:4)+HCO2,590.47905,544.47355,512.44735,496.45235,286.27565,316.22825,300.23335,274.21825,225.22295,257.21545
Cer_NDS(d17:0/19:0)+HCO2,612.55725,566.55175,534.52555,518.53065,286.27565,338.30645,322.31155,296.29645,225.22295,279.29375
Cer_NDS(d17:0/19:1)+HCO2,610.54165,564.53615,532.50985,516.51505,286.27565,336.29085,320.29585,294.28075,225.22295,277.27805
Cer_NDS(d17:0/19:2)+HCO2,608.52595,562.52055,530.49425,514.49935,286.27565,334.27515,318.28025,292.26515,225.22295,275.26235
Cer_NDS(d17:0/19:3)+HCO2,606.51035,560.50485,528.47865,512.48375,286.27565,332.25955,316.26455,290.24945,225.22295,273.24675
Cer_NDS(d17:0/19:4)+HCO2,604.49465,558.48915,526.46295,510.46805,286.27565,330.24385,314.24895,288.23385,225.22295,271.23115
Cer_NDS(d17:0/20:0)+HCO2,626.57285,580.56745,548.54115,532.54625,286.27565,352.32215,336.32725,310.31215,225.22295,293.30935
Cer_NDS(d17:0/20:1)+HCO2,624.55725,578.55175,546.52555,530.53065,286.27565,350.30645,334.31155,308.29645,225.22295,291.29375
Cer_NDS(d17:0/20:2)+HCO2,622.54165,576.53615,544.50985,528.51505,286.27565,348.29085,332.29585,306.28075,225.22295,289.27805
Cer_NDS(d17:0/20:3)+HCO2,620.52595,574.52055,542.49425,526.49935,286.27565,346.27515,330.28025,304.26515,225.22295,287.26235
Cer_NDS(d17:0/20:4)+HCO2,618.51035,572.50485,540.47865,524.48375,286.27565,344.25955,328.26455,302.24945,225.22295,285.24675
Cer_NDS(d17:0/21:0)+HCO2,640.58855,594.58305,562.55685,546.56195,286.27565,366.33775,350.34285,324.32775,225.22295,307.32505
