Cer_AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_AS(d17:1/15:3)-H,518.42155,500.41095,486.39525,470.40035,282.24445,266.24945,251.16585,250.18185,254.24945,233.15525,225.22295,223.20725,205.16035
Cer_AS(d17:1/16:0)-H,538.48405,520.47355,506.45785,490.46295,282.24445,266.24945,271.22845,270.24445,254.24945,253.21785,225.22295,223.20725,225.22295
Cer_AS(d17:1/16:1)-H,536.46845,518.45785,504.44225,488.44725,282.24445,266.24945,269.21275,268.22875,254.24945,251.20225,225.22295,223.20725,223.20725
Cer_AS(d17:1/16:2)-H,534.45285,516.44225,502.42655,486.43165,282.24445,266.24945,267.19715,266.21315,254.24945,249.18655,225.22295,223.20725,221.19165
Cer_AS(d17:1/16:3)-H,532.43715,514.42655,500.41095,484.41595,282.24445,266.24945,265.18145,264.19745,254.24945,247.17095,225.22295,223.20725,219.17595
Cer_AS(d17:1/16:4)-H,530.42155,512.41095,498.39525,482.40035,282.24445,266.24945,263.16585,262.18185,254.24945,245.15525,225.22295,223.20725,217.16035
Cer_AS(d17:1/17:0)-H,552.49975,534.48915,520.47355,504.47865,282.24445,266.24945,285.24405,284.26005,254.24945,267.23355,225.22295,223.20725,239.23855
Cer_AS(d17:1/17:1)-H,550.48405,532.47355,518.45785,502.46295,282.24445,266.24945,283.22845,282.24445,254.24945,265.21785,225.22295,223.20725,237.22295
Cer_AS(d17:1/17:2)-H,548.46845,530.45785,516.44225,500.44725,282.24445,266.24945,281.21275,280.22875,254.24945,263.20225,225.22295,223.20725,235.20725
Cer_AS(d17:1/17:3)-H,546.45285,528.44225,514.42655,498.43165,282.24445,266.24945,279.19715,278.21315,254.24945,261.18655,225.22295,223.20725,233.19165
Cer_AS(d17:1/18:0)-H,566.51535,548.50485,534.48915,518.49425,282.24445,266.24945,299.25975,298.27565,254.24945,281.24915,225.22295,223.20725,253.25425
Cer_AS(d17:1/18:1)-H,564.49975,546.48915,532.47355,516.47855,282.24445,266.24945,297.24405,296.26005,254.24945,279.23355,225.22295,223.20725,251.23855
Cer_AS(d17:1/18:2)-H,562.48405,544.47355,530.45785,514.46295,282.24445,266.24945,295.22845,294.24445,254.24945,277.21785,225.22295,223.20725,249.22295
Cer_AS(d17:1/18:3)-H,560.46845,542.45785,528.44225,512.44735,282.24445,266.24945,293.21275,292.22875,254.24945,275.20225,225.22295,223.20725,247.20725
Cer_AS(d17:1/18:4)-H,558.45285,540.44225,526.42655,510.43165,282.24445,266.24945,291.19715,290.21315,254.24945,273.18655,225.22295,223.20725,245.19165
Cer_AS(d17:1/19:0)-H,580.53105,562.52045,548.50485,532.50985,282.24445,266.24945,313.27535,312.29135,254.24945,295.26485,225.22295,223.20725,267.26985
Cer_AS(d17:1/19:1)-H,578.51535,560.50485,546.48915,530.49425,282.24445,266.24945,311.25975,310.27565,254.24945,293.24915,225.22295,223.20725,265.25425
Cer_AS(d17:1/19:2)-H,576.49975,558.48915,544.47355,528.47855,282.24445,266.24945,309.24405,308.26005,254.24945,291.23355,225.22295,223.20725,263.23855
Cer_AS(d17:1/19:3)-H,574.48405,556.47355,542.45785,526.46295,282.24445,266.24945,307.22845,306.24445,254.24945,289.21785,225.22295,223.20725,261.22295
Cer_AS(d17:1/19:4)-H,572.46845,554.45785,540.44225,524.44735,282.24445,266.24945,305.21275,304.22875,254.24945,287.20225,225.22295,223.20725,259.20725
Cer_AS(d17:1/20:0)-H,594.54665,576.53615,562.52045,546.52555,282.24445,266.24945,327.29105,326.30705,254.24945,309.28045,225.22295,223.20725,281.28555
Cer_AS(d17:1/20:1)-H,592.53105,574.52045,560.50485,544.50985,282.24445,266.24945,325.27535,324.29135,254.24945,307.26485,225.22295,223.20725,279.26985
Cer_AS(d17:1/20:2)-H,590.51535,572.50485,558.48915,542.49425,282.24445,266.24945,323.25975,322.27565,254.24945,305.24915,225.22295,223.20725,277.25425
Cer_AS(d17:1/20:3)-H,588.49975,570.48915,556.47355,540.47855,282.24445,266.24945,321.24405,320.26005,254.24945,303.23355,225.22295,223.20725,275.23855
Cer_AS(d17:1/20:4)-H,586.48405,568.47355,554.45785,538.46295,282.24445,266.24945,319.22845,318.24445,254.24945,301.21785,225.22295,223.20725,273.22295
Cer_AS(d17:1/21:0)-H,608.56235,590.55175,576.53615,560.54115,282.24445,266.24945,341.30665,340.32265,254.24945,323.29615,225.22295,223.20725,295.30115
Cer_AS(d17:1/21:1)-H,606.54665,588.53615,574.52045,558.52555,282.24445,266.24945,339.29105,338.30705,254.24945,321.28045,225.22295,223.20725,293.28555
Cer_AS(d17:1/21:2)-H,604.53105,586.52045,572.50485,556.50985,282.24445,266.24945,337.27535,336.29135,254.24945,319.26485,225.22295,223.20725,291.26985
Cer_AS(d17:1/21:3)-H,602.51535,584.50485,570.48915,554.49425,282.24445,266.24945,335.25975,334.27565,254.24945,317.24915,225.22295,223.20725,289.25425
Cer_AS(d17:1/21:4)-H,600.49975,582.48915,568.47355,552.47855,282.24445,266.24945,333.24405,332.26005,254.24945,315.23355,225.22295,223.20725,287.23855
Cer_AS(d17:1/22:0)-H,622.57805,604.56745,590.55175,574.55685,282.24445,266.24945,355.32235,354.33835,254.24945,337.31175,225.22295,223.20725,309.31685
Cer_AS(d17:1/22:1)-H,620.56235,602.55175,588.53615,572.54115,282.24445,266.24945,353.30665,352.32265,254.24945,335.29615,225.22295,223.20725,307.30115
Cer_AS(d17:1/22:2)-H,618.54665,600.53615,586.52045,570.52555,282.24445,266.24945,351.29105,350.30705,254.24945,333.28045,225.22295,223.20725,305.28555
Cer_AS(d17:1/22:3)-H,616.53105,598.52045,584.50485,568.50985,282.24445,266.24945,349.27535,348.29135,254.24945,331.26485,225.22295,223.20725,303.26985
Cer_AS(d17:1/22:4)-H,614.51535,596.50485,582.48915,566.49425,282.24445,266.24945,347.25975,346.27565,254.24945,329.24915,225.22295,223.20725,301.25425
Cer_AS(d17:1/23:0)-H,636.59365,618.58305,604.56745,588.57255,282.24445,266.24945,369.33795,368.35395,254.24945,351.32745,225.22295,223.20725,323.33245
Cer_AS(d17:1/23:1)-H,634.57805,616.56745,602.55175,586.55685,282.24445,266.24945,367.32235,366.33835,254.24945,349.31175,225.22295,223.20725,321.31685
Cer_AS(d17:1/23:2)-H,632.56235,614.55175,600.53615,584.54115,282.24445,266.24945,365.30665,364.32265,254.24945,347.29615,225.22295,223.20725,319.30115
