Plasmenyl-PC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_Choline&C2H3O2,NL_T2Ketene&CH3&C2H3O2,NL_T2RCOOH&CH3&C2H3O2,NL_T2RCOOH_Choline_C2H3O2,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PC(P-18:1/20:3)+C2H3O2,852.6125,778.57572,707.50222,490.33035,472.31979,401.2463,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:4)+C2H3O2,850.5968,776.56002,705.48652,490.33035,472.31979,401.2463,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:5)+C2H3O2,848.5812,774.54442,703.47092,490.33035,472.31979,401.2463,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/21:0)+C2H3O2,872.6751,798.63832,727.56482,490.33035,472.31979,401.2463,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:0)+C2H3O2,886.6907,812.65392,741.58042,490.33035,472.31979,401.2463,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:1)+C2H3O2,884.6751,810.63832,739.56482,490.33035,472.31979,401.2463,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:2)+C2H3O2,882.6594,808.62262,737.54912,490.33035,472.31979,401.2463,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:3)+C2H3O2,880.6438,806.60702,735.53352,490.33035,472.31979,401.2463,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:4)+C2H3O2,878.6281,804.59132,733.51782,490.33035,472.31979,401.2463,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:5)+C2H3O2,876.6125,802.57572,731.50222,490.33035,472.31979,401.2463,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
