Cer_AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t18:0/14:3)+HCO2,582.43755,536.43205,292.19125,237.15015,191.14465,225.22185
Cer_AP(t18:0/15:0)+HCO2,602.50015,556.49465,312.25385,257.21275,211.20725,225.22185
Cer_AP(t18:0/15:1)+HCO2,600.48445,554.47905,310.23825,255.19715,209.19165,225.22185
Cer_AP(t18:0/15:2)+HCO2,598.46885,552.46335,308.22255,253.18145,207.17595,225.22185
Cer_AP(t18:0/15:3)+HCO2,596.45315,550.44765,306.20695,251.16585,205.16035,225.22185
Cer_AP(t18:0/16:0)+HCO2,616.51585,570.51035,326.26955,271.22845,225.22295,225.22185
Cer_AP(t18:0/16:1)+HCO2,614.50015,568.49465,324.25385,269.21275,223.20725,225.22185
Cer_AP(t18:0/16:2)+HCO2,612.48445,566.47905,322.23825,267.19715,221.19165,225.22185
Cer_AP(t18:0/16:3)+HCO2,610.46885,564.46335,320.22255,265.18145,219.17595,225.22185
Cer_AP(t18:0/16:4)+HCO2,608.45315,562.44765,318.20695,263.16585,217.16035,225.22185
Cer_AP(t18:0/17:0)+HCO2,630.53145,584.52595,340.28515,285.24405,239.23855,225.22185
Cer_AP(t18:0/17:1)+HCO2,628.51585,582.51035,338.26955,283.22845,237.22295,225.22185
Cer_AP(t18:0/17:2)+HCO2,626.50015,580.49465,336.25385,281.21275,235.20725,225.22185
Cer_AP(t18:0/17:3)+HCO2,624.48445,578.47905,334.23825,279.19715,233.19165,225.22185
Cer_AP(t18:0/18:0)+HCO2,644.54705,598.54165,354.30085,299.25975,253.25425,225.22185
Cer_AP(t18:0/18:1)+HCO2,642.53145,596.52595,352.28515,297.24405,251.23855,225.22185
Cer_AP(t18:0/18:2)+HCO2,640.51585,594.51035,350.26955,295.22845,249.22295,225.22185
Cer_AP(t18:0/18:3)+HCO2,638.50015,592.49465,348.25385,293.21275,247.20725,225.22185
Cer_AP(t18:0/18:4)+HCO2,636.48445,590.47905,346.23825,291.19715,245.19165,225.22185
Cer_AP(t18:0/19:0)+HCO2,658.56275,612.55725,368.31645,313.27535,267.26985,225.22185
Cer_AP(t18:0/19:1)+HCO2,656.54705,610.54165,366.30085,311.25975,265.25425,225.22185
Cer_AP(t18:0/19:2)+HCO2,654.53145,608.52595,364.28515,309.24405,263.23855,225.22185
Cer_AP(t18:0/19:3)+HCO2,652.51585,606.51035,362.26955,307.22845,261.22295,225.22185
Cer_AP(t18:0/19:4)+HCO2,650.50015,604.49465,360.25385,305.21275,259.20725,225.22185
Cer_AP(t18:0/20:0)+HCO2,672.57835,626.57285,382.33215,327.29105,281.28555,225.22185
Cer_AP(t18:0/20:1)+HCO2,670.56275,624.55725,380.31645,325.27535,279.26985,225.22185
Cer_AP(t18:0/20:2)+HCO2,668.54705,622.54165,378.30085,323.25975,277.25425,225.22185
Cer_AP(t18:0/20:3)+HCO2,666.53145,620.52595,376.28515,321.24405,275.23855,225.22185
Cer_AP(t18:0/20:4)+HCO2,664.51585,618.51035,374.26955,319.22845,273.22295,225.22185
Cer_AP(t18:0/21:0)+HCO2,686.59405,640.58855,396.34775,341.30665,295.30115,225.22185
Cer_AP(t18:0/21:1)+HCO2,684.57835,638.57285,394.33215,339.29105,293.28555,225.22185
Cer_AP(t18:0/21:2)+HCO2,682.56275,636.55725,392.31645,337.27535,291.26985,225.22185
Cer_AP(t18:0/21:3)+HCO2,680.54705,634.54165,390.30085,335.25975,289.25425,225.22185
Cer_AP(t18:0/21:4)+HCO2,678.53145,632.52595,388.28515,333.24405,287.23855,225.22185
