GlcCer_NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NS(d17:1/30:0)+H,882.7763,720.7235,702.7129,684.7024,268.26346,250.25296,452.48276,238.25296
GlcCer_NS(d17:1/30:1)+H,880.76064,718.70784,700.69724,682.68674,268.26346,250.25296,450.4671,238.25296
GlcCer_NS(d17:1/30:2)+H,878.74498,716.69218,698.68158,680.67108,268.26346,250.25296,448.45144,238.25296
GlcCer_NS(d17:1/30:3)+H,876.72932,714.67652,696.66592,678.65542,268.26346,250.25296,446.43578,238.25296
GlcCer_NS(d17:1/30:4)+H,874.71366,712.66086,694.65026,676.63976,268.26346,250.25296,444.42012,238.25296
GlcCer_NS(d17:1/31:0)+H,896.79196,734.73916,716.72856,698.71806,268.26346,250.25296,466.49842,238.25296
GlcCer_NS(d17:1/31:1)+H,894.7763,732.7235,714.7129,696.7024,268.26346,250.25296,464.48276,238.25296
GlcCer_NS(d17:1/31:2)+H,892.76064,730.70784,712.69724,694.68674,268.26346,250.25296,462.4671,238.25296
GlcCer_NS(d17:1/31:3)+H,890.74498,728.69218,710.68158,692.67108,268.26346,250.25296,460.45144,238.25296
GlcCer_NS(d17:1/31:4)+H,888.72932,726.67652,708.66592,690.65542,268.26346,250.25296,458.43578,238.25296
GlcCer_NS(d17:1/32:0)+H,910.80762,748.75482,730.74422,712.73372,268.26346,250.25296,480.51408,238.25296
GlcCer_NS(d17:1/32:1)+H,908.79196,746.73916,728.72856,710.71806,268.26346,250.25296,478.49842,238.25296
GlcCer_NS(d17:1/32:2)+H,906.7763,744.7235,726.7129,708.7024,268.26346,250.25296,476.48276,238.25296
GlcCer_NS(d17:1/32:3)+H,904.76064,742.70784,724.69724,706.68674,268.26346,250.25296,474.4671,238.25296
GlcCer_NS(d17:1/32:4)+H,902.74498,740.69218,722.68158,704.67108,268.26346,250.25296,472.45144,238.25296
GlcCer_NS(d17:1/33:0)+H,924.82328,762.77048,744.75988,726.74938,268.26346,250.25296,494.52974,238.25296
GlcCer_NS(d17:1/33:1)+H,922.80762,760.75482,742.74422,724.73372,268.26346,250.25296,492.51408,238.25296
GlcCer_NS(d17:1/33:2)+H,920.79196,758.73916,740.72856,722.71806,268.26346,250.25296,490.49842,238.25296
GlcCer_NS(d17:1/33:3)+H,918.7763,756.7235,738.7129,720.7024,268.26346,250.25296,488.48276,238.25296
GlcCer_NS(d17:1/33:4)+H,916.76064,754.70784,736.69724,718.68674,268.26346,250.25296,486.4671,238.25296
GlcCer_NS(d17:1/34:0)+H,938.83894,776.78614,758.77554,740.76504,268.26346,250.25296,508.5454,238.25296
GlcCer_NS(d17:1/34:1)+H,936.82328,774.77048,756.75988,738.74938,268.26346,250.25296,506.52974,238.25296
GlcCer_NS(d17:1/34:2)+H,934.80762,772.75482,754.74422,736.73372,268.26346,250.25296,504.51408,238.25296
GlcCer_NS(d17:1/34:3)+H,932.79196,770.73916,752.72856,734.71806,268.26346,250.25296,502.49842,238.25296
GlcCer_NS(d17:1/34:4)+H,930.7763,768.7235,750.7129,732.7024,268.26346,250.25296,500.48276,238.25296
GlcCer_NS(d17:1/35:0)+H,952.8546,790.8018,772.7912,754.7807,268.26346,250.25296,522.56106,238.25296
GlcCer_NS(d17:1/35:1)+H,950.83894,788.78614,770.77554,752.76504,268.26346,250.25296,520.5454,238.25296
