PS,[M+H]+,NL_head,T1RCOO+58,T2RCOO+58,T1_RCO+,T2_RCO+
PS(14:1_18:2)+H,730.46546,545.45651,337.27376,283.22686,209.19005,263.23695
PS(14:1_18:3)+H,728.44986,543.44091,335.25816,283.22686,209.19005,261.22135
PS(14:1_18:4)+H,726.43416,541.42521,333.24246,283.22686,209.19005,259.20565
PS(14:1_19:0)+H,748.51246,563.50351,355.32076,283.22686,209.19005,281.28395
PS(14:1_20:0)+H,762.52806,577.51911,369.33636,283.22686,209.19005,295.29955
PS(14:1_20:1)+H,760.51246,575.50351,367.32076,283.22686,209.19005,293.28395
PS(14:1_20:2)+H,758.49676,573.48781,365.30506,283.22686,209.19005,291.26825
PS(14:1_20:3)+H,756.48116,571.47221,363.28946,283.22686,209.19005,289.25265
PS(14:1_20:4)+H,754.46546,569.45651,361.27376,283.22686,209.19005,287.23695
PS(14:1_20:5)+H,752.44986,567.44091,359.25816,283.22686,209.19005,285.22135
PS(14:1_21:0)+H,776.54376,591.53481,383.35206,283.22686,209.19005,309.31525
PS(14:1_22:0)+H,790.55936,605.55041,397.36766,283.22686,209.19005,323.33085
PS(14:1_22:1)+H,788.54376,603.53481,395.35206,283.22686,209.19005,321.31525
PS(14:1_22:2)+H,786.52806,601.51911,393.33636,283.22686,209.19005,319.29955
PS(14:1_22:3)+H,784.51246,599.50351,391.32076,283.22686,209.19005,317.28395
PS(14:1_22:4)+H,782.49676,597.48781,389.30506,283.22686,209.19005,315.26825
PS(14:1_22:5)+H,780.48116,595.47221,387.28946,283.22686,209.19005,313.25265
PS(14:1_22:6)+H,778.46546,593.45651,385.27376,283.22686,209.19005,311.23695
PS(14:1_23:0)+H,804.57506,619.56611,411.38336,283.22686,209.19005,337.34655
PS(14:1_24:0)+H,818.59066,633.58171,425.39896,283.22686,209.19005,351.36215
PS(14:1_24:1)+H,816.57506,631.56611,423.38336,283.22686,209.19005,349.34655
PS(14:1_25:0)+H,832.60636,647.59741,439.41466,283.22686,209.19005,365.37785
PS(14:1_26:0)+H,846.62196,661.61301,453.43026,283.22686,209.19005,379.39345
PS(15:0_15:0)+H,708.48116,523.47221,299.25816,299.25816,225.22135,225.22135
PS(15:0_15:1)+H,706.46546,521.45651,297.24246,299.25816,225.22135,223.20565
PS(15:0_16:0)+H,722.49676,537.48781,313.27376,299.25816,225.22135,239.23695
PS(15:0_16:1)+H,720.48116,535.47221,311.25816,299.25816,225.22135,237.22135
PS(15:0_17:0)+H,736.51246,551.50351,327.28946,299.25816,225.22135,253.25265
PS(15:0_17:1)+H,734.49676,549.48781,325.27376,299.25816,225.22135,251.23695
PS(15:0_17:2)+H,732.48116,547.47221,323.25816,299.25816,225.22135,249.22135
PS(15:0_18:0)+H,750.52806,565.51911,341.30506,299.25816,225.22135,267.26825
PS(15:0_18:1)+H,748.51246,563.50351,339.28946,299.25816,225.22135,265.25265
PS(15:0_18:2)+H,746.49676,561.48781,337.27376,299.25816,225.22135,263.23695
PS(15:0_18:3)+H,744.48116,559.47221,335.25816,299.25816,225.22135,261.22135
PS(15:0_18:4)+H,742.46546,557.45651,333.24246,299.25816,225.22135,259.20565
PS(15:0_19:0)+H,764.54376,579.53481,355.32076,299.25816,225.22135,281.28395
PS(15:0_20:0)+H,778.55936,593.55041,369.33636,299.25816,225.22135,295.29955
PS(15:0_20:1)+H,776.54376,591.53481,367.32076,299.25816,225.22135,293.28395
PS(15:0_20:2)+H,774.52806,589.51911,365.30506,299.25816,225.22135,291.26825
PS(15:0_20:3)+H,772.51246,587.50351,363.28946,299.25816,225.22135,289.25265
PS(15:0_20:4)+H,770.49676,585.48781,361.27376,299.25816,225.22135,287.23695
PS(15:0_20:5)+H,768.48116,583.47221,359.25816,299.25816,225.22135,285.22135
