Cer_NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer_NDS(d17:0/31:4)+H,728.69095,710.68045,692.66985,270.27855,252.26805,458.43505,240.26805
Cer_NDS(d17:0/32:0)+H,750.76925,732.75865,714.74815,270.27855,252.26805,480.51335,240.26805
Cer_NDS(d17:0/32:1)+H,748.75365,730.74295,712.73245,270.27855,252.26805,478.49775,240.26805
Cer_NDS(d17:0/32:2)+H,746.73795,728.72735,710.71675,270.27855,252.26805,476.48205,240.26805
Cer_NDS(d17:0/32:3)+H,744.72225,726.71175,708.70115,270.27855,252.26805,474.46635,240.26805
Cer_NDS(d17:0/32:4)+H,742.70665,724.69605,706.68545,270.27855,252.26805,472.45075,240.26805
Cer_NDS(d17:0/33:0)+H,764.78485,746.77425,728.76375,270.27855,252.26805,494.52895,240.26805
Cer_NDS(d17:0/33:1)+H,762.76925,744.75865,726.74815,270.27855,252.26805,492.51335,240.26805
Cer_NDS(d17:0/33:2)+H,760.75365,742.74295,724.73245,270.27855,252.26805,490.49775,240.26805
Cer_NDS(d17:0/33:3)+H,758.73795,740.72735,722.71675,270.27855,252.26805,488.48205,240.26805
Cer_NDS(d17:0/33:4)+H,756.72225,738.71175,720.70115,270.27855,252.26805,486.46635,240.26805
Cer_NDS(d17:0/34:0)+H,778.80055,760.78995,742.77935,270.27855,252.26805,508.54465,240.26805
Cer_NDS(d17:0/34:1)+H,776.78485,758.77425,740.76375,270.27855,252.26805,506.52895,240.26805
Cer_NDS(d17:0/34:2)+H,774.76925,756.75865,738.74815,270.27855,252.26805,504.51335,240.26805
Cer_NDS(d17:0/34:3)+H,772.75365,754.74295,736.73245,270.27855,252.26805,502.49775,240.26805
Cer_NDS(d17:0/34:4)+H,770.73795,752.72735,734.71675,270.27855,252.26805,500.48205,240.26805
Cer_NDS(d17:0/35:0)+H,792.81615,774.80565,756.79505,270.27855,252.26805,522.56035,240.26805
Cer_NDS(d17:0/35:1)+H,790.80055,772.78995,754.77935,270.27855,252.26805,520.54465,240.26805
Cer_NDS(d17:0/35:2)+H,788.78485,770.77425,752.76375,270.27855,252.26805,518.52895,240.26805
Cer_NDS(d17:0/35:3)+H,786.76925,768.75865,750.74815,270.27855,252.26805,516.51335,240.26805
Cer_NDS(d17:0/35:4)+H,784.75365,766.74295,748.73245,270.27855,252.26805,514.49765,240.26805
Cer_NDS(d17:0/36:0)+H,806.83185,788.82125,770.81065,270.27855,252.26805,536.57595,240.26805
Cer_NDS(d17:0/36:1)+H,804.81615,786.80565,768.79505,270.27855,252.26805,534.56035,240.26805
Cer_NDS(d17:0/36:2)+H,802.80055,784.78995,766.77935,270.27855,252.26805,532.54465,240.26805
Cer_NDS(d17:0/36:3)+H,800.78485,782.77425,764.76375,270.27855,252.26805,530.52895,240.26805
Cer_NDS(d17:0/36:4)+H,798.76925,780.75865,762.74815,270.27855,252.26805,528.51335,240.26805
Cer_NDS(d18:0/14:0)+H,512.50315,494.49265,476.48205,284.29425,266.28365,228.23165,254.28365
Cer_NDS(d18:0/14:1)+H,510.48755,492.47695,474.46635,284.29425,266.28365,226.21605,254.28365
Cer_NDS(d18:0/14:2)+H,508.47185,490.46135,472.45075,284.29425,266.28365,224.20035,254.28365
Cer_NDS(d18:0/14:3)+H,506.45625,488.44565,470.43505,284.29425,266.28365,222.18475,254.28365
Cer_NDS(d18:0/15:0)+H,526.51875,508.50825,490.49765,284.29425,266.28365,242.24725,254.28365
Cer_NDS(d18:0/15:1)+H,524.50315,506.49265,488.48205,284.29425,266.28365,240.23165,254.28365
Cer_NDS(d18:0/15:2)+H,522.48755,504.47695,486.46635,284.29425,266.28365,238.21605,254.28365
Cer_NDS(d18:0/15:3)+H,520.47185,502.46135,484.45075,284.29425,266.28365,236.20035,254.28365
Cer_NDS(d18:0/16:0)+H,540.53445,522.52395,504.51335,284.29425,266.28365,256.26295,254.28365
Cer_NDS(d18:0/16:1)+H,538.51875,520.50825,502.49765,284.29425,266.28365,254.24725,254.28365
Cer_NDS(d18:0/16:2)+H,536.50315,518.49265,500.48205,284.29425,266.28365,252.23165,254.28365
Cer_NDS(d18:0/16:3)+H,534.48755,516.47695,498.46635,284.29425,266.28365,250.21605,254.28365
Cer_NDS(d18:0/16:4)+H,532.47185,514.46135,496.45075,284.29425,266.28365,248.20035,254.28365
Cer_NDS(d18:0/17:0)+H,554.55015,536.53955,518.52895,284.29425,266.28365,270.27855,254.28365
Cer_NDS(d18:0/17:1)+H,552.53445,534.52395,516.51335,284.29425,266.28365,268.26295,254.28365
Cer_NDS(d18:0/17:2)+H,550.51875,532.50825,514.49765,284.29425,266.28365,266.24735,254.28365
Cer_NDS(d18:0/17:3)+H,548.50315,530.49265,512.48205,284.29425,266.28365,264.23165,254.28365
Cer_NDS(d18:0/18:0)+H,568.56575,550.55515,532.54465,284.29425,266.28365,284.29425,254.28365
Cer_NDS(d18:0/18:1)+H,566.55015,548.53955,530.52895,284.29425,266.28365,282.27855,254.28365
Cer_NDS(d18:0/18:2)+H,564.53445,546.52395,528.51335,284.29425,266.28365,280.26295,254.28365
Cer_NDS(d18:0/18:3)+H,562.51875,544.50825,526.49765,284.29425,266.28365,278.24735,254.28365
Cer_NDS(d18:0/18:4)+H,560.50315,542.49265,524.48205,284.29425,266.28365,276.23165,254.28365
